https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1670544000,2022-12-09,SOL/USD,13.6823,14.0004,13.4313,13.5864,445.639441,6054.635701202399
1670457600,2022-12-08,SOL/USD,13.5446,13.8308,13.3325,13.7046,1292.476218,17712.8695772028
1670371200,2022-12-07,SOL/USD,14.2907,14.2907,13.5289,13.5517,1590.476897,21553.6657650749
1670284800,2022-12-06,SOL/USD,13.8365,14.3053,13.8365,14.269,1363.122639,19450.396935891
1670198400,2022-12-05,SOL/USD,13.7389,14.15,13.5491,13.8195,1267.77348,17519.99560686
1670112000,2022-12-04,SOL/USD,13.3383,13.75,13.2301,13.7244,411.762703,5651.196041053199
1670025600,2022-12-03,SOL/USD,13.728,13.7625,13.2822,13.3575,1204.386726,16087.595692545
1669939200,2022-12-02,SOL/USD,13.4779,13.804,13.3814,13.7449,323.316119,4443.9477240431
1669852800,2022-12-01,SOL/USD,14.13,14.1757,13.4177,13.4625,1691.111788,22766.59244595
1669766400,2022-11-30,SOL/USD,13.4031,14.2267,13.3095,14.1359,3105.766084,43902.7987868156
1669680000,2022-11-29,SOL/USD,13.3084,14.4054,13.185,13.3989,996.97711,13358.396599179
1669593600,2022-11-28,SOL/USD,14.117,14.117,12.8354,13.3138,1504.078377,20024.9986957026
1669507200,2022-11-27,SOL/USD,14.1457,14.3901,14.0343,14.1097,979.57115,13821.455055155
1669420800,2022-11-26,SOL/USD,14.0781,14.9799,14.0608,14.1514,2546.679184,36039.0758044576
1669334400,2022-11-25,SOL/USD,14.5832,14.5832,13.9747,14.0955,2107.926436,29712.277078638002
1669248000,2022-11-24,SOL/USD,14.3662,14.9799,13.8326,14.5999,4700.444493,68626.01955335069
1669161600,2022-11-23,SOL/USD,12.4571,14.52,12.4265,14.3839,4754.210167,68384.0836211113
1669075200,2022-11-22,SOL/USD,11.8694,12.4767,11.0,12.4691,2660.413101,33172.9569976791
1668988800,2022-11-21,SOL/USD,12.2475,12.2475,11.3045,11.883,1900.892857,22588.309819731
1668902400,2022-11-20,SOL/USD,12.8167,13.5686,12.2222,12.2626,1678.453193,20582.200124481802
1668816000,2022-11-19,SOL/USD,13.227,13.2473,12.6352,12.8129,1833.282195,23489.661436315502
1668729600,2022-11-18,SOL/USD,13.6259,14.041,12.8569,13.2473,1494.889712,19803.2524817776
1668643200,2022-11-17,SOL/USD,14.3097,14.4608,12.8531,13.6414,4300.893856,58670.2134472384
1668556800,2022-11-16,SOL/USD,14.2851,15.0458,13.5857,14.3038,2935.737488,41992.2018808544
1668470400,2022-11-15,SOL/USD,13.9898,15.3473,13.8909,14.2744,3850.308987,54960.8506040328
1668384000,2022-11-14,SOL/USD,13.1328,14.9466,12.0,13.9842,5586.579846,78123.84988243319
1668297600,2022-11-13,SOL/USD,14.5384,14.6661,13.1328,13.1328,5782.881667,75945.4283563776
1668211200,2022-11-12,SOL/USD,16.3778,16.4214,14.5385,14.5385,3034.96114,44123.78253389
1668124800,2022-11-11,SOL/USD,17.668,18.2103,15.0,16.3844,7995.013715,130993.502712046
1668038400,2022-11-10,SOL/USD,14.0513,18.8704,13.1936,17.6681,21964.769347,388075.7412997307
1667952000,2022-11-09,SOL/USD,24.2729,24.2729,12.4241,14.0284,26762.458639,375434.4747713476
1667865600,2022-11-08,SOL/USD,29.6601,31.4997,20.0415,24.273,15574.386207,378037.076402511
1667779200,2022-11-07,SOL/USD,32.6956,33.1341,28.3766,29.6945,3799.947266,112837.53409023701
1667692800,2022-11-06,SOL/USD,36.8349,36.9744,32.4945,32.709,2645.243909,86523.28301948101
1667606400,2022-11-05,SOL/USD,33.7981,38.6771,33.7784,36.7929,3210.539764,118125.06848287562
1667520000,2022-11-04,SOL/USD,30.89,34.0463,30.7106,33.798,1694.464847,57269.522898906005
1667433600,2022-11-03,SOL/USD,30.7878,32.4065,30.7024,30.8835,685.762425,21178.7438524875
1667347200,2022-11-02,SOL/USD,32.298,32.8347,30.2723,30.8002,1269.663348,39105.8850510696
1667260800,2022-11-01,SOL/USD,32.6319,33.369,32.2675,32.3349,541.478933,17508.6671506617
1667174400,2022-10-31,SOL/USD,32.9784,34.4029,32.3757,32.645,834.094412,27229.012079740005
1667088000,2022-10-30,SOL/USD,32.8425,33.5157,32.0327,32.9408,440.304893,14503.995419334402
1667001600,2022-10-29,SOL/USD,32.1256,33.778,31.9798,32.7919,874.894097,28689.439739414298
1666915200,2022-10-28,SOL/USD,30.6337,32.5,30.2304,32.1623,496.993391,15984.4505393593
1666828800,2022-10-27,SOL/USD,31.3141,32.1833,30.5212,30.6687,909.396177,27889.9985335599
1666742400,2022-10-26,SOL/USD,30.9481,32.0955,30.7548,31.2637,582.058384,18197.298699860803
1666656000,2022-10-25,SOL/USD,28.3656,32.3,28.1629,30.9356,1353.502757,41871.4198894492
1666569600,2022-10-24,SOL/USD,29.3406,29.4065,28.2205,28.3542,260.712469,7392.293488519799
1666483200,2022-10-23,SOL/USD,28.0667,29.3687,27.9361,29.3081,331.460918,9714.4897308358
1666396800,2022-10-22,SOL/USD,28.1102,28.168,27.6209,28.0554,156.687427,4395.9284394558
1666310400,2022-10-21,SOL/USD,28.1063,28.2422,26.8764,28.1423,1003.898432,28252.0108428736
1666224000,2022-10-20,SOL/USD,28.9132,29.4634,28.1063,28.1238,286.128561,8047.022423851799
1666137600,2022-10-19,SOL/USD,30.1763,30.1763,28.7756,28.8828,354.808331,10247.8580626068
1666051200,2022-10-18,SOL/USD,31.2816,31.3888,29.8832,30.1958,321.954766,9721.681723182799
1665964800,2022-10-17,SOL/USD,30.2071,31.24,29.9836,31.24,292.478757,9137.03636868
1665878400,2022-10-16,SOL/USD,29.6662,30.506,29.6662,30.195,117.415021,3545.346559095
1665792000,2022-10-15,SOL/USD,30.047,30.2007,29.5495,29.6149,264.780106,7841.4363611794
1665705600,2022-10-14,SOL/USD,30.5786,31.9098,29.6779,30.0418,672.478371,20202.4607259078
1665619200,2022-10-13,SOL/USD,31.1796,31.1796,28.0,30.6135,1076.980556,32970.144251105994
1665532800,2022-10-12,SOL/USD,30.7873,31.4553,30.7873,31.2152,1214.526165,37911.677145707996
1665446400,2022-10-11,SOL/USD,31.9825,31.9825,30.6699,30.7522,862.465085,26522.698786937
1665360000,2022-10-10,SOL/USD,32.907,33.3854,31.9713,31.9825,468.002853,14967.9012460725
1665273600,2022-10-09,SOL/USD,32.5677,33.1431,32.4406,32.9607,353.668071,11657.147187809702
1665187200,2022-10-08,SOL/USD,33.0156,33.0538,32.4485,32.5482,288.299871,9383.6418612822
1665100800,2022-10-07,SOL/USD,33.393,33.7374,32.561,33.0533,223.161822,7376.2346511126
1665014400,2022-10-06,SOL/USD,34.1095,34.4798,33.3795,33.3795,738.941397,24665.4943611615
1664928000,2022-10-05,SOL/USD,34.1332,34.3484,33.2526,34.0706,230.286076,7845.9847809656
