https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1550102400,2019-02-14,ETH/USD,124.46,129.9,115.0,123.27,23046.17593,2840902.1068911
1550016000,2019-02-13,ETH/USD,124.51,129.07,123.46,124.46,3187.802361,396753.88185005996
1549929600,2019-02-12,ETH/USD,122.69,125.79,120.35,124.03,3075.510435,381455.55925305
1549843200,2019-02-11,ETH/USD,126.57,126.57,121.43,122.7,3003.986615,368589.1576605
1549756800,2019-02-10,ETH/USD,121.0,127.74,117.78,126.96,3673.483276,466385.43672095996
1549670400,2019-02-09,ETH/USD,121.34,122.46,119.48,121.36,2020.098065,245159.1011684
1549584000,2019-02-08,ETH/USD,106.99,125.99,106.61,121.24,7550.781396,915456.73645104
1549497600,2019-02-07,ETH/USD,106.77,109.01,106.2,107.22,3743.362104,401363.28479088
1549411200,2019-02-06,ETH/USD,109.22,109.22,103.83,106.5,3123.453847,332647.83470550005
1549324800,2019-02-05,ETH/USD,108.52,109.34,107.61,108.93,795.126192,86613.09609456
1549238400,2019-02-04,ETH/USD,108.59,109.75,107.95,108.53,1103.859666,119801.88955098
1549152000,2019-02-03,ETH/USD,111.49,112.4,107.41,108.43,2275.929916,246779.08079188003
1549065600,2019-02-02,ETH/USD,107.81,111.85,107.43,111.5,1867.4842,208224.4883
1548979200,2019-02-01,ETH/USD,108.27,109.15,105.76,108.02,2555.86298,276084.31909959996
1548892800,2019-01-31,ETH/USD,109.87,111.58,107.08,108.19,2230.974626,241369.14478694
1548806400,2019-01-30,ETH/USD,105.57,111.35,105.12,110.02,4496.975925,494757.2912685
1548720000,2019-01-29,ETH/USD,107.19,107.77,104.22,105.71,2372.376096,250783.87710815997
1548633600,2019-01-28,ETH/USD,113.72,113.99,103.05,107.03,5997.076869,641867.1372890701
1548547200,2019-01-27,ETH/USD,116.59,116.69,112.84,113.72,3242.125201,368694.47785772
1548460800,2019-01-26,ETH/USD,116.67,118.55,116.31,116.58,1824.125487,212656.54927446
1548374400,2019-01-25,ETH/USD,117.9,118.77,115.84,116.67,2043.302772,238392.13440924
1548288000,2019-01-24,ETH/USD,117.59,118.71,115.57,117.72,2724.981816,320784.85937952
1548201600,2019-01-23,ETH/USD,119.41,120.0,116.02,117.4,2699.339502,316902.4575348
