https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1693699200000,2023-09-03 00:00:00,FIL/USD,3.1815,3.1987,3.1309,3.1663,4407.519611,13955.5293443093
1693612800000,2023-09-02 00:00:00,FIL/USD,3.1637,3.2198,3.1485,3.1815,5535.974943,17612.704281154503
1693526400000,2023-09-01 00:00:00,FIL/USD,3.2184,3.2248,3.0996,3.1637,35525.39577,112391.69459754901
1693440000000,2023-08-31 00:00:00,FIL/USD,3.413,3.425,3.1,3.2184,6072.985544,19545.2966748096
1693353600000,2023-08-30 00:00:00,FIL/USD,3.49,3.49,3.3789,3.413,1772.705674,6050.244465362
1693267200000,2023-08-29 00:00:00,FIL/USD,3.386,3.5595,3.2985,3.49,15874.483563,55401.947634870005
1693180800000,2023-08-28 00:00:00,FIL/USD,3.3127,3.386,3.2775,3.386,3196.034974,10821.774421964
1693094400000,2023-08-27 00:00:00,FIL/USD,3.2475,3.3127,3.2301,3.3127,2804.276447,9289.726585976901
1693008000000,2023-08-26 00:00:00,FIL/USD,3.233,3.2784,3.2164,3.2475,22462.742718,72947.756976705
1692921600000,2023-08-25 00:00:00,FIL/USD,3.2922,3.2924,3.1781,3.233,5430.837959,17557.899121447
1692835200000,2023-08-24 00:00:00,FIL/USD,3.4544,3.4722,3.25,3.2922,19584.743333,64476.89200090259
1692748800000,2023-08-23 00:00:00,FIL/USD,3.3899,3.4856,3.3765,3.4544,3583.212568,12377.849494899201
1692662400000,2023-08-22 00:00:00,FIL/USD,3.4274,3.433,3.2219,3.3899,4276.297167,14496.219766413298
1692576000000,2023-08-21 00:00:00,FIL/USD,3.5604,3.5818,3.3755,3.4274,3274.941977,11224.5361319698
1692489600000,2023-08-20 00:00:00,FIL/USD,3.5758,3.5866,3.5323,3.5604,2123.633591,7560.985037396399
1692403200000,2023-08-19 00:00:00,FIL/USD,3.5065,3.6195,3.5026,3.5758,5930.682011,21206.932734933802
1692316800000,2023-08-18 00:00:00,FIL/USD,3.4461,3.5419,3.4409,3.5065,15617.499345,54762.7614532425
1692230400000,2023-08-17 00:00:00,FIL/USD,3.7316,3.7837,3.0782,3.4461,16150.401616,55655.8990088976
1692144000000,2023-08-16 00:00:00,FIL/USD,3.8509,3.8606,3.6246,3.7316,8784.691239,32780.953827452395
1692057600000,2023-08-15 00:00:00,FIL/USD,4.0726,4.0769,3.6327,3.8509,34415.142389,132529.2718258001
1691971200000,2023-08-14 00:00:00,FIL/USD,4.095,4.1166,4.0366,4.0726,3679.642748,14985.713055504802
1691884800000,2023-08-13 00:00:00,FIL/USD,4.1216,4.1617,4.069,4.095,1218.685283,4990.516233885
1691798400000,2023-08-12 00:00:00,FIL/USD,4.0978,4.1425,4.0978,4.1216,774.494357,3192.1559418112
1691712000000,2023-08-11 00:00:00,FIL/USD,4.1278,4.1993,4.089,4.0978,8630.636675,35366.622966815004
