https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1694390400000,2023-09-11 00:00:00,XLM/USD,0.13393,0.13448,0.12419,0.12835,180455.12686183793,1405961.2533061
1694304000000,2023-09-10 00:00:00,XLM/USD,0.1316,0.1346,0.12709,0.13397,209465.73277735745,1563527.1536714
1694217600000,2023-09-09 00:00:00,XLM/USD,0.12691,0.1329,0.12616,0.13159,191513.05992392704,1455377.00375353
1694131200000,2023-09-08 00:00:00,XLM/USD,0.1252,0.12763,0.12228,0.12692,54972.59931379031,433127.94921045
1694044800000,2023-09-07 00:00:00,XLM/USD,0.12425,0.12568,0.12189,0.12568,98433.77191750873,783209.51557534
1693958400000,2023-09-06 00:00:00,XLM/USD,0.12246,0.12434,0.11767,0.124,136351.46688084223,1099608.60387776
1693872000000,2023-09-05 00:00:00,XLM/USD,0.1252,0.12978,0.12166,0.12271,181287.20908056965,1477362.96211042
1693785600000,2023-09-04 00:00:00,XLM/USD,0.11886,0.12642,0.11886,0.12436,125847.27705716413,1011959.44883535
1693699200000,2023-09-03 00:00:00,XLM/USD,0.1136,0.12031,0.11307,0.11876,81731.3769614915,688206.27283169
1693612800000,2023-09-02 00:00:00,XLM/USD,0.1142,0.11444,0.11159,0.11353,23053.034329227157,203056.76322758
1693526400000,2023-09-01 00:00:00,XLM/USD,0.11481,0.11757,0.11286,0.11423,42194.6868516721,369383.58444955
1693440000000,2023-08-31 00:00:00,XLM/USD,0.12,0.12109,0.11355,0.11512,76327.63377128879,663026.70058451
1693353600000,2023-08-30 00:00:00,XLM/USD,0.12462,0.12462,0.1204,0.12053,44930.31835410167,372772.90594957
1693267200000,2023-08-29 00:00:00,XLM/USD,0.12023,0.12896,0.11692,0.12427,105871.44024433148,851946.89180278
1693180800000,2023-08-28 00:00:00,XLM/USD,0.12089,0.12137,0.11867,0.12003,51147.84067610957,426125.47426568
1693094400000,2023-08-27 00:00:00,XLM/USD,0.12096,0.12233,0.11966,0.12094,19770.795650076,163476.06788553
1693008000000,2023-08-26 00:00:00,XLM/USD,0.12374,0.12473,0.12064,0.12115,39965.86445666592,329887.44908515
1692921600000,2023-08-25 00:00:00,XLM/USD,0.12349,0.12515,0.12089,0.12396,42171.355474646145,340201.31876933
1692835200000,2023-08-24 00:00:00,XLM/USD,0.12784,0.12892,0.12199,0.12378,53373.33519997806,431195.146227
1692748800000,2023-08-23 00:00:00,XLM/USD,0.12072,0.12894,0.11988,0.12775,106579.15484740067,834279.09860979
1692662400000,2023-08-22 00:00:00,XLM/USD,0.12459,0.12481,0.11749,0.12084,56620.704217467865,468559.2868046
1692576000000,2023-08-21 00:00:00,XLM/USD,0.13015,0.13015,0.12237,0.12476,119645.58554454331,959005.97582994
1692489600000,2023-08-20 00:00:00,XLM/USD,0.12384,0.13251,0.12262,0.12988,127980.92124405292,985378.20483564
1692403200000,2023-08-19 00:00:00,XLM/USD,0.1169,0.1254,0.11688,0.12355,88019.25649076921,712418.10190829
1692316800000,2023-08-18 00:00:00,XLM/USD,0.11369,0.11787,0.11129,0.11668,179727.40558294553,1540344.57990183
1692230400000,2023-08-17 00:00:00,XLM/USD,0.12647,0.12758,0.10572,0.11317,240335.873099289,2123671.23000167
1692144000000,2023-08-16 00:00:00,XLM/USD,0.13034,0.13282,0.12362,0.12682,200068.31053157806,1577576.96366171
1692057600000,2023-08-15 00:00:00,XLM/USD,0.13642,0.13642,0.123,0.1304,116590.78457690674,894101.10871861
1691971200000,2023-08-14 00:00:00,XLM/USD,0.13781,0.13838,0.13466,0.13619,35558.24744203621,261092.93958467
1691884800000,2023-08-13 00:00:00,XLM/USD,0.13802,0.14091,0.13755,0.138,45440.47616028522,329278.81275569
1691798400000,2023-08-12 00:00:00,XLM/USD,0.13973,0.14035,0.13706,0.13796,64919.99889953598,470571.1720755
1691712000000,2023-08-11 00:00:00,XLM/USD,0.13869,0.1415,0.13836,0.13974,40089.63426563387,286887.3212082
1691625600000,2023-08-10 00:00:00,XLM/USD,0.14149,0.14177,0.13842,0.13885,102521.61186536132,738362.3468877301
1691539200000,2023-08-09 00:00:00,XLM/USD,0.14289,0.14582,0.13982,0.14162,86709.8107444877,612270.94156537
1691452800000,2023-08-08 00:00:00,XLM/USD,0.1424,0.1439,0.13858,0.14346,97238.49340034435,677809.09940293
1691366400000,2023-08-07 00:00:00,XLM/USD,0.13948,0.14362,0.13727,0.14307,100873.79640330588,705066.02644374
1691280000000,2023-08-06 00:00:00,XLM/USD,0.13884,0.14496,0.13853,0.13955,100583.45904849823,720770.03975993
1691193600000,2023-08-05 00:00:00,XLM/USD,0.13645,0.13924,0.13367,0.13903,71075.18291388916,511221.91551384
1691107200000,2023-08-04 00:00:00,XLM/USD,0.13869,0.14193,0.13615,0.13645,48937.38143957878,358646.98746485
1691020800000,2023-08-03 00:00:00,XLM/USD,0.14373,0.14565,0.13834,0.1395,304081.33283304994,2179794.50059534
