Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1569283200.0,2019-09-24,BTCUSD,9700,9785.1,8180,8618.09,28.69,259305.41
1569196800.0,2019-09-23,BTCUSD,9999.92,9999.92,9700,9700,3.219,31896.01
1569110400.0,2019-09-22,BTCUSD,10007.5,10025.3,9862.97,9999.92,0.1899,1895.35
1569024000.0,2019-09-21,BTCUSD,10110,10166.9,9945,10007.5,3.257,32507.55
1568937600.0,2019-09-20,BTCUSD,10249.05,10302.85,10093.17,10110,1.063,10800.15
1568851200.0,2019-09-19,BTCUSD,10196.95,10450,9700.01,10249.05,16.16,159102.67
1568764800.0,2019-09-18,BTCUSD,10254.77,10254.77,10094.82,10196.95,2.024,20610.24
1568678400.0,2019-09-17,BTCUSD,10236.09,10287.54,10137.33,10254.77,3.523,36017.59
1568592000.0,2019-09-16,BTCUSD,10288,10357.51,10135.43,10236.09,1.369,14062.32
1568505600.0,2019-09-15,BTCUSD,10355.04,10399.98,10273.91,10288,1.786,18437.69
1568419200.0,2019-09-14,BTCUSD,10391.15,10500,10236.51,10355.04,2.172,22496.96
1568332800.0,2019-09-13,BTCUSD,10449.24,10450,10290.26,10391.15,1.384,14312.9
1568246400.0,2019-09-12,BTCUSD,10183.07,10449.24,10065.18,10449.24,4.402,45317.55
1568160000.0,2019-09-11,BTCUSD,10138.44,10183.07,9911.58,10183.07,1.997,20058.96
1568073600.0,2019-09-10,BTCUSD,10352.34,10633.55,9979.47,10138.44,3.352,34202.68
1567987200.0,2019-09-09,BTCUSD,10394.01,10749.95,10168.3,10352.34,3.312,34359.6
1567900800.0,2019-09-08,BTCUSD,10484.71,10575.27,10300,10394.01,4.216,44036.91
1567814400.0,2019-09-07,BTCUSD,10308,10542.6,10308,10484.71,1.85,19257.53
1567728000.0,2019-09-06,BTCUSD,10597.52,10940,10250,10308,7.143,75855.61
1567641600.0,2019-09-05,BTCUSD,10643.62,10673.41,10508.88,10597.52,1.84,19449.23
1567555200.0,2019-09-04,BTCUSD,10590,10823.55,10390.06,10643.62,4.287,45660.71
1567468800.0,2019-09-03,BTCUSD,10368.19,10956.95,10368.19,10590,5.99,62814.87
1567382400.0,2019-09-02,BTCUSD,9736.85,10468,9736.85,10368.19,4.161,42238.09
1567296000.0,2019-09-01,BTCUSD,9648,9808.1,9592.07,9736.85,5.178,50524.54
1567209600.0,2019-08-31,BTCUSD,9606.86,9750,9500,9648,0.7567,7255.92
