https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FIL,Volume USDT,tradecount
1682812800000,2023-04-30,FILUSDT,5.571,5.615,5.381,5.416,3495022.41,19280806.63477,55271
1682726400000,2023-04-29,FILUSDT,5.51,5.671,5.423,5.571,6201135.86,34262893.36928,87466
1682640000000,2023-04-28,FILUSDT,5.389,5.533,5.264,5.509,4600379.5,24786111.67278,65817
1682553600000,2023-04-27,FILUSDT,5.251,5.487,5.209,5.39,5862398.31,31260227.808,83098
1682467200000,2023-04-26,FILUSDT,5.348,5.55,5.018,5.25,8571048.58,45663535.38066,127729
1682380800000,2023-04-25,FILUSDT,5.256,5.381,5.143,5.347,3903302.15,20434641.92319,55827
1682294400000,2023-04-24,FILUSDT,5.269,5.351,5.157,5.255,4361045.26,22904461.21556,66079
1682208000000,2023-04-23,FILUSDT,5.329,5.401,5.135,5.269,5218200.15,27526118.52787,69739
1682121600000,2023-04-22,FILUSDT,5.259,5.5,5.209,5.329,4494479.93,23714221.3618,65041
1682035200000,2023-04-21,FILUSDT,5.562,5.634,5.122,5.258,7016807.46,38019022.91785,104996
1681948800000,2023-04-20,FILUSDT,5.695,5.822,5.458,5.564,6411652.37,36380771.41552,104306
