https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume USDT,tradecount
1593043200000,2020-06-25,ADAUSDT,0.08251,0.08351,0.07863,0.08167,256346389.9,20858063.254197,52092
1592956800000,2020-06-24,ADAUSDT,0.08278,0.08723,0.07995,0.08254,431553648.0,36059189.936199,88710
1592870400000,2020-06-23,ADAUSDT,0.08359,0.08445,0.08152,0.08276,173136119.4,14352884.71537,42455
1592784000000,2020-06-22,ADAUSDT,0.07839,0.08396,0.07821,0.08355,236593766.9,19258267.182392,50273
1592697600000,2020-06-21,ADAUSDT,0.07956,0.08099,0.07814,0.07841,150318561.8,11967825.410861,34173
1592611200000,2020-06-20,ADAUSDT,0.07993,0.08023,0.077,0.07953,152661332.8,12017896.37257,35165
1592524800000,2020-06-19,ADAUSDT,0.08177,0.0819,0.07844,0.07987,273185135.5,21884352.9153,59497
1592438400000,2020-06-18,ADAUSDT,0.0835,0.08454,0.08001,0.08176,316838158.3,26104085.760414,64514
1592352000000,2020-06-17,ADAUSDT,0.07925,0.08398,0.07729,0.08349,470477521.4,38103742.254049,92810
1592265600000,2020-06-16,ADAUSDT,0.07822,0.07978,0.07656,0.07925,292089259.0,22894553.818173,68564
1592179200000,2020-06-15,ADAUSDT,0.07644,0.07984,0.0693,0.07824,618344226.0,45558107.227536,155026
1592092800000,2020-06-14,ADAUSDT,0.07909,0.07918,0.07561,0.07642,135355914.6,10463515.295242,39816
1592006400000,2020-06-13,ADAUSDT,0.07948,0.07959,0.077,0.07906,161240000.7,12618820.768979,49384
1591920000000,2020-06-12,ADAUSDT,0.07527,0.0809,0.07497,0.07948,323950725.0,25476804.259014,96402
1591833600000,2020-06-11,ADAUSDT,0.0836,0.08512,0.073,0.07527,523976380.0,41375883.640754,138495
1591747200000,2020-06-10,ADAUSDT,0.08292,0.08399,0.07938,0.0836,447331679.7,36521722.172929,121706
1591660800000,2020-06-09,ADAUSDT,0.08649,0.08678,0.08284,0.08291,228581184.8,19344027.003142,70170
1591574400000,2020-06-08,ADAUSDT,0.08655,0.08695,0.08458,0.08648,216779869.4,18595514.825131,63274
1591488000000,2020-06-07,ADAUSDT,0.08616,0.08867,0.0825,0.08657,470802696.7,40359608.328199,130982
1591401600000,2020-06-06,ADAUSDT,0.08519,0.0873,0.08475,0.08614,274342754.6,23600346.86245,78945
1591315200000,2020-06-05,ADAUSDT,0.08882,0.08914,0.08393,0.08517,480984869.2,41610327.146771,116386
1591228800000,2020-06-04,ADAUSDT,0.08558,0.09039,0.08342,0.08882,876595811.4,76700977.096772,173421
1591142400000,2020-06-03,ADAUSDT,0.07872,0.0861,0.07707,0.08558,746675602.9,61569756.986245,143785
1591056000000,2020-06-02,ADAUSDT,0.08096,0.08248,0.0708,0.07872,807890970.3,63645498.49823,146059
1590969600000,2020-06-01,ADAUSDT,0.07391,0.08306,0.07347,0.08093,1059683218.6,83834217.600255,221670
1590883200000,2020-05-31,ADAUSDT,0.07688,0.0865,0.072,0.0739,1611428374.3,128363158.748671,321393
1590796800000,2020-05-30,ADAUSDT,0.06469,0.07748,0.06373,0.07691,1038874975.1,74487725.459164,170009
1590710400000,2020-05-29,ADAUSDT,0.06495,0.06667,0.06252,0.06469,591929034.2,38189373.782992,95250
1590624000000,2020-05-28,ADAUSDT,0.05512,0.06766,0.05487,0.06502,714718749.9,43786850.13931,119919
1590537600000,2020-05-27,ADAUSDT,0.05356,0.05595,0.05302,0.05513,270628151.1,14824890.299234,41178
1590451200000,2020-05-26,ADAUSDT,0.05394,0.05417,0.05189,0.05355,218137958.8,11567153.079841,29762
1590364800000,2020-05-25,ADAUSDT,0.05129,0.05434,0.05102,0.0539,282415963.3,14859502.131391,49461
1590278400000,2020-05-24,ADAUSDT,0.0549,0.05616,0.0512,0.05125,246978557.4,13353831.336423,38141
1590192000000,2020-05-23,ADAUSDT,0.05576,0.05648,0.0542,0.0549,204914013.2,11318693.487637,34117
1590105600000,2020-05-22,ADAUSDT,0.0521,0.057,0.05133,0.05576,358164957.6,19324550.234095,52930
1590019200000,2020-05-21,ADAUSDT,0.05686,0.0576,0.05023,0.05207,410702686.8,22193881.028321,57687
1589932800000,2020-05-20,ADAUSDT,0.05675,0.0576,0.05382,0.05689,327189992.8,18387767.226895,46799
1589846400000,2020-05-19,ADAUSDT,0.05433,0.057,0.05255,0.05677,294210864.5,16053173.274067,40239
1589760000000,2020-05-18,ADAUSDT,0.05128,0.055,0.05113,0.05434,359909268.8,19381335.795354,52599
