https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1633737600,2021-10-09,DAI/USD,1.0013,1.0014,1.0011,1.0011,1802.674455,1804.6573969005003
1633651200,2021-10-08,DAI/USD,1.0015,1.0018,1.0013,1.0013,2717.640043,2721.1729750559
1633564800,2021-10-07,DAI/USD,1.0016,1.0016,1.0016,1.0016,991.671313,993.2579871008
1633478400,2021-10-06,DAI/USD,1.0017,1.0017,1.0016,1.0016,984.899861,986.4757007776001
1633392000,2021-10-05,DAI/USD,1.0015,1.0025,1.0015,1.002,4878.812642,4888.570267284
1633305600,2021-10-04,DAI/USD,1.0018,1.0018,1.0015,1.0018,422.88598,423.64717476400006
1633219200,2021-10-03,DAI/USD,1.0018,1.0018,1.0015,1.0017,688.461048,689.6314317816
1633132800,2021-10-02,DAI/USD,1.0018,1.0019,1.0015,1.0019,3548.928389,3555.6713529391004
1633046400,2021-10-01,DAI/USD,1.0022,1.0022,1.0018,1.0018,3312.663706,3318.6265006708
1632960000,2021-09-30,DAI/USD,1.0023,1.0023,1.002,1.002,375.545146,376.296236292
1632873600,2021-09-29,DAI/USD,1.0022,1.0022,1.002,1.002,274.544811,275.093900622
1632787200,2021-09-28,DAI/USD,1.002,1.002,1.002,1.002,10.0,10.02
1632614400,2021-09-26,DAI/USD,1.002,1.0021,1.002,1.0021,3990.12973,3998.509002433
1632528000,2021-09-25,DAI/USD,1.0018,1.0021,1.0018,1.002,1316.784565,1319.41813413
1632441600,2021-09-24,DAI/USD,1.0017,1.0021,1.0017,1.0021,2066.951091,2071.2916882911
1632355200,2021-09-23,DAI/USD,1.0019,1.0019,1.0019,1.0019,542.309612,543.3400002628
1632182400,2021-09-21,DAI/USD,1.0025,1.0025,1.0013,1.0018,14007.592064,14032.8057297152
1632096000,2021-09-20,DAI/USD,1.0022,1.0023,1.0022,1.0023,178.502875,178.91343161249998
1632009600,2021-09-19,DAI/USD,1.0025,1.0025,1.0025,1.0025,30.344139,30.419999347499996
1631923200,2021-09-18,DAI/USD,1.0022,1.0022,1.0022,1.0022,85.0798,85.26697556
1631836800,2021-09-17,DAI/USD,1.0022,1.0022,1.0022,1.0022,9.955067,9.9769681474
1631750400,2021-09-16,DAI/USD,1.0022,1.0022,1.0022,1.0022,87.222315,87.414204093
1631664000,2021-09-15,DAI/USD,1.0027,1.0029,1.0024,1.0024,5011.667182,5023.6951832367995
1631577600,2021-09-14,DAI/USD,1.0024,1.0034,1.0024,1.0027,17714.392487,17762.2213467149
1631491200,2021-09-13,DAI/USD,1.0005,1.0031,1.0005,1.0024,40102.355943,40198.6015972632
