https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1635897600000,2021-11-03 00:00:00,ETH/USDT,4587.89501122,4665,4454,4600.83930725,16469531.01846464,3609.09761212,0,0,0,4563.3376507
1635811200000,2021-11-02 00:00:00,ETH/USDT,4318.78161312,4598.8,4286.54580873,4585.65500067,22221432.93947355,4995.90337266,0,0,0,4447.93089095
1635724800000,2021-11-01 00:00:00,ETH/USDT,4290.97848811,4378.13702806,4150.09853734,4320.30553678,19838304.10220752,4610.96217706,0,0,0,4302.42178105
1635638400000,2021-10-31 00:00:00,ETH/USDT,4321.25146811,4392.3632815,4165.50429796,4286.94303296,15145672.68575755,3552.46162379,0,0,0,4263.43034484
1635552000000,2021-10-30 00:00:00,ETH/USDT,4421,4432.69319388,4235.5959623,4318.58414764,25162100.4360518,5820.55734965,0,0,0,4322.9709673
1635465600000,2021-10-29 00:00:00,ETH/USDT,4286.57137233,4455.88633629,4266.63000001,4417.4233877,38304329.3791485,8750.1379156,0,0,0,4377.56864504
1635379200000,2021-10-28 00:00:00,ETH/USDT,3920.1014765,4292.35245026,3894.63336,4286.45856478,26974095.85251816,6526.47569479,0,0,0,4133.02632446
1635292800000,2021-10-27 00:00:00,ETH/USDT,4129.55231023,4307.17,3915.00001,3920.19947648,57286518.61702094,14087.21682748,0,0,0,4066.56043692
1635206400000,2021-10-26 00:00:00,ETH/USDT,4220.57135157,4295.20843156,4091.73792942,4129.5641346,26943146.84889864,6426.31028034,0,0,0,4192.63086803
1635120000000,2021-10-25 00:00:00,ETH/USDT,4082.23478055,4235.77831524,4069.95455281,4221.07372548,10991743.07072424,2633.89160285,0,0,0,4173.19492526
1635033600000,2021-10-24 00:00:00,ETH/USDT,4169.12017429,4184.22109314,3962.39769408,4082.35828624,18614598.29596706,4583.72667068,0,0,0,4061.01838816
1634947200000,2021-10-23 00:00:00,ETH/USDT,3972.6309402,4169.77094109,3940,4168.79383653,14440698.43076229,3572.61416301,0,0,0,4042.05373764
1634860800000,2021-10-22 00:00:00,ETH/USDT,4053.3839307,4166.09650325,3893.0228962,3972.21835792,20158999.79676449,5002.94554507,0,0,0,4029.42618806
1634774400000,2021-10-21 00:00:00,ETH/USDT,4163.09144575,4370.61653106,4015,4053.66065206,49462999.1801606,11884.39266404,0,0,0,4162.01320323
1634688000000,2021-10-20 00:00:00,ETH/USDT,3881.3082137,4168.04109291,3828.94331685,4161.94453647,34026603.18712615,8482.55581336,0,0,0,4011.36213374
1634601600000,2021-10-19 00:00:00,ETH/USDT,3747.42372211,3885,3732.53882247,3876.12470322,29394596.6339902,7726.25720033,0,0,0,3804.50661579
1634515200000,2021-10-18 00:00:00,ETH/USDT,3848.8075843,3892.82533633,3678.80880848,3747.41829403,23512775.05248044,6213.78754602,0,0,0,3783.96829282
1634428800000,2021-10-17 00:00:00,ETH/USDT,3830.7335892,3917.3267185,3647.04548795,3845.37237343,25042440.23720643,6583.80688397,0,0,0,3803.64137018
1634342400000,2021-10-16 00:00:00,ETH/USDT,3871.55447125,3970,3806.05869702,3830,19008774.01919969,4895.13713468,0,0,0,3883.19540315
1634256000000,2021-10-15 00:00:00,ETH/USDT,3790.93095057,3903.37237229,3735,3866.48357328,27200800.6153295,7117.28018424,0,0,0,3821.79707854
1634169600000,2021-10-14 00:00:00,ETH/USDT,3611.08281889,3823.38687527,3588.18499259,3789.99461608,23419758.30330951,6319.48920078,0,0,0,3705.95748473
1634083200000,2021-10-13 00:00:00,ETH/USDT,3491.51720729,3612.24489795,3412.85332914,3607.28304551,21561787.15008898,6177.29998509,0,0,0,3490.48730062
1633996800000,2021-10-12 00:00:00,ETH/USDT,3542.47877976,3550.00940361,3405,3489.56178902,26751467.33422627,7691.64475252,0,0,0,3477.99049422
1633910400000,2021-10-11 00:00:00,ETH/USDT,3415.25176148,3620.13142206,3374.14027554,3544.25443855,23340149.85043682,6612.09078501,0,0,0,3529.91974994
1633824000000,2021-10-10 00:00:00,ETH/USDT,3572.40074986,3602.25098941,3410.05594996,3416.54635062,21527437.78617479,6109.72705409,0,0,0,3523.46964039
1633737600000,2021-10-09 00:00:00,ETH/USDT,3562.16308461,3633.56767482,3539.12169155,3575.40770257,16769509.57101117,4665.23477643,0,0,0,3594.56927135
1633651200000,2021-10-08 00:00:00,ETH/USDT,3585.99083464,3667.74689464,3535,3558.56681391,27527973.93431395,7633.84381927,0,0,0,3606.04363752
1633564800000,2021-10-07 00:00:00,ETH/USDT,3572.67161519,3653.96,3470,3586.47500867,29574337.93656356,8298.28730498,0,0,0,3563.90865363
1633478400000,2021-10-06 00:00:00,ETH/USDT,3514.67062258,3629.87950751,3338.41,3574.19482999,35958975.48376165,10261.86798275,0,0,0,3504.13545995
1633392000000,2021-10-05 00:00:00,ETH/USDT,3387.90764602,3544.20891801,3364.88420898,3514.42145768,18936648.63865552,5489.75604443,0,0,0,3449.45175803
1633305600000,2021-10-04 00:00:00,ETH/USDT,3417.64518758,3436.53282181,3273.5032735,3384.39308447,28443176.04101553,8439.62823852,0,0,0,3370.19300343
1633219200000,2021-10-03 00:00:00,ETH/USDT,3388.17196978,3487.04347892,3342.75000001,3417.67076301,11878150.7144294,3475.57949464,0,0,0,3417.60294441
1633132800000,2021-10-02 00:00:00,ETH/USDT,3310.07775738,3467,3258.52341802,3389.37859044,13076911.16522059,3911.18847669,0,0,0,3343.46228599
1633046400000,2021-10-01 00:00:00,ETH/USDT,2999.41056269,3332.38250744,2969.884805,3308.42354097,20784356.60110551,6546.77420438,0,0,0,3174.74773869
1632960000000,2021-09-30 00:00:00,ETH/USDT,2850.16477601,3049.09857892,2837.58779443,2999.89307495,19219777.52550062,6457.25428907,0,0,0,2976.46285326
1632873600000,2021-09-29 00:00:00,ETH/USDT,2807.35680373,2948.42124339,2783.11121711,2851.43920796,21167330.4067721,7379.23904885,0,0,0,2868.49772268
