https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1699747200000,2023-11-12 00:00:00,DAI/USD,1.0019,1.0019,0.9999,1.0005,394.590277,394.78757213849997
1699660800000,2023-11-11 00:00:00,DAI/USD,1.0,1.0019,0.9997,1.0019,47593.499071,47683.9267192349
1699574400000,2023-11-10 00:00:00,DAI/USD,0.99805,1.0007,0.99805,1.0,99383.044733,99383.044733
1699488000000,2023-11-09 00:00:00,DAI/USD,0.9999,0.99999,0.99805,0.99805,25473.540093,25423.86668981865
1699401600000,2023-11-08 00:00:00,DAI/USD,0.99987,0.99999,0.99585,0.9999,26402.565647,26399.9253904353
1699315200000,2023-11-07 00:00:00,DAI/USD,0.99733,1.0007,0.99641,0.99987,77189.000062,77178.96549199196
1699228800000,2023-11-06 00:00:00,DAI/USD,1.00054,1.00146,0.99002,0.99733,96328.672703,96071.47514688299
1699142400000,2023-11-05 00:00:00,DAI/USD,0.9997,1.00054,0.9997,1.00054,5689.010001,5692.08206640054
1699056000000,2023-11-04 00:00:00,DAI/USD,0.9996,0.9998,0.99942,0.9997,19177.335094,19171.581893471797
1698969600000,2023-11-03 00:00:00,DAI/USD,0.998,1.00199,0.998,0.9996,210847.824329,210763.4851992684
1698883200000,2023-11-02 00:00:00,DAI/USD,0.99869,0.99989,0.99626,0.998,82079.56587,81915.40673826
1698796800000,2023-11-01 00:00:00,DAI/USD,0.9995,1.0022,0.97699,0.99869,166225.62874,166007.8731663506
1698710400000,2023-10-31 00:00:00,DAI/USD,0.9996,1.00184,0.99901,0.9995,14475.539943,14468.3021730285
1698624000000,2023-10-30 00:00:00,DAI/USD,1.00222,1.00222,0.9996,0.9996,11945.761706,11940.9834013176
1698537600000,2023-10-29 00:00:00,DAI/USD,0.99969,1.00256,0.99904,1.00222,9431.873182,9452.81194046404
1698451200000,2023-10-28 00:00:00,DAI/USD,0.9997,1.00286,0.99943,0.99969,25285.180161,25277.34175515009
1698364800000,2023-10-27 00:00:00,DAI/USD,0.99903,1.0014,0.99903,0.9997,38408.468376,38396.9458354872
1698278400000,2023-10-26 00:00:00,DAI/USD,0.99924,1.0,0.99902,0.99903,40511.88534,40472.5888112202
1698192000000,2023-10-25 00:00:00,DAI/USD,0.99652,0.99969,0.99453,0.99924,41183.696398,41152.39678873752
1698105600000,2023-10-24 00:00:00,DAI/USD,0.99999,1.00012,0.95267,0.99652,177277.809327,176660.88255054204
1698019200000,2023-10-23 00:00:00,DAI/USD,0.99984,1.00329,0.9976,0.99999,96809.638041,96808.6699446196
1697932800000,2023-10-22 00:00:00,DAI/USD,0.9997,1.00129,0.9976,0.99984,48674.316869,48666.52897830096
1697846400000,2023-10-21 00:00:00,DAI/USD,0.99969,1.0,0.99583,0.9997,49181.915952,49167.161377214405
1697760000000,2023-10-20 00:00:00,DAI/USD,0.9999,0.99999,0.99969,0.99969,46832.942755,46818.42454274595
1697673600000,2023-10-19 00:00:00,DAI/USD,1.00075,1.00092,0.9999,0.9999,26700.802601,26698.1325207399
1697587200000,2023-10-18 00:00:00,DAI/USD,0.99971,1.00144,0.99803,1.00075,124195.304895,124288.45137367125
1697500800000,2023-10-17 00:00:00,DAI/USD,0.9997,0.99988,0.95227,0.99971,241091.012736,241021.09634230656
1697414400000,2023-10-16 00:00:00,DAI/USD,0.9999,1.00051,0.999,0.9997,65788.48544,65768.74889436801
1697328000000,2023-10-15 00:00:00,DAI/USD,0.9996,1.00051,0.9996,0.9999,44343.759485,44339.325109051504
1697241600000,2023-10-14 00:00:00,DAI/USD,0.99981,1.0,0.99506,0.9996,171483.18419,171414.590916324
1697155200000,2023-10-13 00:00:00,DAI/USD,0.99981,1.0013,0.99981,0.99981,7614.671753,7613.22496536693
1697068800000,2023-10-12 00:00:00,DAI/USD,0.9997,1.0,0.9997,0.99981,7029.970878,7028.63518353318
1696982400000,2023-10-11 00:00:00,DAI/USD,0.99931,1.00049,0.99931,0.9997,31767.616193,31758.085908142104
1696896000000,2023-10-10 00:00:00,DAI/USD,0.99969,0.9998,0.99609,0.99931,91713.530454,91650.24811798675
1696809600000,2023-10-09 00:00:00,DAI/USD,1.00094,1.00172,0.99952,0.99969,42632.278976,42619.06296951744
1696723200000,2023-10-08 00:00:00,DAI/USD,0.9997,1.0492,0.99949,1.00094,84286.936471,84366.16619128273
1696636800000,2023-10-07 00:00:00,DAI/USD,0.99952,0.99988,0.99903,0.9997,7957.256549,7954.8693720353
1696550400000,2023-10-06 00:00:00,DAI/USD,0.99921,0.99989,0.99912,0.99952,39779.968668,39760.87428303936
1696464000000,2023-10-05 00:00:00,DAI/USD,0.99969,0.99988,0.99861,0.99921,11261.187549,11252.29121083629
1696377600000,2023-10-04 00:00:00,DAI/USD,0.9997,1.00088,0.9913,0.99969,132984.944258,132943.71892528003
1696291200000,2023-10-03 00:00:00,DAI/USD,0.99969,0.99986,0.99969,0.9997,8466.947608,8464.4075237176
1696204800000,2023-10-02 00:00:00,DAI/USD,0.99856,0.99969,0.99006,0.99969,130896.422291,130855.84440008979
1696118400000,2023-10-01 00:00:00,DAI/USD,0.99917,0.99917,0.9955,0.99856,9748.595079,9734.55710208624
1696032000000,2023-09-30 00:00:00,DAI/USD,0.99653,0.99917,0.99543,0.99917,4007.818742,4004.49225244414
1695945600000,2023-09-29 00:00:00,DAI/USD,0.99989,0.99989,0.99545,0.99653,108918.126861,108540.18096079234
1695859200000,2023-09-28 00:00:00,DAI/USD,0.99901,0.99989,0.99824,0.99989,55737.585753,55731.454618567164
1695772800000,2023-09-27 00:00:00,DAI/USD,0.99901,0.99969,0.99901,0.99901,28544.429272,28516.17028702072
1695686400000,2023-09-26 00:00:00,DAI/USD,0.99969,1.0,0.99901,0.99901,36178.702469,36142.885553555694
1695600000000,2023-09-25 00:00:00,DAI/USD,1.00023,1.00023,0.9985,0.99969,24317.188827,24309.65049846363
1695513600000,2023-09-24 00:00:00,DAI/USD,0.9999,1.00023,0.99912,1.00023,17933.420657,17937.54534375111
1695427200000,2023-09-23 00:00:00,DAI/USD,0.99857,0.9999,0.99843,0.9999,47207.740885,47203.0201109115
1695340800000,2023-09-22 00:00:00,DAI/USD,0.9998,0.9999,0.95034,0.99857,160773.503929,160543.59781838153
1695254400000,2023-09-21 00:00:00,DAI/USD,0.99969,0.9999,0.99969,0.9998,4050.223679,4049.4136342642005
1695168000000,2023-09-20 00:00:00,DAI/USD,0.99901,0.99969,0.99241,0.99969,83097.788619,83072.02830452811
1695081600000,2023-09-19 00:00:00,DAI/USD,0.99912,0.99962,0.999,0.99901,44102.645055,44058.98343639555
1694995200000,2023-09-18 00:00:00,DAI/USD,1.00054,1.00066,0.999,0.99912,15579.255885,15565.546139821201
1694908800000,2023-09-17 00:00:00,DAI/USD,0.9997,1.005,0.99964,1.00054,6132.629316,6135.940935830639
1694822400000,2023-09-16 00:00:00,DAI/USD,0.99969,0.9999,0.99942,0.9997,50051.809692,50036.794149092406
1694736000000,2023-09-15 00:00:00,DAI/USD,0.99969,0.9999,0.99969,0.99969,43405.762178,43392.306391724815
1694649600000,2023-09-14 00:00:00,DAI/USD,0.99999,0.99999,0.99241,0.99969,599148.63316,598962.8970837203
1694563200000,2023-09-13 00:00:00,DAI/USD,0.9998,1.00203,0.9998,0.99999,38094.382545,38094.001601174554
1694476800000,2023-09-12 00:00:00,DAI/USD,1.00008,1.00235,0.9998,0.9998,95596.516166,95577.39686276681
1694390400000,2023-09-11 00:00:00,DAI/USD,0.999,1.04098,0.95502,1.00008,220659.837388,220677.49017499108
1694304000000,2023-09-10 00:00:00,DAI/USD,0.999,0.99909,0.999,0.999,126.91566,126.78874434000001
1694217600000,2023-09-09 00:00:00,DAI/USD,0.9997,1.00058,0.999,0.999,9470.812776,9461.341963224
