https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USD
1678924800,2023-03-16,SHIB/USD,1.031e-05,1.157e-05,1.03e-05,1.11e-05,464968069,5161.1455659
1678838400,2023-03-15,SHIB/USD,1.184e-05,1.184e-05,1.022e-05,1.031e-05,390662968,4027.7352000799997
1678752000,2023-03-14,SHIB/USD,1.168e-05,1.18e-05,1.1e-05,1.179e-05,630598399,7434.755124210001
1678665600,2023-03-13,SHIB/USD,1.142e-05,1.168e-05,1.02e-05,1.168e-05,1222431692,14278.00216256
1678579200,2023-03-12,SHIB/USD,1.092e-05,1.142e-05,1e-05,1.142e-05,166176305,1897.7334031
1678492800,2023-03-11,SHIB/USD,1.041e-05,1.095e-05,9.54e-06,9.9e-06,127186170,1259.143083
1678406400,2023-03-10,SHIB/USD,9.75e-06,1.085e-05,8.48e-06,1.041e-05,973202603,10131.039097230001
1678320000,2023-03-09,SHIB/USD,1.148e-05,1.169e-05,1e-05,1.085e-05,552725753,5997.074420049999
1678233600,2023-03-08,SHIB/USD,1.121e-05,1.189e-05,1.042e-05,1.089e-05,191990407,2090.77553223
1678147200,2023-03-07,SHIB/USD,1.115e-05,1.175e-05,1.03e-05,1.036e-05,201679828,2089.40301808
1678060800,2023-03-06,SHIB/USD,1.12e-05,1.189e-05,1.1e-05,1.168e-05,118693606,1386.34131808
1677974400,2023-03-05,SHIB/USD,1.122e-05,1.213e-05,1.1e-05,1.189e-05,254483456,3025.80829184
1677888000,2023-03-04,SHIB/USD,1.15e-05,1.28e-05,1.09e-05,1.28e-05,360264003,4611.3792384
1677801600,2023-03-03,SHIB/USD,1.2e-05,1.2e-05,1.114e-05,1.15e-05,284434313,3270.9945995
1677715200,2023-03-02,SHIB/USD,1.279e-05,1.279e-05,1.18e-05,1.18e-05,1175579411,13871.8370498
1677628800,2023-03-01,SHIB/USD,1.216e-05,1.279e-05,1.215e-05,1.279e-05,169588414,2169.03581506
1677542400,2023-02-28,SHIB/USD,1.255e-05,1.31e-05,1.212e-05,1.212e-05,411369859,4985.80269108
1677456000,2023-02-27,SHIB/USD,1.285e-05,1.311e-05,1.222e-05,1.255e-05,234048254,2937.3055877
1677369600,2023-02-26,SHIB/USD,1.251e-05,1.313e-05,1.212e-05,1.285e-05,217799005,2798.7172142500003
1677283200,2023-02-25,SHIB/USD,1.288e-05,1.288e-05,1.2e-05,1.202e-05,578803493,6957.21798586
1677196800,2023-02-24,SHIB/USD,1.359e-05,1.36e-05,1.225e-05,1.227e-05,408590671,5013.40753317
1677110400,2023-02-23,SHIB/USD,1.308e-05,1.365e-05,1.242e-05,1.35e-05,368505108,4974.818958
1677024000,2023-02-22,SHIB/USD,1.281e-05,1.319e-05,1.225e-05,1.236e-05,272406945,3366.9498402
1676937600,2023-02-21,SHIB/USD,1.37e-05,1.37e-05,1.28e-05,1.328e-05,931303891,12367.71567248
1676851200,2023-02-20,SHIB/USD,1.36e-05,1.389e-05,1.291e-05,1.371e-05,1085449214,14881.50872394
1676764800,2023-02-19,SHIB/USD,1.291e-05,1.39e-05,1.276e-05,1.348e-05,1114955890,15029.605397199999
1676678400,2023-02-18,SHIB/USD,1.319e-05,1.353e-05,1.27e-05,1.345e-05,2105226704,28315.2991688
1676592000,2023-02-17,SHIB/USD,1.361e-05,1.361e-05,1.264e-05,1.31e-05,172179935,2255.5571485
1676505600,2023-02-16,SHIB/USD,1.378e-05,1.429e-05,1.25e-05,1.369e-05,290883341,3982.19293829
1676419200,2023-02-15,SHIB/USD,1.223e-05,1.38e-05,1.222e-05,1.281e-05,878568874,11254.46727594
1676332800,2023-02-14,SHIB/USD,1.268e-05,1.298e-05,1.213e-05,1.289e-05,391654919,5048.43190591
1676246400,2023-02-13,SHIB/USD,1.255e-05,1.314e-05,1.207e-05,1.207e-05,293579806,3543.50825842
1676160000,2023-02-12,SHIB/USD,1.307e-05,1.357e-05,1.22e-05,1.26e-05,245630968,3094.9501968
1676073600,2023-02-11,SHIB/USD,1.251e-05,1.349e-05,1.215e-05,1.219e-05,156275034,1904.99266446
1675987200,2023-02-10,SHIB/USD,1.245e-05,1.353e-05,1.192e-05,1.353e-05,211996117,2868.30746301
1675900800,2023-02-09,SHIB/USD,1.375e-05,1.421e-05,1.191e-05,1.248e-05,841750427,10505.045328960001
1675814400,2023-02-08,SHIB/USD,1.457e-05,1.524e-05,1.371e-05,1.421e-05,697152228,9906.53315988
1675728000,2023-02-07,SHIB/USD,1.395e-05,1.597e-05,1.362e-05,1.457e-05,1323745256,19286.96837992
1675641600,2023-02-06,SHIB/USD,1.423e-05,1.5e-05,1.39e-05,1.409e-05,349579919,4925.58105871
1675555200,2023-02-05,SHIB/USD,1.48e-05,1.547e-05,1.402e-05,1.444e-05,793496566,11458.090413040001
1675468800,2023-02-04,SHIB/USD,1.289e-05,1.61e-05,1.272e-05,1.418e-05,4059289015,57560.7182327
1675382400,2023-02-03,SHIB/USD,1.236e-05,1.299e-05,1.186e-05,1.288e-05,513251418,6610.67826384
1675296000,2023-02-02,SHIB/USD,1.205e-05,1.3e-05,1.159e-05,1.185e-05,2188104065,25929.03317025
1675209600,2023-02-01,SHIB/USD,1.175e-05,1.2e-05,1.145e-05,1.2e-05,403917633,4847.011596
1675123200,2023-01-31,SHIB/USD,1.175e-05,1.235e-05,1.142e-05,1.175e-05,387383223,4551.752870249999
1675036800,2023-01-30,SHIB/USD,1.239e-05,1.239e-05,1.126e-05,1.175e-05,1728583799,20310.85963825
1674950400,2023-01-29,SHIB/USD,1.177e-05,1.244e-05,1.177e-05,1.2e-05,176386038,2116.6324560000003
1674864000,2023-01-28,SHIB/USD,1.2e-05,1.24e-05,1.176e-05,1.2e-05,416343052,4996.116624
1674777600,2023-01-27,SHIB/USD,1.155e-05,1.28e-05,1.112e-05,1.237e-05,578416570,7155.0129709
1674691200,2023-01-26,SHIB/USD,1.2e-05,1.206e-05,1.11e-05,1.199e-05,151696626,1818.84254574
1674604800,2023-01-25,SHIB/USD,1.13e-05,1.205e-05,1.1e-05,1.2e-05,584385382,7012.624584
1674518400,2023-01-24,SHIB/USD,1.18e-05,1.254e-05,1.1e-05,1.13e-05,453675008,5126.5275904
1674432000,2023-01-23,SHIB/USD,1.208e-05,1.28e-05,1.158e-05,1.18e-05,441027777,5204.1277686
1674345600,2023-01-22,SHIB/USD,1.236e-05,1.258e-05,1.157e-05,1.247e-05,502514389,6266.35443083
1674259200,2023-01-21,SHIB/USD,1.192e-05,1.28e-05,1.192e-05,1.194e-05,382465112,4566.633437279999
1674172800,2023-01-20,SHIB/USD,1.189e-05,1.25e-05,1.101e-05,1.192e-05,1139993619,13588.72393848
1674086400,2023-01-19,SHIB/USD,1.09e-05,1.2e-05,1.073e-05,1.19e-05,1139295379,13557.6150101
1674000000,2023-01-18,SHIB/USD,1.085e-05,1.3e-05,1.085e-05,1.129e-05,2745050899,30991.62464971
1673913600,2023-01-17,SHIB/USD,1.038e-05,1.092e-05,1.022e-05,1.085e-05,385474887,4182.40252395
1673827200,2023-01-16,SHIB/USD,1.1e-05,1.11e-05,1.009e-05,1.062e-05,420935713,4470.33727206
1673740800,2023-01-15,SHIB/USD,1.031e-05,1.11e-05,9.9e-06,1.047e-05,425519631,4455.1905365699995
1673654400,2023-01-14,SHIB/USD,1.02e-05,1.172e-05,9.71e-06,1.014e-05,2221545648,22526.472870719997
1673568000,2023-01-13,SHIB/USD,9.31e-06,1.02e-05,9.26e-06,1.02e-05,2322837203,23692.939470600002
1673481600,2023-01-12,SHIB/USD,9.25e-06,9.7e-06,8.85e-06,9.61e-06,738203953,7094.13998833
1673395200,2023-01-11,SHIB/USD,9.58e-06,9.58e-06,8.55e-06,8.99e-06,549494900,4939.959151
1673308800,2023-01-10,SHIB/USD,8.99e-06,9.62e-06,8.51e-06,9.58e-06,2026225377,19411.23911166
1673222400,2023-01-09,SHIB/USD,8.4e-06,9.12e-06,8.4e-06,8.55e-06,1333068451,11397.735256049998
1673136000,2023-01-08,SHIB/USD,8.61e-06,8.72e-06,8e-06,8.68e-06,509357096,4421.21959328
