https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AVAX,Volume USDT,tradecount
1648425600000,2022-03-28,AVAXUSDT,89.88,96.23,88.58,89.58,3900950.93,360373912.5381,529962
1648339200000,2022-03-27,AVAXUSDT,85.87,89.99,84.4,89.88,1651306.21,143186147.4698,202321
1648252800000,2022-03-26,AVAXUSDT,83.54,86.74,82.46,85.86,1350476.61,114857398.1833,148804
1648166400000,2022-03-25,AVAXUSDT,87.57,87.8,82.25,83.54,2533187.45,216075919.2775,284452
1648080000000,2022-03-24,AVAXUSDT,85.99,88.3,83.63,87.56,2936844.44,253138344.2266,320951
1647993600000,2022-03-23,AVAXUSDT,83.97,87.3,82.21,86.0,2633332.52,223267532.1525,295059
1647907200000,2022-03-22,AVAXUSDT,86.24,89.89,83.7,83.98,3258174.08,283815485.5093,405427
1647820800000,2022-03-21,AVAXUSDT,84.87,92.5,83.02,86.25,4199445.72,368983120.2509,522479
1647734400000,2022-03-20,AVAXUSDT,89.54,89.98,84.26,84.84,2817986.41,245565144.812,322188
1647648000000,2022-03-19,AVAXUSDT,85.72,92.39,85.58,89.53,3285297.07,292078254.5407,450713
1647561600000,2022-03-18,AVAXUSDT,79.4,86.95,76.48,85.71,3592188.77,293299235.7741,480240
1647475200000,2022-03-17,AVAXUSDT,74.07,81.73,73.16,79.4,3601064.66,282934334.3608,439260
1647388800000,2022-03-16,AVAXUSDT,69.82,74.72,68.07,74.08,2655390.64,189099000.2561,312483
1647302400000,2022-03-15,AVAXUSDT,68.97,72.24,66.04,69.82,2272701.89,157179065.5529,246523
1647216000000,2022-03-14,AVAXUSDT,67.92,71.5,65.55,68.97,2929390.22,198926453.3651,295785
1647129600000,2022-03-13,AVAXUSDT,70.93,71.99,67.21,67.94,1213188.75,85166976.6884,149309
1647043200000,2022-03-12,AVAXUSDT,71.23,73.62,70.67,70.94,1178080.64,84879095.2408,131599
1646956800000,2022-03-11,AVAXUSDT,73.93,76.97,70.79,71.22,3182516.66,235440597.1521,345943
1646870400000,2022-03-10,AVAXUSDT,77.6,79.0,71.5,73.93,2525259.61,186714442.8532,284461
1646784000000,2022-03-09,AVAXUSDT,73.02,80.44,72.34,77.63,3319070.88,258132353.5327,337710
1646697600000,2022-03-08,AVAXUSDT,71.67,76.62,71.19,73.0,3043774.1,222357599.3989,304966
1646611200000,2022-03-07,AVAXUSDT,72.51,76.53,70.35,71.69,2451038.1,178997962.3482,277344
1646524800000,2022-03-06,AVAXUSDT,76.69,77.1,72.09,72.51,1936414.77,144793634.1433,206729
1646438400000,2022-03-05,AVAXUSDT,75.78,78.74,73.27,76.68,1992002.84,151948773.5178,263839
1646352000000,2022-03-04,AVAXUSDT,78.5,82.24,74.92,75.79,3853710.64,302363088.1441,467766
1646265600000,2022-03-03,AVAXUSDT,83.35,84.33,77.02,78.5,2971518.96,238658273.6765,344792
1646179200000,2022-03-02,AVAXUSDT,86.89,89.94,82.29,83.36,3048063.73,260108758.0945,398704
1646092800000,2022-03-01,AVAXUSDT,84.54,90.8,83.48,86.89,4517499.99,393520657.331,644503
1646006400000,2022-02-28,AVAXUSDT,75.06,85.88,71.76,84.54,3896436.49,306286202.7246,480872
1645920000000,2022-02-27,AVAXUSDT,81.81,83.07,73.02,75.07,3334479.25,260467180.0454,476284
1645833600000,2022-02-26,AVAXUSDT,80.98,84.95,78.02,81.81,2805070.69,228083868.7707,390264
1645747200000,2022-02-25,AVAXUSDT,76.39,81.99,72.68,80.98,3877124.6,297496792.4161,478279
1645660800000,2022-02-24,AVAXUSDT,73.46,79.98,64.45,76.39,7820713.29,549303006.4641,823813
1645574400000,2022-02-23,AVAXUSDT,74.42,82.5,73.28,73.47,3483406.5,271858501.4036,434724
1645488000000,2022-02-22,AVAXUSDT,70.03,74.94,67.2,74.42,3024268.59,215588321.2794,314877
1645401600000,2022-02-21,AVAXUSDT,77.34,82.7,69.38,70.04,3597142.77,276892269.4802,444515
1645315200000,2022-02-20,AVAXUSDT,85.01,85.73,76.56,77.37,1851608.12,147802271.9346,281004
1645228800000,2022-02-19,AVAXUSDT,83.69,86.34,80.82,85.01,1584310.2,133206597.1289,268613
1645142400000,2022-02-18,AVAXUSDT,88.24,89.99,82.35,83.67,2364097.49,203097006.8269,373313
1645056000000,2022-02-17,AVAXUSDT,95.33,98.77,86.32,88.24,3177570.87,292577748.9156,611534
1644969600000,2022-02-16,AVAXUSDT,92.96,97.35,91.44,95.32,2885648.71,271746583.1222,580477
1644883200000,2022-02-15,AVAXUSDT,81.84,93.68,81.41,92.97,2301376.54,201963674.8756,385670
1644796800000,2022-02-14,AVAXUSDT,77.93,82.6,76.14,81.86,1524047.88,121572615.579,224407
1644710400000,2022-02-13,AVAXUSDT,81.29,83.28,77.49,77.91,1168439.44,94204752.1317,187215
1644624000000,2022-02-12,AVAXUSDT,81.76,84.8,78.65,81.31,2173440.39,177934028.1932,312675
1644537600000,2022-02-11,AVAXUSDT,91.18,92.66,80.0,81.75,2422691.49,211677357.3397,400391
1644451200000,2022-02-10,AVAXUSDT,90.05,95.0,84.93,91.16,2654551.53,240120281.4114,527009
1644364800000,2022-02-09,AVAXUSDT,86.35,92.03,84.34,90.05,1774621.17,157888513.4879,337877
1644278400000,2022-02-08,AVAXUSDT,83.23,95.5,81.65,86.34,5245827.4,460480912.0435,814942
1644192000000,2022-02-07,AVAXUSDT,78.91,85.42,77.44,83.2,1879396.49,155038987.1721,343928
1644105600000,2022-02-06,AVAXUSDT,77.01,79.15,74.1,78.93,1113858.87,85466391.7368,178658
1644019200000,2022-02-05,AVAXUSDT,77.8,80.93,74.94,77.01,1700729.64,132702633.5855,265512
1643932800000,2022-02-04,AVAXUSDT,68.44,77.95,67.43,77.77,2263149.96,165117581.125,314829
1643846400000,2022-02-03,AVAXUSDT,67.79,69.31,64.85,68.44,1792227.65,120496574.823,207929
1643760000000,2022-02-02,AVAXUSDT,73.32,74.86,67.43,67.79,2238866.41,159980250.017,270539
1643673600000,2022-02-01,AVAXUSDT,69.9,73.87,68.47,73.33,1951093.27,138231722.0467,249796
1643587200000,2022-01-31,AVAXUSDT,67.94,70.65,64.25,69.87,1747136.27,117666155.9848,204907
1643500800000,2022-01-30,AVAXUSDT,71.91,72.39,66.85,67.96,1307594.65,91110546.7317,162101
1643414400000,2022-01-29,AVAXUSDT,67.02,73.58,66.86,71.89,1662626.47,117157264.5093,240922
1643328000000,2022-01-28,AVAXUSDT,64.68,67.5,61.71,67.01,1790400.08,115890537.6702,245292
1643241600000,2022-01-27,AVAXUSDT,65.87,67.96,61.06,64.7,2519156.06,161461952.3826,316293
1643155200000,2022-01-26,AVAXUSDT,68.01,73.5,64.39,65.87,3400732.97,234514414.3631,446906
1643068800000,2022-01-25,AVAXUSDT,63.0,70.53,61.65,68.01,2702688.81,177636701.6966,347292
1642982400000,2022-01-24,AVAXUSDT,64.8,64.83,55.14,63.06,3701249.83,219436865.3757,442835
1642896000000,2022-01-23,AVAXUSDT,59.81,66.88,59.02,64.83,2926022.98,184024003.363,346910
1642809600000,2022-01-22,AVAXUSDT,66.03,67.54,52.95,59.78,5109157.94,304793609.7359,571890
1642723200000,2022-01-21,AVAXUSDT,79.32,80.38,63.93,66.06,3392205.59,245692803.7336,462923
1642636800000,2022-01-20,AVAXUSDT,82.58,87.8,78.68,79.33,1225812.76,103096137.4818,215550
1642550400000,2022-01-19,AVAXUSDT,86.03,86.38,81.08,82.61,1139560.79,95386563.9079,184307
1642464000000,2022-01-18,AVAXUSDT,86.67,87.41,83.7,86.0,1041520.48,89047242.5278,172814
1642377600000,2022-01-17,AVAXUSDT,92.25,92.5,85.34,86.67,1328305.0,117439344.8544,236491
1642291200000,2022-01-16,AVAXUSDT,92.98,94.9,91.8,92.24,967418.87,90134788.7386,179015
1642204800000,2022-01-15,AVAXUSDT,90.4,94.44,89.47,92.98,914689.68,83986168.0084,176610
1642118400000,2022-01-14,AVAXUSDT,89.65,91.77,87.23,90.39,1200068.6,107669260.0278,208567
1642032000000,2022-01-13,AVAXUSDT,95.95,97.26,89.08,89.65,1429888.43,133587226.4839,298322
1641945600000,2022-01-12,AVAXUSDT,89.57,96.89,88.8,95.94,1757081.56,164578221.1237,339803
1641859200000,2022-01-11,AVAXUSDT,84.42,91.0,83.21,89.59,1431317.89,124662083.4588,253209
1641772800000,2022-01-10,AVAXUSDT,89.32,92.4,80.1,84.36,2836094.17,241549190.7815,437854
1641686400000,2022-01-09,AVAXUSDT,83.87,91.88,82.46,89.33,1808479.57,157649981.2527,309607
1641600000000,2022-01-08,AVAXUSDT,86.74,89.64,79.18,83.9,2469062.48,208857798.7483,365452
1641513600000,2022-01-07,AVAXUSDT,95.1,95.54,85.0,86.74,2602084.56,231122016.7206,485254
1641427200000,2022-01-06,AVAXUSDT,97.42,97.97,91.04,95.11,1633034.05,154100385.5946,335865
1641340800000,2022-01-05,AVAXUSDT,103.33,106.66,90.4,97.42,2277529.75,229006153.2146,432956
1641254400000,2022-01-04,AVAXUSDT,108.11,109.28,102.78,103.33,1646729.79,174879133.658,328774
1641168000000,2022-01-03,AVAXUSDT,113.02,114.13,106.01,108.11,1518111.91,167515698.0232,345835
1641081600000,2022-01-02,AVAXUSDT,114.12,117.53,112.0,113.03,1157325.57,133181297.4319,349691
1640995200000,2022-01-01,AVAXUSDT,109.43,114.5,108.42,114.13,1211127.98,134625293.1149,330579
1640908800000,2021-12-31,AVAXUSDT,101.75,111.99,100.13,109.43,2472910.64,262031150.6383,514427
1640822400000,2021-12-30,AVAXUSDT,103.1,105.4,98.25,101.75,1935135.51,198166564.1976,352551
1640736000000,2021-12-29,AVAXUSDT,107.05,110.55,102.3,103.1,1941041.1,206638050.6716,452725
1640649600000,2021-12-28,AVAXUSDT,113.85,116.73,104.33,107.06,2819996.86,313337643.1528,644930
1640563200000,2021-12-27,AVAXUSDT,115.06,120.96,113.23,113.85,1738166.79,203476465.2903,404857
1640476800000,2021-12-26,AVAXUSDT,114.99,118.0,109.28,115.02,1883628.3,213934618.1505,414687
1640390400000,2021-12-25,AVAXUSDT,114.95,116.93,112.0,115.01,1699906.82,195445144.1515,341094
1640304000000,2021-12-24,AVAXUSDT,121.45,124.57,113.19,114.94,2102188.16,253458715.217,506119
1640217600000,2021-12-23,AVAXUSDT,116.68,125.06,116.22,121.4,2526919.7,305123263.3118,631183
1640131200000,2021-12-22,AVAXUSDT,123.23,127.32,115.55,116.69,2949493.16,361612835.4384,681019
1640044800000,2021-12-21,AVAXUSDT,113.52,123.97,110.59,123.24,3711910.2,436728554.5318,870925
1639958400000,2021-12-20,AVAXUSDT,107.61,116.33,100.96,113.55,4463038.26,479899741.2311,871353
1639872000000,2021-12-19,AVAXUSDT,115.91,116.69,106.66,107.61,2140304.15,238953714.0242,450765
1639785600000,2021-12-18,AVAXUSDT,110.82,117.39,105.51,115.9,3442233.16,387451666.1496,759562
1639699200000,2021-12-17,AVAXUSDT,98.23,116.1,98.14,110.81,6159186.26,661735819.1204,1279729
1639612800000,2021-12-16,AVAXUSDT,101.28,110.0,98.0,98.21,4989316.02,521108640.6292,953252
1639526400000,2021-12-15,AVAXUSDT,87.16,105.77,86.1,101.24,6449158.02,608721178.0181,1177681
1639440000000,2021-12-14,AVAXUSDT,79.05,87.46,76.31,87.17,2973253.39,240732813.4588,437573
1639353600000,2021-12-13,AVAXUSDT,88.01,89.92,75.5,79.05,3604282.51,297920347.4361,529020
1639267200000,2021-12-12,AVAXUSDT,86.55,88.97,82.94,88.0,1544788.55,132574718.7587,259733
1639180800000,2021-12-11,AVAXUSDT,80.57,87.07,78.32,86.55,2324989.97,192503522.11,343696
1639094400000,2021-12-10,AVAXUSDT,85.41,91.78,80.22,80.61,3342367.08,288264849.1125,481767
1639008000000,2021-12-09,AVAXUSDT,93.2,94.57,83.28,85.46,2603024.55,231828745.6526,423503
1638921600000,2021-12-08,AVAXUSDT,89.54,93.22,86.0,93.19,1976726.13,177886851.2276,353013
1638835200000,2021-12-07,AVAXUSDT,92.93,96.62,88.0,89.57,2882225.85,268707936.5006,526949
1638748800000,2021-12-06,AVAXUSDT,86.34,94.9,77.0,92.97,5155977.54,439819665.4866,756721
1638662400000,2021-12-05,AVAXUSDT,93.02,95.5,82.55,86.35,3562051.48,314125316.6757,569060
1638576000000,2021-12-04,AVAXUSDT,108.36,108.81,76.57,93.05,6768729.16,621549884.9684,1056013
1638489600000,2021-12-03,AVAXUSDT,107.79,113.23,100.0,108.32,3316203.87,355634559.8607,720092
1638403200000,2021-12-02,AVAXUSDT,119.64,119.75,106.88,107.78,2475877.81,283945869.4038,572711
1638316800000,2021-12-01,AVAXUSDT,120.42,127.41,117.25,119.65,3007063.68,371842650.4937,870375
1638230400000,2021-11-30,AVAXUSDT,120.39,124.8,114.0,120.41,3625461.85,435034335.8015,995002
1638144000000,2021-11-29,AVAXUSDT,110.42,120.41,109.03,120.39,2516574.06,286230167.453,602880
1638057600000,2021-11-28,AVAXUSDT,113.55,113.97,100.57,110.42,3365794.57,362016044.424,769419
1637971200000,2021-11-27,AVAXUSDT,104.3,118.0,103.22,113.52,2842064.96,316173642.0257,674302
1637884800000,2021-11-26,AVAXUSDT,119.25,119.87,101.31,104.27,4575826.59,500649893.4065,936325
1637798400000,2021-11-25,AVAXUSDT,115.25,130.0,114.22,119.27,4680745.85,577389587.1607,1275487
1637712000000,2021-11-24,AVAXUSDT,123.83,124.68,112.64,115.24,4577775.34,541093685.6977,954280
1637625600000,2021-11-23,AVAXUSDT,134.84,136.49,121.75,123.83,4209995.63,545312344.8353,1053367
1637539200000,2021-11-22,AVAXUSDT,128.52,145.0,125.76,134.84,6564376.0,894863160.3335,1934452
1637452800000,2021-11-21,AVAXUSDT,125.86,147.0,123.23,128.47,7608661.934,1024944849.4809539,2377963
1637366400000,2021-11-20,AVAXUSDT,111.91,129.94,111.57,125.83,5546998.32,669094804.752146,1742540
1637280000000,2021-11-19,AVAXUSDT,100.54,112.35,95.89,111.93,4039089.13,426489727.93466,1021316
1637193600000,2021-11-18,AVAXUSDT,107.62,110.41,92.0,100.63,5656362.447,574610818.889144,1132789
1637107200000,2021-11-17,AVAXUSDT,97.8,110.0,91.5,107.63,7144221.098,724754711.624415,1664007
1637020800000,2021-11-16,AVAXUSDT,93.86,101.82,83.5,97.84,5618799.05,519762762.9634,1185528
1636934400000,2021-11-15,AVAXUSDT,95.4,101.7,92.0,93.9,3770997.004,367311805.62845,825655
1636848000000,2021-11-14,AVAXUSDT,97.56,99.9,91.65,95.4,3548704.679,339169506.43396,742996
1636761600000,2021-11-13,AVAXUSDT,84.81,98.69,84.79,97.54,3519352.278,326031351.049076,956436
1636675200000,2021-11-12,AVAXUSDT,87.86,89.88,81.11,84.78,2247279.59,190900107.5021,438268
1636588800000,2021-11-11,AVAXUSDT,85.19,89.56,83.73,87.88,2085731.8,182214801.0188,397496
1636502400000,2021-11-10,AVAXUSDT,88.35,94.0,78.31,85.23,4363326.07,387688057.0591,846206
