https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1693008000000,2023-08-26 00:00:00,UNI/USD,4.548,4.6311,4.5363,4.6084,1562.859279,7202.2807013435995
1692921600000,2023-08-25 00:00:00,UNI/USD,4.6611,4.6611,4.5,4.548,3508.685645,15957.50231346
1692835200000,2023-08-24 00:00:00,UNI/USD,4.7512,4.7951,4.608,4.6611,1363.198409,6354.0041041899
1692748800000,2023-08-23 00:00:00,UNI/USD,4.6829,4.8527,4.6708,4.7512,5734.823308,27247.2925009696
1692662400000,2023-08-22 00:00:00,UNI/USD,4.7852,4.7907,4.5073,4.6829,5266.081573,24660.533398201704
1692576000000,2023-08-21 00:00:00,UNI/USD,4.908,4.908,4.7252,4.7852,2777.178609,13289.3550797868
1692489600000,2023-08-20 00:00:00,UNI/USD,4.8909,4.9301,4.87,4.908,648.859281,3184.6013511480005
1692403200000,2023-08-19 00:00:00,UNI/USD,4.9089,5.0034,4.863,4.8909,478.665828,2341.1066981652
1692316800000,2023-08-18 00:00:00,UNI/USD,4.9973,5.0373,4.8619,4.9089,4937.007698,24235.277088712202
1692230400000,2023-08-17 00:00:00,UNI/USD,5.4552,5.499,4.5995,4.9973,12796.373661,63947.3180961153
1692144000000,2023-08-16 00:00:00,UNI/USD,5.9452,5.9452,5.3075,5.4552,8142.833278,44420.784098145596
1692057600000,2023-08-15 00:00:00,UNI/USD,6.252,6.2811,5.9274,5.9452,3023.004608,17972.3669954816
1691971200000,2023-08-14 00:00:00,UNI/USD,6.0989,6.3584,6.0613,6.252,4946.127795,30923.19097434
1691884800000,2023-08-13 00:00:00,UNI/USD,6.2221,6.2221,6.0267,6.0989,5286.277325,32240.4767774425
1691798400000,2023-08-12 00:00:00,UNI/USD,6.1941,6.2416,6.1264,6.2221,3419.082817,21273.8751956557
1691712000000,2023-08-11 00:00:00,UNI/USD,6.1959,6.222,6.09,6.1941,5529.217445,34248.5257760745
1691625600000,2023-08-10 00:00:00,UNI/USD,6.252,6.3355,6.1606,6.1959,3879.764272,24038.631452884798
1691539200000,2023-08-09 00:00:00,UNI/USD,6.0759,6.3178,6.0488,6.252,3782.99775,23651.301933
1691452800000,2023-08-08 00:00:00,UNI/USD,5.8803,6.1489,5.8029,6.0759,3567.642444,21676.6387254996
1691366400000,2023-08-07 00:00:00,UNI/USD,5.9555,6.06,5.7459,5.8803,5988.6056,35214.79750968
1691280000000,2023-08-06 00:00:00,UNI/USD,6.0552,6.1393,5.9532,5.9555,500.992973,2983.6636507015
1691193600000,2023-08-05 00:00:00,UNI/USD,6.044,6.0745,5.9462,6.0552,1460.610059,8844.2860292568
1691107200000,2023-08-04 00:00:00,UNI/USD,6.0941,6.2138,6.0099,6.044,2335.716435,14117.070133139998
1691020800000,2023-08-03 00:00:00,UNI/USD,6.1472,6.2527,6.0565,6.0941,1484.218372,9044.9751808052
1690934400000,2023-08-02 00:00:00,UNI/USD,6.6695,6.6792,6.1272,6.1472,9474.945912,58244.38751024639
