https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAVE,Volume USDT,tradecount
1669939200000,2022-12-02,AAVEUSDT,63.7,65.8,62.2,65.7,118425.765,7627979.9109,23027
1669852800000,2022-12-01,AAVEUSDT,65.3,65.5,63.0,63.6,101872.218,6529389.0607,19557
1669766400000,2022-11-30,AAVEUSDT,61.6,66.0,61.6,65.3,183829.887,11779141.5177,37313
1669680000000,2022-11-29,AAVEUSDT,60.1,62.5,59.5,61.6,116656.424,7152763.5885,19822
1669593600000,2022-11-28,AAVEUSDT,61.5,62.6,58.5,60.2,158701.234,9541123.3951,29576
1669507200000,2022-11-27,AAVEUSDT,61.7,63.4,59.9,61.5,301776.958,18692126.8865,39192
1669420800000,2022-11-26,AAVEUSDT,59.1,62.5,59.1,61.8,201160.874,12209499.3244,34262
1669334400000,2022-11-25,AAVEUSDT,58.1,60.5,56.7,59.2,172823.625,10158945.6503,27956
1669248000000,2022-11-24,AAVEUSDT,58.5,60.1,57.3,58.2,131257.362,7678936.1437,24651
1669161600000,2022-11-23,AAVEUSDT,57.4,59.4,56.5,58.5,235567.726,13619143.9959,37857
1669075200000,2022-11-22,AAVEUSDT,55.9,57.9,50.2,57.5,725741.201,39239233.2225,115414
1668988800000,2022-11-21,AAVEUSDT,56.0,57.9,53.9,55.9,185280.612,10394238.9198,37789
1668902400000,2022-11-20,AAVEUSDT,58.8,62.1,55.5,56.1,213779.705,12658377.894,37308
1668816000000,2022-11-19,AAVEUSDT,58.4,59.2,56.9,58.7,70747.163,4100077.857,13622
1668729600000,2022-11-18,AAVEUSDT,58.6,61.4,57.4,58.4,125846.513,7461979.467,24342
1668643200000,2022-11-17,AAVEUSDT,58.3,59.6,56.8,58.5,111201.692,6496669.4037,23489
1668556800000,2022-11-16,AAVEUSDT,61.0,62.2,57.0,58.4,158757.769,9392725.1287,33521
1668470400000,2022-11-15,AAVEUSDT,59.2,63.0,58.4,61.0,215254.241,13053791.5802,52419
1668384000000,2022-11-14,AAVEUSDT,56.7,59.8,53.4,59.2,285264.128,16249718.1621,67317
1668297600000,2022-11-13,AAVEUSDT,58.0,61.0,55.7,56.6,307122.874,17920916.8172,58591
1668211200000,2022-11-12,AAVEUSDT,64.1,64.1,56.8,58.1,499358.201,29409401.2189,77983
1668124800000,2022-11-11,AAVEUSDT,68.0,68.9,60.5,64.0,281627.934,18179080.7112,64302
1668038400000,2022-11-10,AAVEUSDT,58.2,70.9,57.0,68.0,474350.321,30825328.787,113308
1667952000000,2022-11-09,AAVEUSDT,72.2,73.1,56.9,58.1,457924.579,30284205.8042,124463
1667865600000,2022-11-08,AAVEUSDT,87.2,88.4,65.6,72.2,602566.691,47067427.6095,158111
1667779200000,2022-11-07,AAVEUSDT,86.3,90.5,83.8,87.3,193318.74,16900123.7185,56660
1667692800000,2022-11-06,AAVEUSDT,96.3,96.4,86.3,86.4,201022.883,18365669.6337,50278
1667606400000,2022-11-05,AAVEUSDT,94.7,98.4,93.5,96.3,184998.275,17748637.1175,61592
1667520000000,2022-11-04,AAVEUSDT,83.7,97.7,83.3,94.6,335363.331,31016395.1533,107932
1667433600000,2022-11-03,AAVEUSDT,80.4,86.6,79.8,83.7,133482.774,11211136.1436,39833
1667347200000,2022-11-02,AAVEUSDT,84.2,85.7,79.1,80.5,137280.902,11366993.0111,44875
1667260800000,2022-11-01,AAVEUSDT,83.9,86.3,83.5,84.2,92036.054,7833381.7018,25248
1667174400000,2022-10-31,AAVEUSDT,83.9,87.2,82.4,83.9,108644.041,9174183.7851,31924
1667088000000,2022-10-30,AAVEUSDT,85.4,86.9,82.8,83.9,64194.968,5445108.1115,22319
1667001600000,2022-10-29,AAVEUSDT,84.1,87.4,83.8,85.4,111401.65,9503203.4393,36714
1666915200000,2022-10-28,AAVEUSDT,81.4,85.0,80.5,84.1,94671.477,7824308.0399,28271
1666828800000,2022-10-27,AAVEUSDT,83.5,87.1,80.5,81.4,195605.982,16512409.6424,49153
1666742400000,2022-10-26,AAVEUSDT,81.9,85.3,80.8,83.5,191678.394,15976211.4398,45864
1666656000000,2022-10-25,AAVEUSDT,85.1,86.4,81.5,81.9,233080.245,19569062.3084,52752
1666569600000,2022-10-24,AAVEUSDT,88.9,90.0,84.6,85.1,137506.905,12032239.2424,37177
1666483200000,2022-10-23,AAVEUSDT,82.1,90.1,81.5,88.8,95579.844,8168541.697,33583
1666396800000,2022-10-22,AAVEUSDT,82.1,84.4,81.3,82.2,47539.088,3935842.5861,16455
1666310400000,2022-10-21,AAVEUSDT,80.8,83.3,78.3,82.1,118974.477,9643207.5394,32111
1666224000000,2022-10-20,AAVEUSDT,82.8,83.9,80.0,80.7,97828.067,8005505.0386,28403
1666137600000,2022-10-19,AAVEUSDT,82.4,85.8,81.2,82.8,158135.677,13179349.7627,42362
1666051200000,2022-10-18,AAVEUSDT,78.9,83.7,77.9,82.5,138966.218,11172249.9963,41906
1665964800000,2022-10-17,AAVEUSDT,75.9,79.7,74.7,78.9,84774.672,6584804.161,24993
1665878400000,2022-10-16,AAVEUSDT,71.8,76.3,71.8,75.8,45262.259,3371414.8022,15700
1665792000000,2022-10-15,AAVEUSDT,72.9,73.4,71.4,71.9,26605.732,1923602.5143,9729
1665705600000,2022-10-14,AAVEUSDT,71.0,74.7,70.8,72.9,90460.559,6607982.7527,24134
1665619200000,2022-10-13,AAVEUSDT,71.5,72.0,64.7,71.0,168837.39,11536436.4529,39876
1665532800000,2022-10-12,AAVEUSDT,71.4,72.8,71.1,71.6,32958.909,2369629.3355,10803
1665446400000,2022-10-11,AAVEUSDT,73.5,73.6,71.2,71.4,50595.162,3656052.0826,16160
1665360000000,2022-10-10,AAVEUSDT,75.5,76.5,73.3,73.6,31014.762,2312995.8256,12589
1665273600000,2022-10-09,AAVEUSDT,74.6,76.1,74.2,75.5,23731.376,1785560.5947,7249
1665187200000,2022-10-08,AAVEUSDT,75.7,76.2,73.9,74.6,22752.315,1711492.071,8027
1665100800000,2022-10-07,AAVEUSDT,77.4,78.3,75.0,75.8,53599.961,4102229.6676,14925
1665014400000,2022-10-06,AAVEUSDT,78.8,80.4,77.2,77.5,77223.946,6099357.2752,22942
1664928000000,2022-10-05,AAVEUSDT,78.9,79.2,75.8,78.8,58332.845,4537772.5539,17050
1664841600000,2022-10-04,AAVEUSDT,75.6,79.8,75.5,78.9,67929.104,5285874.3045,22487
1664755200000,2022-10-03,AAVEUSDT,72.6,76.2,71.8,75.5,69920.296,5220559.9296,21104
1664668800000,2022-10-02,AAVEUSDT,74.5,75.9,72.1,72.6,90772.121,6735861.2353,19156
1664582400000,2022-10-01,AAVEUSDT,74.6,76.1,73.9,74.5,60557.732,4545283.1371,12500
1664496000000,2022-09-30,AAVEUSDT,77.0,78.0,73.7,74.6,87081.019,6618040.3448,26694
1664409600000,2022-09-29,AAVEUSDT,76.9,77.6,74.3,76.9,62809.833,4784467.9721,22280
1664323200000,2022-09-28,AAVEUSDT,76.7,78.1,73.0,76.8,126074.5,9531435.5887,34016
1664236800000,2022-09-27,AAVEUSDT,76.2,80.9,74.6,76.6,112577.46,8800668.9091,37238
1664150400000,2022-09-26,AAVEUSDT,73.6,76.6,72.6,76.2,92569.996,6916875.5889,26859
1664064000000,2022-09-25,AAVEUSDT,74.9,77.6,72.7,73.6,46457.151,3498191.6836,16825
1663977600000,2022-09-24,AAVEUSDT,77.0,77.4,74.6,75.0,48703.744,3723028.6199,15413
1663891200000,2022-09-23,AAVEUSDT,76.7,78.8,72.8,77.1,89220.265,6746734.1561,28062
1663804800000,2022-09-22,AAVEUSDT,71.6,77.7,71.5,76.7,96991.203,7281859.2081,28389
1663718400000,2022-09-21,AAVEUSDT,74.1,79.6,70.4,71.6,171833.493,12965610.977,50509
1663632000000,2022-09-20,AAVEUSDT,76.3,77.2,73.7,74.0,95897.764,7222714.2247,25404
