https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1657238400,2022-07-08,AAVE/USD,72.2,73.78,71.6,71.66,85.313583,6113.57135778
1657152000,2022-07-07,AAVE/USD,62.22,71.0,62.22,69.49,10.910051,758.1394439899999
1657065600,2022-07-06,AAVE/USD,62.27,62.5,61.94,62.5,4.214208,263.38800000000003
1656979200,2022-07-05,AAVE/USD,62.03,62.03,58.87,61.96,7.919814,490.71167543999996
1656892800,2022-07-04,AAVE/USD,59.13,61.5,57.18,61.5,12.806213,787.5820995
1656720000,2022-07-02,AAVE/USD,53.45,57.13,53.45,57.13,2.133029,121.85994677000001
1656633600,2022-07-01,AAVE/USD,56.65,58.89,54.6,56.47,17.3453,979.489091
1656547200,2022-06-30,AAVE/USD,58.48,58.48,52.56,56.86,82.01971,4663.640710600001
1656460800,2022-06-29,AAVE/USD,59.13,60.21,57.29,60.21,255.814859,15402.612660390001
1656374400,2022-06-28,AAVE/USD,67.78,67.78,60.48,60.48,19.971252,1207.8613209599998
1656288000,2022-06-27,AAVE/USD,67.61,77.23,65.0,65.0,10.957948,712.26662
1656201600,2022-06-26,AAVE/USD,70.0,87.5,67.65,69.74,7.47197,521.0951878
1656115200,2022-06-25,AAVE/USD,72.94,73.32,70.82,70.82,2.16491,153.31892619999996
1656028800,2022-06-24,AAVE/USD,68.71,69.98,67.7,69.98,6.870638,480.80724724
1655942400,2022-06-23,AAVE/USD,61.98,69.77,61.98,67.26,5.999349,403.51621374
1655856000,2022-06-22,AAVE/USD,66.82,66.82,61.98,61.98,10.3681,642.614838
1655769600,2022-06-21,AAVE/USD,61.77,97.0,45.0,67.81,121.01939,8206.3248359
1655683200,2022-06-20,AAVE/USD,53.31,63.96,51.21,59.0,73.077093,4311.548487
1655596800,2022-06-19,AAVE/USD,50.19,57.3,46.5,52.44,31.714256,1663.09558464
1655510400,2022-06-18,AAVE/USD,58.36,58.52,46.11,48.23,83.301524,4017.63250252
1655424000,2022-06-17,AAVE/USD,55.13,58.42,54.71,55.67,17.843592,993.3527666400001
1655337600,2022-06-16,AAVE/USD,62.52,65.37,58.39,58.39,5.127972,299.42228508
1655251200,2022-06-15,AAVE/USD,59.69,67.2,51.0,67.2,25.083988,1685.6439936000002
1655164800,2022-06-14,AAVE/USD,60.28,101.19,55.59,61.13,140.99521,8619.0371873
1655078400,2022-06-13,AAVE/USD,70.74,98.02,51.0,57.81,179.351344,10368.30119664
1654992000,2022-06-12,AAVE/USD,77.05,77.41,69.63,70.62,257.704342,18199.08063204
1654905600,2022-06-11,AAVE/USD,87.8,88.64,75.62,76.96,206.609546,15900.670660159998
1654819200,2022-06-10,AAVE/USD,95.89,96.59,85.75,87.72,305.370678,26787.11587416
1654732800,2022-06-09,AAVE/USD,96.53,99.11,94.63,95.78,85.320525,8171.9998845
1654646400,2022-06-08,AAVE/USD,99.6,101.47,95.89,96.64,95.517235,9230.7855904
1654560000,2022-06-07,AAVE/USD,105.8,105.85,96.43,99.7,142.355853,14192.8785441
1654473600,2022-06-06,AAVE/USD,104.07,111.42,104.07,105.85,99.546322,10536.9781837
1654387200,2022-06-05,AAVE/USD,106.47,106.83,103.77,104.02,56.68577,5896.4537954
1654300800,2022-06-04,AAVE/USD,106.82,107.36,103.12,106.35,68.137331,7246.40515185
1654214400,2022-06-03,AAVE/USD,111.07,112.77,104.46,106.87,173.304118,18521.01109066
1654128000,2022-06-02,AAVE/USD,106.4,111.51,103.62,111.2,153.798095,17102.348164
1654041600,2022-06-01,AAVE/USD,113.28,120.38,101.68,106.53,274.335843,29224.99735479
1653955200,2022-05-31,AAVE/USD,117.68,123.49,112.5,113.22,302.1989,34214.959458
1653868800,2022-05-30,AAVE/USD,94.97,122.29,94.87,117.55,275.912625,32433.52906875
1653782400,2022-05-29,AAVE/USD,95.53,96.6,92.27,95.02,56.281195,5347.8391489
1653696000,2022-05-28,AAVE/USD,92.46,96.53,91.17,95.48,86.96317,8303.2434716
1653609600,2022-05-27,AAVE/USD,101.2,101.31,90.15,92.41,335.697816,31021.83517656
1653523200,2022-05-26,AAVE/USD,102.14,105.4,93.03,101.16,340.719063,34467.14041308
1653436800,2022-05-25,AAVE/USD,106.59,107.44,98.58,102.09,176.044751,17972.408629589998
1653350400,2022-05-24,AAVE/USD,99.64,107.74,93.74,106.65,226.9487,24204.078855
1653264000,2022-05-23,AAVE/USD,94.28,109.28,92.45,99.64,284.717183,28369.22011412
1653177600,2022-05-22,AAVE/USD,91.45,96.37,90.98,94.29,167.927733,15833.90594457
1653091200,2022-05-21,AAVE/USD,90.28,92.64,89.04,91.5,117.736468,10772.886822
1653004800,2022-05-20,AAVE/USD,91.59,97.6,85.1,90.24,240.684111,21719.334176639997
1652918400,2022-05-19,AAVE/USD,81.63,91.49,79.58,91.49,253.614489,23203.18959861
1652832000,2022-05-18,AAVE/USD,92.43,96.11,81.59,81.59,278.932469,22758.100145710003
1652745600,2022-05-17,AAVE/USD,84.39,93.24,84.39,92.38,185.554491,17141.52387858
1652659200,2022-05-16,AAVE/USD,91.9,91.9,81.71,84.35,190.072296,16032.5981676
1652572800,2022-05-15,AAVE/USD,86.79,91.95,83.01,91.95,253.325374,23293.268139300002
1652486400,2022-05-14,AAVE/USD,82.23,86.93,77.98,86.89,188.354742,16366.14353238
1652400000,2022-05-13,AAVE/USD,80.44,92.31,80.0,82.14,213.538541,17540.05575774
1652313600,2022-05-12,AAVE/USD,82.38,87.97,63.58,74.96,392.53938,29424.751924799995
1652227200,2022-05-11,AAVE/USD,105.24,108.05,76.77,82.27,1321.145691,108690.65599856999
1652140800,2022-05-10,AAVE/USD,99.86,118.04,97.37,105.29,694.260944,73098.73479376
1652054400,2022-05-09,AAVE/USD,126.12,128.43,99.83,99.83,590.689035,58968.48636405
1651968000,2022-05-08,AAVE/USD,132.62,132.94,126.04,126.04,90.608774,11420.32987496
1651881600,2022-05-07,AAVE/USD,138.5,138.5,129.66,132.51,63.540786,8419.789552859998
1651795200,2022-05-06,AAVE/USD,141.5,142.37,133.83,138.66,283.798617,39351.51623322
1651708800,2022-05-05,AAVE/USD,159.11,161.58,137.33,141.34,252.310352,35661.54515168
1651622400,2022-05-04,AAVE/USD,141.25,158.9,141.25,158.9,124.700693,19814.9401177
1651536000,2022-05-03,AAVE/USD,144.15,146.34,139.95,141.25,64.121079,9057.102408749999
1651449600,2022-05-02,AAVE/USD,146.6,148.37,139.46,144.2,120.117479,17320.9404718
1651363200,2022-05-01,AAVE/USD,142.74,148.55,140.25,146.43,106.171583,15546.70489869
1651276800,2022-04-30,AAVE/USD,157.09,162.14,139.12,142.91,126.358195,18057.84964745
1651190400,2022-04-29,AAVE/USD,165.97,167.75,152.02,157.02,81.658983,12822.093510660003
1651104000,2022-04-28,AAVE/USD,168.48,175.54,164.59,165.91,104.256424,17297.18330584
1651017600,2022-04-27,AAVE/USD,157.84,175.59,157.41,168.56,216.376331,36472.394353359996
1650931200,2022-04-26,AAVE/USD,169.27,178.21,155.86,157.64,151.582589,23895.47932996
1650844800,2022-04-25,AAVE/USD,166.73,170.32,154.86,169.46,115.656226,19599.10405796
1650758400,2022-04-24,AAVE/USD,173.99,174.27,166.66,166.79,38.412041,6406.74431839
1650672000,2022-04-23,AAVE/USD,176.96,178.78,173.18,173.99,28.913074,5030.58574526
1650585600,2022-04-22,AAVE/USD,173.67,180.29,171.68,177.14,107.533823,19048.54140622
1650499200,2022-04-21,AAVE/USD,186.36,195.71,171.04,173.84,106.645363,18539.22990392
1650412800,2022-04-20,AAVE/USD,182.99,197.61,179.0,186.44,149.355689,27845.874657160002
1650326400,2022-04-19,AAVE/USD,168.72,183.08,167.12,183.08,87.964381,16104.518873480001
1650240000,2022-04-18,AAVE/USD,167.3,169.58,158.7,168.53,105.753997,17822.72111441
1650153600,2022-04-17,AAVE/USD,172.58,176.98,167.17,167.38,42.114914,7049.194305319999
1650067200,2022-04-16,AAVE/USD,175.73,175.73,170.79,172.78,64.906211,11214.49513658
1649980800,2022-04-15,AAVE/USD,171.94,175.81,169.46,175.81,53.281376,9367.39871456
1649894400,2022-04-14,AAVE/USD,178.58,179.98,167.0,172.14,115.055195,19805.601267299997
1649808000,2022-04-13,AAVE/USD,164.61,179.24,163.51,178.64,103.978535,18574.725492399997
1649721600,2022-04-12,AAVE/USD,158.3,170.58,157.85,164.65,102.842383,16932.99836095
1649635200,2022-04-11,AAVE/USD,176.38,177.52,156.79,158.15,179.727773,28423.947299950003
1649548800,2022-04-10,AAVE/USD,184.63,188.36,176.12,176.38,55.814139,9844.497836819999
1649462400,2022-04-09,AAVE/USD,183.49,185.06,177.93,184.56,54.041026,9973.811758560001
1649376000,2022-04-08,AAVE/USD,202.77,202.77,182.15,183.37,108.75124,19941.7148788
1649289600,2022-04-07,AAVE/USD,191.54,206.89,190.59,202.89,182.054607,36937.05921423
1649203200,2022-04-06,AAVE/USD,221.17,221.17,191.51,191.61,219.645818,42086.33518698
1649116800,2022-04-05,AAVE/USD,238.21,238.21,221.19,221.26,50.410243,11153.77036618
1649030400,2022-04-04,AAVE/USD,243.43,243.43,226.63,238.45,68.935152,16437.5869944
1648944000,2022-04-03,AAVE/USD,237.69,252.16,233.23,243.59,80.48847,19606.186407300003
1648857600,2022-04-02,AAVE/USD,245.46,255.99,237.31,237.61,120.337512,28593.39622632
1648771200,2022-04-01,AAVE/USD,206.7,260.84,206.7,245.62,324.88316,79797.8017592
1648684800,2022-03-31,AAVE/USD,222.71,226.36,205.0,206.47,165.144464,34097.37748208
1648598400,2022-03-30,AAVE/USD,222.85,241.2,212.0,222.81,363.503033,80992.11078273
1648512000,2022-03-29,AAVE/USD,167.84,223.36,167.84,222.69,372.385442,82926.51407898
1648425600,2022-03-28,AAVE/USD,168.47,187.0,167.4,167.69,123.545867,20717.406437229998
1648339200,2022-03-27,AAVE/USD,163.33,168.64,159.77,168.64,39.416889,6647.264160959999
1648252800,2022-03-26,AAVE/USD,162.9,166.42,161.65,163.27,28.126718,4592.249247860001
1648166400,2022-03-25,AAVE/USD,168.63,173.64,161.43,162.71,84.336917,13722.45976507
1648080000,2022-03-24,AAVE/USD,155.82,172.0,153.98,168.71,151.576256,25572.430149760003
1647993600,2022-03-23,AAVE/USD,153.16,156.54,150.56,155.61,69.270783,10779.22654263
1647907200,2022-03-22,AAVE/USD,154.22,160.71,152.55,153.09,58.112354,8896.420273860002
1647820800,2022-03-21,AAVE/USD,152.83,161.33,147.91,154.41,98.204142,15163.701566220001
1647734400,2022-03-20,AAVE/USD,157.47,158.6,147.66,152.62,84.292226,12864.67953212
1647648000,2022-03-19,AAVE/USD,160.54,165.03,155.7,157.39,82.360359,12962.696903009999
1647561600,2022-03-18,AAVE/USD,155.59,163.99,148.01,160.35,140.717736,22564.0889676
1647475200,2022-03-17,AAVE/USD,140.98,156.29,137.28,155.77,126.841462,19758.09453574
1647388800,2022-03-16,AAVE/USD,121.95,141.05,121.59,141.05,187.790757,26487.886274850003
1647302400,2022-03-15,AAVE/USD,118.34,122.48,114.52,121.89,83.421974,10168.30441086
1647216000,2022-03-14,AAVE/USD,115.84,120.93,114.17,118.39,64.544322,7641.402281579999
1647129600,2022-03-13,AAVE/USD,120.44,120.44,115.97,115.97,52.763913,6119.03099061
1647043200,2022-03-12,AAVE/USD,116.74,121.2,116.74,120.58,52.77817,6363.991738600001
1646956800,2022-03-11,AAVE/USD,119.31,120.96,115.3,116.87,89.689742,10482.04014754
1646870400,2022-03-10,AAVE/USD,127.64,127.85,117.3,119.45,80.019023,9558.27229735
1646784000,2022-03-09,AAVE/USD,122.05,129.77,122.05,127.79,149.026895,19044.14691205
1646697600,2022-03-08,AAVE/USD,117.0,124.82,116.67,121.99,126.681929,15453.92851871
1646611200,2022-03-07,AAVE/USD,116.94,145.65,114.04,117.12,241.453349,28279.01623488
1646524800,2022-03-06,AAVE/USD,124.95,125.48,117.07,117.07,66.833873,7824.241512109999
1646438400,2022-03-05,AAVE/USD,124.21,126.07,122.84,124.86,42.801543,5344.20065898
1646352000,2022-03-04,AAVE/USD,129.99,131.56,122.72,124.37,125.015674,15548.199375380002
1646265600,2022-03-03,AAVE/USD,137.81,137.81,126.89,130.14,105.164567,13686.116749379999
1646179200,2022-03-02,AAVE/USD,143.6,145.91,136.9,137.98,195.606689,26989.810948219998
1646092800,2022-03-01,AAVE/USD,146.22,150.41,140.18,143.76,262.508066,37738.159568159994
1646006400,2022-02-28,AAVE/USD,131.57,146.39,128.66,146.05,184.039478,26878.965761900003
