https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1694908800,2023-09-17 00:00:00,GALA/USD,0.01566,0.01590,0.01402,0.01420,3805321.64466702,54035.56735427169
1694822400,2023-09-16 00:00:00,GALA/USD,0.01470,0.01498,0.01453,0.01495,462164.59522111,6909.360698555594
1694736000,2023-09-15 00:00:00,GALA/USD,0.01451,0.01589,0.01430,0.01455,924132.66429781,13446.130265533136
1694649600,2023-09-14 00:00:00,GALA/USD,0.01409,0.01458,0.01407,0.01455,692059.65271405,10069.467946989429
1694563200,2023-09-13 00:00:00,GALA/USD,0.01392,0.01422,0.01377,0.01408,1979065.93423806,27865.248354071886
1694476800,2023-09-12 00:00:00,GALA/USD,0.01580,0.01650,0.01391,0.01392,862251.65174174,12002.54299224502
1694390400,2023-09-11 00:00:00,GALA/USD,0.01473,0.01689,0.01372,0.01580,1662901.04238102,26273.83646962012
1694304000,2023-09-10 00:00:00,GALA/USD,0.01604,0.01669,0.01437,0.01483,1493944.27559205,22155.1936070301
1694217600,2023-09-09 00:00:00,GALA/USD,0.01603,0.01617,0.01592,0.01609,87788.90888980,1412.5235440368822
1694131200,2023-09-08 00:00:00,GALA/USD,0.01623,0.01631,0.01574,0.01597,2186044.96608188,34911.13810832763
1694044800,2023-09-07 00:00:00,GALA/USD,0.01614,0.01756,0.01585,0.01623,746450.62563862,12114.893654114803
1693958400,2023-09-06 00:00:00,GALA/USD,0.01721,0.01771,0.01559,0.01614,1127134.43603778,18191.94979764977
1693872000,2023-09-05 00:00:00,GALA/USD,0.01575,0.01653,0.01545,0.01644,1458872.78293813,23983.868551502856
1693785600,2023-09-04 00:00:00,GALA/USD,0.01679,0.01688,0.01570,0.01602,1668094.45395400,26722.87315234308
1693699200,2023-09-03 00:00:00,GALA/USD,0.01846,0.02032,0.01616,0.01682,2325256.11647639,39110.80787913288
1693612800,2023-09-02 00:00:00,GALA/USD,0.01857,0.02090,0.01825,0.01860,179513.88731525,3338.95830406365
1693526400,2023-09-01 00:00:00,GALA/USD,0.01892,0.02317,0.01833,0.01864,545931.59552615,10176.164940607436
1693440000,2023-08-31 00:00:00,GALA/USD,0.02003,0.02198,0.01869,0.01892,259257.27299258,4905.147605019613
1693353600,2023-08-30 00:00:00,GALA/USD,0.02046,0.02133,0.01975,0.02000,594178.56303614,11883.571260722802
1693267200,2023-08-29 00:00:00,GALA/USD,0.01949,0.02063,0.01912,0.02044,410209.84000898,8384.689129783552
1693180800,2023-08-28 00:00:00,GALA/USD,0.02197,0.02197,0.01881,0.01949,88444.60924529,1723.7854341907023
1693094400,2023-08-27 00:00:00,GALA/USD,0.01920,0.02198,0.01907,0.01932,82404.24587696,1592.0500303428673
1693008000,2023-08-26 00:00:00,GALA/USD,0.01940,0.02082,0.01909,0.01921,109590.33299615,2105.2302968560416
1692921600,2023-08-25 00:00:00,GALA/USD,0.01924,0.02080,0.01920,0.01938,48863.87940926,946.9819829514589
1692835200,2023-08-24 00:00:00,GALA/USD,0.02088,0.02098,0.01955,0.01955,153761.46984542,3006.0367354779614
1692748800,2023-08-23 00:00:00,GALA/USD,0.01935,0.02070,0.01934,0.01990,230041.66332049,4577.829100077752
1692662400,2023-08-22 00:00:00,GALA/USD,0.01966,0.01966,0.01868,0.01868,637330.27928624,11905.329617066962
1692576000,2023-08-21 00:00:00,GALA/USD,0.02139,0.02139,0.01934,0.01964,154907.64663547,3042.386179920631
1692489600,2023-08-20 00:00:00,GALA/USD,0.02018,0.02180,0.02002,0.02007,204719.04648456,4108.711262945119
1692403200,2023-08-19 00:00:00,GALA/USD,0.01962,0.02028,0.01961,0.02018,67918.06590811,1370.5865700256597
1692316800,2023-08-18 00:00:00,GALA/USD,0.01919,0.01964,0.01911,0.01955,268557.15706141,5250.292420550566
1692230400,2023-08-17 00:00:00,GALA/USD,0.02072,0.02157,0.01751,0.01947,1307422.84985450,25455.522886667117
