https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USD
1677283200,2023-02-25,AVAX/USD,19.4541,19.4541,17.765,17.765,51.5734,916.201451
1677196800,2023-02-24,AVAX/USD,20.0,20.0439,18.1502,18.1502,58.646875,1064.452510625
1677110400,2023-02-23,AVAX/USD,19.7003,19.8,19.7001,19.8,14.8509,294.04782
1677024000,2023-02-22,AVAX/USD,22.2222,22.3,19.6003,19.6003,181.500058,3557.4555868174
1676937600,2023-02-21,AVAX/USD,18.5421,22.3,18.5421,22.3,133.034469,2966.6686587
1676851200,2023-02-20,AVAX/USD,20.5981,20.77,18.4553,18.4553,46.391146,856.1625167738
1676764800,2023-02-19,AVAX/USD,18.8188,19.7,18.8188,19.7,11.404219,224.6631143
1676678400,2023-02-18,AVAX/USD,18.1001,20.5731,18.1001,18.1501,4.592724,83.35839987239999
1676592000,2023-02-17,AVAX/USD,17.7603,17.7603,17.7603,17.7603,3.009124,53.4429449772
1676505600,2023-02-16,AVAX/USD,17.8001,20.4748,17.7603,19.95,22.848792,455.83340039999996
1676419200,2023-02-15,AVAX/USD,18.8369,19.5483,17.2296,17.6112,34.496256,607.5204636672
1676332800,2023-02-14,AVAX/USD,19.2721,19.2721,19.049,19.049,3.672753,69.96227189700001
1676246400,2023-02-13,AVAX/USD,17.6111,17.9028,17.0001,17.0001,9.4689,160.97224688999998
1676160000,2023-02-12,AVAX/USD,17.9933,19.4055,17.8,17.8,26.114519,464.83843820000004
1676073600,2023-02-11,AVAX/USD,18.0,19.3011,17.8917,19.2351,4.055078,77.99983083779999
1675987200,2023-02-10,AVAX/USD,18.0,20.2161,18.0,18.0,11.154151,200.774718
1675900800,2023-02-09,AVAX/USD,19.5483,20.6641,17.6112,17.6112,60.323463,1062.3685715856
1675814400,2023-02-08,AVAX/USD,21.6823,21.6823,19.5499,19.5499,64.364883,1258.3270261617001
1675728000,2023-02-07,AVAX/USD,20.2,21.926,20.2,21.926,21.322,467.50617199999994
1675641600,2023-02-06,AVAX/USD,19.9199,21.7494,19.9199,21.7469,66.848668,1453.7512981292
1675555200,2023-02-05,AVAX/USD,20.6,22.1294,20.2,21.8973,29.816207,652.8944295411
1675468800,2023-02-04,AVAX/USD,20.6025,22.6694,20.6025,22.6694,1.699874,38.5351236556
1675382400,2023-02-03,AVAX/USD,22.0,22.67,20.1557,20.6015,84.259662,1735.8754266930002
1675296000,2023-02-02,AVAX/USD,21.6945,22.6847,20.524,21.7815,218.611414,4761.6845140410005
1675209600,2023-02-01,AVAX/USD,19.1002,21.6984,19.0,21.6984,63.503367,1377.9214585128
1675123200,2023-01-31,AVAX/USD,19.7,20.4535,19.1015,20.3894,89.279311,1820.3515837034
1675036800,2023-01-30,AVAX/USD,19.1714,21.0,19.1007,19.7,130.818944,2577.1331967999995
1674950400,2023-01-29,AVAX/USD,19.1002,21.6497,19.1002,21.6497,135.296914,2929.1375990258
1674864000,2023-01-28,AVAX/USD,20.95,20.95,19.0001,20.8999,4.836358,101.07939856419999
1674777600,2023-01-27,AVAX/USD,17.2,21.5,17.0062,21.5,113.895939,2448.7626885
1674691200,2023-01-26,AVAX/USD,19.1037,19.1037,19.1037,19.1037,0.478168,9.134778021599999
1674604800,2023-01-25,AVAX/USD,18.6226,18.6787,16.8456,18.6787,25.865851,483.1404710737
1674518400,2023-01-24,AVAX/USD,18.4789,18.7392,16.8489,16.8489,67.560121,1138.3137227169
1674432000,2023-01-23,AVAX/USD,18.2213,18.4999,16.3456,18.4999,25.103387,464.4101491613
1674345600,2023-01-22,AVAX/USD,17.9144,18.111,16.1925,16.1925,40.096707,649.2659280975
1674259200,2023-01-21,AVAX/USD,17.5964,17.9924,17.5864,17.9232,45.077639,807.9355393248001
1674172800,2023-01-20,AVAX/USD,16.0001,16.6357,16.0,16.0329,7.989474,128.09443769460003
1674086400,2023-01-19,AVAX/USD,16.6351,17.3012,15.3837,17.3012,6.958029,120.3822513348
1674000000,2023-01-18,AVAX/USD,17.993,17.993,15.3809,15.3809,59.467071,914.6570723438999
1673913600,2023-01-17,AVAX/USD,17.0,18.1109,16.636,17.3012,151.472338,2620.6532142056003
1673827200,2023-01-16,AVAX/USD,16.0063,16.0063,16.0063,16.0063,0.438,7.0107593999999995
1673740800,2023-01-15,AVAX/USD,15.9961,17.2892,15.9961,17.2892,34.508998,596.6329682216
1673654400,2023-01-14,AVAX/USD,16.4,18.4999,15.9961,15.9961,188.807381,3020.1817472141
1673568000,2023-01-13,AVAX/USD,15.1,17.2448,15.1,17.2448,92.974331,1603.3237432288001
1673481600,2023-01-12,AVAX/USD,14.3358,17.4896,14.0301,14.4018,527.531311,7597.400434759799
1673395200,2023-01-11,AVAX/USD,12.8398,15.8659,12.8398,15.8659,191.809437,3043.2293464983
1673308800,2023-01-10,AVAX/USD,12.6,12.9,11.8101,11.8127,265.395286,3135.0348949321997
1673222400,2023-01-09,AVAX/USD,12.391,17.9993,10.69,12.2221,636.426315,7778.4660645615
1673136000,2023-01-08,AVAX/USD,12.1801,12.2162,12.1801,12.2162,60.848983,743.3433461246
1672963200,2023-01-06,AVAX/USD,12.2199,12.2199,10.6601,12.2199,10.617694,129.7471589106
1672876800,2023-01-05,AVAX/USD,11.8601,11.8601,11.8001,11.8001,4.751273,56.065496527300006
1672790400,2023-01-04,AVAX/USD,11.7999,12.23,11.7999,12.16,273.128868,3321.2470348800002
1672617600,2023-01-02,AVAX/USD,10.6601,11.7999,10.6601,11.7999,33.574766,396.17888132339993
1672531200,2023-01-01,AVAX/USD,10.79,10.88,10.79,10.88,16.079938,174.94972544
1672444800,2022-12-31,AVAX/USD,10.75,10.77,10.75,10.77,3.8,40.925999999999995
1672358400,2022-12-30,AVAX/USD,10.73,11.7996,10.73,11.7996,10.44,123.18782399999999
1672272000,2022-12-29,AVAX/USD,11.27,11.27,10.75,10.75,9.082092,97.63248899999999
1672185600,2022-12-28,AVAX/USD,11.4099,11.4499,11.0,11.0,128.852977,1417.382747
1672099200,2022-12-27,AVAX/USD,11.7999,11.8,11.7999,11.8,5.04322,59.509996
1672012800,2022-12-26,AVAX/USD,11.7999,11.7999,10.6607,11.7997,4.30612,50.810924164
1671926400,2022-12-25,AVAX/USD,11.7999,11.7999,11.7999,11.7999,9.541223,112.5854772777
1671753600,2022-12-23,AVAX/USD,10.6795,11.9965,10.6795,11.9965,3.002926,36.024601759
1671667200,2022-12-22,AVAX/USD,11.9708,11.9708,11.9708,11.9708,2.417662,28.941348269600002
1671580800,2022-12-21,AVAX/USD,11.81,12.391,11.81,12.391,20.320988,251.797362308
1671408000,2022-12-19,AVAX/USD,12.3976,12.3976,11.601,11.601,48.906,567.358506
1671321600,2022-12-18,AVAX/USD,12.0,12.0,11.6047,11.6047,6.486882,75.2783195454
1671235200,2022-12-17,AVAX/USD,12.0,13.3487,11.601,12.3999,19.202456,238.10853415440002
1671148800,2022-12-16,AVAX/USD,13.2005,13.3,12.1,12.1,87.787235,1062.2255435
1671062400,2022-12-15,AVAX/USD,13.4701,13.4701,12.7771,13.4,50.62512,678.376608
1670889600,2022-12-13,AVAX/USD,12.88,13.9499,12.7888,13.6699,2462.376496,33660.4404626704
1670803200,2022-12-12,AVAX/USD,12.951,12.9797,12.7201,12.9794,67.643001,877.9655671794
1670716800,2022-12-11,AVAX/USD,13.6,17.6,13.251,13.251,284.641423,3771.7834961729995
1670630400,2022-12-10,AVAX/USD,13.55,16.79,13.2801,13.6,373.133091,5074.6100375999995
1670544000,2022-12-09,AVAX/USD,13.35,13.4301,13.35,13.38,4.9788,66.616344
1670457600,2022-12-08,AVAX/USD,13.111,13.53,13.099,13.53,11.758561,159.09333033
1670371200,2022-12-07,AVAX/USD,13.5,13.5,13.3,13.31,7.484562,99.61952022000001
1670284800,2022-12-06,AVAX/USD,13.54,13.54,13.39,13.42,18.6006,249.620052
1670198400,2022-12-05,AVAX/USD,13.9,14.0,13.9,13.9,70.589086,981.1882953999999
1670112000,2022-12-04,AVAX/USD,13.8899,13.8999,13.8899,13.8999,25.982482,361.1539015518
1670025600,2022-12-03,AVAX/USD,13.7899,13.7899,13.45,13.78,530.627016,7312.04028048
1669939200,2022-12-02,AVAX/USD,13.16,13.8899,12.96,13.4,2403.760647,32210.392669800003
1669852800,2022-12-01,AVAX/USD,13.1778,13.2625,12.74,12.74,28.670865,365.2668201
1669766400,2022-11-30,AVAX/USD,12.6709,12.8899,12.63,12.63,51.393986,649.10604318
1669680000,2022-11-29,AVAX/USD,12.43,12.6264,12.39,12.39,9.82883,121.77920370000001
1669593600,2022-11-28,AVAX/USD,12.1837,12.1837,12.16,12.16,108.52,1319.6032
1669507200,2022-11-27,AVAX/USD,13.1599,13.3,13.1599,13.3,20.713693,275.4921169
1669420800,2022-11-26,AVAX/USD,13.0399,13.0399,12.9,12.9,10.020496,129.2643984
1669334400,2022-11-25,AVAX/USD,12.6202,12.6202,12.6202,12.6202,1.506578,19.0133156756
1669248000,2022-11-24,AVAX/USD,13.0113,13.1615,13.0113,13.1615,3.01,39.616115
1669161600,2022-11-23,AVAX/USD,12.4699,12.8771,12.32,12.8771,4.940353,63.617419616300005
1669075200,2022-11-22,AVAX/USD,11.9757,12.2549,11.601,12.2549,25.178346,308.5581123954
1668988800,2022-11-21,AVAX/USD,12.11,12.5183,11.7193,11.7193,61.563259,721.4783011987
1668902400,2022-11-20,AVAX/USD,12.89,12.89,12.5063,12.5063,21.622327,270.4153081601
1668816000,2022-11-19,AVAX/USD,12.7637,12.89,12.76,12.89,30.352459,391.24319651
1668729600,2022-11-18,AVAX/USD,12.9932,13.0953,12.8301,13.0,31.537633,409.989229
1668643200,2022-11-17,AVAX/USD,13.0759,13.2279,12.9327,13.1027,12.218379,160.09375452330002
1668556800,2022-11-16,AVAX/USD,13.6861,13.6861,12.8782,12.8782,27.787216,357.8493250912
1668470400,2022-11-15,AVAX/USD,13.2625,13.6279,13.0091,13.3675,87.887984,1174.84262612
1668384000,2022-11-14,AVAX/USD,12.4719,13.5372,12.4719,13.0891,68.156197,892.1032781527001
1668297600,2022-11-13,AVAX/USD,13.1644,14.0486,12.8771,12.8902,94.800442,1221.9966574684001
1668211200,2022-11-12,AVAX/USD,13.6935,13.77,13.0,13.11,101.047173,1324.72843803
1668124800,2022-11-11,AVAX/USD,15.3399,15.3399,13.7385,13.8546,72.964005,1010.887103673
1668038400,2022-11-10,AVAX/USD,13.5065,15.8658,13.5065,15.5028,525.982448,8154.2006948544
1667952000,2022-11-09,AVAX/USD,15.75,15.8043,12.5,12.8239,821.864524,10539.5084693236
1667865600,2022-11-08,AVAX/USD,17.9666,20.2469,14.9572,16.0014,379.074959,6065.7300489426
1667779200,2022-11-07,AVAX/USD,18.3421,18.5,18.0297,18.16,13.073549,237.41564984
1667692800,2022-11-06,AVAX/USD,19.5,19.5,18.6,18.6,5.653561,105.1562346
1667606400,2022-11-05,AVAX/USD,19.5483,20.2477,19.33,19.6652,35.611633,700.3098852715999
1667520000,2022-11-04,AVAX/USD,17.9425,19.4198,17.9425,19.2279,102.833772,1977.2774846388002
1667433600,2022-11-03,AVAX/USD,18.6183,19.3249,18.3326,18.3642,52.228273,959.1304510266001
1667347200,2022-11-02,AVAX/USD,18.4,18.7761,17.8452,17.8988,97.779652,1750.1384352176
1667260800,2022-11-01,AVAX/USD,18.9838,19.1833,18.5356,18.7658,12.452816,233.6870544928
1667174400,2022-10-31,AVAX/USD,18.7,19.5483,18.7,18.8585,181.603192,3424.763796332
1667088000,2022-10-30,AVAX/USD,18.2158,18.487,18.2158,18.3726,22.414274,411.8084904923999
1667001600,2022-10-29,AVAX/USD,18.42,18.8399,18.42,18.5,56.964378,1053.840993
1666915200,2022-10-28,AVAX/USD,17.0243,18.311,16.85,18.1791,116.269525,2113.6753219274997
1666828800,2022-10-27,AVAX/USD,17.1739,17.3356,16.9376,17.1068,153.300036,2622.4730558448
1666742400,2022-10-26,AVAX/USD,17.2122,17.35,17.0,17.2799,64.643676,1117.0362569124002
1666656000,2022-10-25,AVAX/USD,15.7589,17.31,15.6465,16.5,91.782449,1514.4104085
1666569600,2022-10-24,AVAX/USD,16.38,17.6111,15.8205,15.9121,96.570616,1536.6412988536001
1666483200,2022-10-23,AVAX/USD,15.8699,16.17,15.8298,16.17,9.294713,150.29550921
1666396800,2022-10-22,AVAX/USD,15.91,16.3799,15.91,16.3799,12.862074,210.6794859126
1666310400,2022-10-21,AVAX/USD,15.1442,15.5699,15.1442,15.5699,10.002379,155.7360407921
