https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1687219200000,2023-06-20 00:00:00,NEAR/USDT,1.242,1.352,1.206,1.295,47450.777,37867.79292,22929.058,18306.21173,5967,1.253
1687132800000,2023-06-19 00:00:00,NEAR/USDT,1.236,1.252,1.2,1.242,53544.941,43692.82688,26917.861,21968.89154,6687,1.225
1687046400000,2023-06-18 00:00:00,NEAR/USDT,1.257,1.277,1.224,1.236,25878.326,20648.89802,12321.448,9838.4421,3126,1.253
1686960000000,2023-06-17 00:00:00,NEAR/USDT,1.213,1.285,1.202,1.259,27931.559,22633.6544,13992.833,11335.9869,3428,1.234
1686873600000,2023-06-16 00:00:00,NEAR/USDT,1.193,1.232,1.177,1.211,5841.767,4833.81936,3036.604,2513.79896,840,1.208
1686787200000,2023-06-15 00:00:00,NEAR/USDT,1.185,1.249,1.167,1.194,3956.542,3298.58186,2144.357,1788.99716,571,1.199
1686700800000,2023-06-14 00:00:00,NEAR/USDT,1.293,1.295,1.157,1.171,50112.374,41901.81082,25269.973,21128.57254,6588,1.196
1686614400000,2023-06-13 00:00:00,NEAR/USDT,1.196,1.296,1.189,1.199,23495.27,19370.78257,11799.571,9729.64891,3005,1.213
1686528000000,2023-06-12 00:00:00,NEAR/USDT,1.21,1.33,1.171,1.196,53075.456,44310.7784,26805.156,22382.60277,6327,1.197
1686441600000,2023-06-11 00:00:00,NEAR/USDT,1.205,1.333,1.188,1.211,48778.009,40248.08369,24210.786,19976.19117,6142,1.212
1686355200000,2023-06-10 00:00:00,NEAR/USDT,1.382,1.439,1.16,1.202,53546.692,43416.69565,25817.459,20940.08798,6243,1.235
1686268800000,2023-06-09 00:00:00,NEAR/USDT,1.406,1.477,1.36,1.385,51669.096,36870.53319,25631.666,18296.3208,6318,1.401
1686182400000,2023-06-08 00:00:00,NEAR/USDT,1.412,1.489,1.382,1.408,48103.48,34255.85154,24348.429,17341.09011,6174,1.404
1686096000000,2023-06-07 00:00:00,NEAR/USDT,1.523,1.548,1.398,1.409,51666.66,35476.2689,26298.285,18056.25099,6381,1.457
1686009600000,2023-06-06 00:00:00,NEAR/USDT,1.489,1.555,1.439,1.521,44226.707,29547.60772,22219.44,14840.07469,5681,1.496
1685923200000,2023-06-05 00:00:00,NEAR/USDT,1.617,1.649,1.436,1.486,50619.105,32239.35556,26024.802,16577.70692,6223,1.573
1685836800000,2023-06-04 00:00:00,NEAR/USDT,1.614,1.642,1.604,1.612,51280.471,31491.58636,25737.604,15806.18471,6386,1.628
1685750400000,2023-06-03 00:00:00,NEAR/USDT,1.608,1.632,1.582,1.615,55579.089,34470.77386,27519.727,17067.38107,6874,1.612
1685664000000,2023-06-02 00:00:00,NEAR/USDT,1.546,1.626,1.533,1.607,48092.088,30310.7875,24149.084,15216.37827,6145,1.586
1685577600000,2023-06-01 00:00:00,NEAR/USDT,1.571,1.575,1.524,1.546,41072.602,26408.308,20845.849,13408.44068,4804,1.555
1685491200000,2023-05-31 00:00:00,NEAR/USDT,1.609,1.624,1.5,1.566,28257.414,17869.78576,14294.76,9036.24478,3467,1.581
1685404800000,2023-05-30 00:00:00,NEAR/USDT,1.633,1.651,1.602,1.612,52391.321,32164.45288,25851.281,15869.26253,6752,1.628
1685318400000,2023-05-29 00:00:00,NEAR/USDT,1.704,1.75,1.619,1.633,50195.803,30355.01312,24704.674,14945.20627,5842,1.653
1685232000000,2023-05-28 00:00:00,NEAR/USDT,1.63,1.749,1.603,1.709,48362.366,29211.23787,24620.721,14873.79567,6160,1.655
1685145600000,2023-05-27 00:00:00,NEAR/USDT,1.562,1.676,1.556,1.62,52020.234,32684.61922,25689.222,16154.58045,6337,1.591
1685059200000,2023-05-26 00:00:00,NEAR/USDT,1.558,1.665,1.526,1.556,37120.687,23747.38681,18602.514,11897.09863,7086,1.563
1684972800000,2023-05-25 00:00:00,NEAR/USDT,1.571,1.577,1.51,1.559,25313.32,16243.12273,12312.004,7895.70581,4179,1.558
