https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1575936000000,2019-12-10 00:00:00,BTC/USDT,7340.71507964,7403.29999999,7163.3,7224.05494668,21323239.17363457,2918.44159004,0,0,0,7306.37859822
1575849600000,2019-12-09 00:00:00,BTC/USDT,7509.03597103,7648.3173996,7282.71181519,7342.42672302,17045027.13215053,2281.43845686,0,0,0,7471.17551249
1575763200000,2019-12-08 00:00:00,BTC/USDT,7488.18106089,7558.54617502,7374.52576,7509.03597102,23035772.85512338,3079.84308131,0,0,0,7479.52809508
1575676800000,2019-12-07 00:00:00,BTC/USDT,7534.13951773,7612.91001559,7471.89567526,7488.2810609,9142512.30746654,1215.62917742,0,0,0,7520.80690171
1575590400000,2019-12-06 00:00:00,BTC/USDT,7385.2,7578.14,7304.00000002,7527.60143435,11327037.29735166,1528.8417786,0,0,0,7408.90094442
1575504000000,2019-12-05 00:00:00,BTC/USDT,7189.2000012,7482.62933869,7150,7389.36629513,11742154.12372761,1603.54382645,0,0,0,7322.62750168
1575417600000,2019-12-04 00:00:00,BTC/USDT,7292.38167503,7750,7085.00000001,7187.90000029,17593605.25985111,2419.28078308,0,0,0,7272.24610838
1575331200000,2019-12-03 00:00:00,BTC/USDT,7302.32218162,7397.30499104,7237.82653666,7291.5,8621149.22197944,1178.95064839,0,0,0,7312.56158495
1575244800000,2019-12-02 00:00:00,BTC/USDT,7396.10965831,7419.99999999,7158.3238723,7304.89367123,7415005.26029457,1017.22105947,0,0,0,7289.47281543
1575158400000,2019-12-01 00:00:00,BTC/USDT,7542.76802105,7542.76802105,7232.44763097,7393.84501623,10476925.43396103,1425.50024376,0,0,0,7349.64829351
1575072000000,2019-11-30 00:00:00,BTC/USDT,7737.340093,7795.20645654,7432.30162922,7541.48296375,6606837.57929687,868.07249202,0,0,0,7610.92839599
1574985600000,2019-11-29 00:00:00,BTC/USDT,7420.3,7848.82429138,7402.98675571,7741.4713553,10757178.45605844,1410.74466555,0,0,0,7625.17748161
1574899200000,2019-11-28 00:00:00,BTC/USDT,7508.90446003,7639.40764084,7370,7418.36000009,8310153.70470225,1106.55222278,0,0,0,7509.95166213
1574812800000,2019-11-27 00:00:00,BTC/USDT,7148.27392367,7650.90580321,6850.79726298,7508.90446003,15616977.84882159,2156.85347697,0,0,0,7240.6299341
1574726400000,2019-11-26 00:00:00,BTC/USDT,7119.66991189,7339.95176015,7010.85868852,7154.89999976,17112014.16097737,2393.56872839,0,0,0,7149.16348881
1574640000000,2019-11-25 00:00:00,BTC/USDT,6901.33740019,7364.19303717,6515.74302133,7107.694776,21861806.11003927,3149.98150337,0,0,0,6940.29666099
1574553600000,2019-11-24 00:00:00,BTC/USDT,7312.559661,7331.56528108,6860,6889.01000002,14195101.92733807,1996.76863601,0,0,0,7109.0369066
1574467200000,2019-11-23 00:00:00,BTC/USDT,7265.69890304,7345.62669711,7066.42754777,7310.92249797,13737430.76116278,1900.42180379,0,0,0,7228.6219479
1574380800000,2019-11-22 00:00:00,BTC/USDT,7630.075265,7729.00282923,6800,7265.69890304,26388624.50133787,3634.65574757,0,0,0,7260.28167013
1574294400000,2019-11-21 00:00:00,BTC/USDT,8096.70000006,8130.34537903,7473.93986359,7630.420047,13929029.07565483,1788.32226381,0,0,0,7788.88087317
1574208000000,2019-11-20 00:00:00,BTC/USDT,8134.6299999,8247.08577668,8037.62016798,8096.80000006,8183223.51818891,1008.32347732,0,0,0,8115.67289887
1574121600000,2019-11-19 00:00:00,BTC/USDT,8188.3096886,8220.5729853,8000,8129.41000002,10336303.59677031,1272.83352776,0,0,0,8120.70343162
1574035200000,2019-11-18 00:00:00,BTC/USDT,8496.38056236,8500.38056236,8055.98510732,8190.29786755,10789568.87586919,1293.41882566,0,0,0,8341.89874294
