https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1695600000000,2023-09-25 00:00:00,AAVE/USDT,61.75,62.9,61.28,62.17,864617.15,13887.76204,558579.47,8973.805143,14719,62.25
1695513600000,2023-09-24 00:00:00,AAVE/USDT,62.84,63.18,61.59,61.76,634565.66,10156.615143,236560.88,3792.215513,6487,62.47
1695427200000,2023-09-23 00:00:00,AAVE/USDT,64.34,64.79,62.3,62.92,624346.1,9865.177392,296857.71,4675.902034,8342,63.29
1695340800000,2023-09-22 00:00:00,AAVE/USDT,62.53,64.54,61.86,64.28,714458.99,11246.778657,286201.09,4505.076579,11839,63.52
1695254400000,2023-09-21 00:00:00,AAVE/USDT,65.53,66,62.32,62.53,764810.57,12022.160543,347344.8,5449.903896,13968,63.63
1695168000000,2023-09-20 00:00:00,AAVE/USDT,61.89,65.78,61.33,65.43,762597.87,12125.959797,432470.35,6898.150544,13486,62.91
1695081600000,2023-09-19 00:00:00,AAVE/USDT,60.51,64,60.5,61.82,763319.34,12295.01535,339981.16,5469.593184,14745,62.08
1694995200000,2023-09-18 00:00:00,AAVE/USDT,59.4,62.36,58.36,60.54,1083332.26,17856.029981,639082.77,10522.443913,13436,60.68
1694908800000,2023-09-17 00:00:00,AAVE/USDT,59.13,61.54,57.67,59.44,855271.23,14343.149369,478952.58,8017.600755,10134,59.64
1694822400000,2023-09-16 00:00:00,AAVE/USDT,55.92,62.07,55.81,59.15,789006.97,13365.395354,272919.71,4619.083582,13663,59.05
1694736000000,2023-09-15 00:00:00,AAVE/USDT,54.3,56.06,53.93,55.87,1012072.36,18470.47448,505540.68,9235.606929,12965,54.79
1694649600000,2023-09-14 00:00:00,AAVE/USDT,53.61,54.95,53.33,54.33,737645.83,13632.522201,383101.93,7075.551055,15155,54.11
1694563200000,2023-09-13 00:00:00,AAVE/USDT,53.02,54.51,52.76,53.59,814834.69,15180.078389,434201.51,8091.173294,18638,53.68
1694476800000,2023-09-12 00:00:00,AAVE/USDT,52.03,54.17,51.96,53,1169367.42,22012.594691,652387.52,12281.00239,24796,53.12
1694390400000,2023-09-11 00:00:00,AAVE/USDT,53.96,54.16,51.35,52.03,1238647.3,23501.147718,484939.23,9203.03945,21417,52.71
1694304000000,2023-09-10 00:00:00,AAVE/USDT,56.22,56.23,53.69,53.97,1246218.41,22792.674764,794323.37,14528.176645,15601,54.68
1694217600000,2023-09-09 00:00:00,AAVE/USDT,56.49,56.63,55.98,56.21,924858.66,16405.973446,446812.79,7924.037205,19833,56.37
1694131200000,2023-09-08 00:00:00,AAVE/USDT,56.29,57.28,55.68,56.49,1390016.38,24680.227701,744555.37,13218.072839,33356,56.32
1694044800000,2023-09-07 00:00:00,AAVE/USDT,55.18,56.47,54.83,56.31,1314644.11,23745.017346,687868.34,12420.708303,32006,55.36
1693958400000,2023-09-06 00:00:00,AAVE/USDT,55.65,57.93,54.25,55.16,1292401.67,23442.91588,645545.49,11709.004636,30034,55.13
1693872000000,2023-09-05 00:00:00,AAVE/USDT,54.7,55.79,54.24,55.53,1335486.8,24241.396165,658229.91,11943.194316,32594,55.09
1693785600000,2023-09-04 00:00:00,AAVE/USDT,54.79,55.56,54.16,54.67,2622086.67,47791.34334,1361285.69,24810.694346,67159,54.86
1693699200000,2023-09-03 00:00:00,AAVE/USDT,55.2,55.22,54.12,54.76,4869839.64,88985.469951,2574069.7,47040.61276,122084,54.72
1693612800000,2023-09-02 00:00:00,AAVE/USDT,54.55,55.3,53.96,55.21,4578641.62,83732.439373,2279422.01,41686.020921,115141,54.68
1693526400000,2023-09-01 00:00:00,AAVE/USDT,55.54,55.86,53.61,54.57,4524659.14,82287.269703,2254661.7,41003.886371,112684,54.99
1693440000000,2023-08-31 00:00:00,AAVE/USDT,57.73,57.91,54.45,55.56,4844431.36,85372.140914,2463904.11,43423.912831,122337,56.75
1693353600000,2023-08-30 00:00:00,AAVE/USDT,59.54,59.65,57.33,57.74,5395058.21,92622.87115,2868624.03,49241.136348,136697,58.25
1693267200000,2023-08-29 00:00:00,AAVE/USDT,58.23,61.08,56.63,59.56,3100147.86,53176.005383,1663628.79,28527.932169,77460,58.31
1693180800000,2023-08-28 00:00:00,AAVE/USDT,58.3,58.45,56.24,58.22,3595881.9,62371.284162,1918502.76,33272.835577,89576,57.65
1693094400000,2023-08-27 00:00:00,AAVE/USDT,56.67,58.32,56.59,58.3,4686296.18,81635.704283,2458085.6,42813.287633,120123,57.4
1693008000000,2023-08-26 00:00:00,AAVE/USDT,56.86,57.24,56.25,56.67,4706528.8,82899.625301,2409131.14,42433.864895,119733,56.77
1692921600000,2023-08-25 00:00:00,AAVE/USDT,57.41,58.29,55.64,56.85,4555724.05,80699.47012,2337433.17,41400.888869,115943,56.45
1692835200000,2023-08-24 00:00:00,AAVE/USDT,57.07,58.91,56.23,57.41,4548502.09,79107.680212,2377533.66,41354.145065,116037,57.5
1692748800000,2023-08-23 00:00:00,AAVE/USDT,54.87,57.7,54.82,57.07,4466768.95,79661.007991,2341772.51,41757.509698,114328,56.08
1692662400000,2023-08-22 00:00:00,AAVE/USDT,55.53,55.62,52.82,54.87,4613646.36,84191.155577,2423671.22,44232.854445,117447,54.8
