https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1697328000000,2023-10-15 00:00:00,LINK/USDT,7.324,7.5563,7.283,7.4233,765361.236,103795.17192,383227.764,51926.83701,10575,7.3741
1697241600000,2023-10-14 00:00:00,LINK/USDT,7.2551,7.3698,7.2129,7.3282,833677.399,114418.04611,410738.115,56359.53673,13119,7.2864
1697155200000,2023-10-13 00:00:00,LINK/USDT,7.196,7.4015,7.1158,7.2554,1042405.27,144653.67806,516433.704,71643.49886,15155,7.2065
1697068800000,2023-10-12 00:00:00,LINK/USDT,7.3906,7.4121,7.1179,7.197,1116913.724,153727.25697,551968.484,75969.47376,16560,7.2662
1696982400000,2023-10-11 00:00:00,LINK/USDT,7.258,7.424,7.14,7.3931,1225735.646,168054.09282,618384.156,84782.95872,18897,7.2942
1696896000000,2023-10-10 00:00:00,LINK/USDT,7.2745,7.3894,7.184,7.2584,1546067.641,212089.97775,779310.367,106914.55007,23372,7.2899
1696809600000,2023-10-09 00:00:00,LINK/USDT,7.6697,7.6925,7.1648,7.278,1972530.99,265160.6899,965121.635,129778.60728,29193,7.4418
1696723200000,2023-10-08 00:00:00,LINK/USDT,7.5246,7.913,7.4999,7.6695,1989571.82,260064.34806,995297.316,130067.47313,29249,7.6508
1696636800000,2023-10-07 00:00:00,LINK/USDT,7.6409,7.6801,7.472,7.5239,2745943.495,361910.68275,1392710.899,183558.4441,40276,7.5875
1696550400000,2023-10-06 00:00:00,LINK/USDT,7.4655,7.7522,7.4366,7.6412,3155233.381,415764.05601,1590221.828,209527.24034,45987,7.5896
1696464000000,2023-10-05 00:00:00,LINK/USDT,7.6748,7.7857,7.4566,7.4636,2906826.98,382105.53162,1451221.596,190728.9522,42135,7.6082
1696377600000,2023-10-04 00:00:00,LINK/USDT,7.4078,7.7764,7.2149,7.6728,3196999.35,422424.92775,1629110.126,215258.76115,45832,7.5694
1696291200000,2023-10-03 00:00:00,LINK/USDT,7.466,7.7373,7.3699,7.4091,3886700.067,515228.39628,1931294.124,256027.88647,55455,7.5445
1696204800000,2023-10-02 00:00:00,LINK/USDT,8.0445,8.0916,7.357,7.464,1798754.775,231961.30303,914105.699,117759.63792,25636,7.76
1696118400000,2023-10-01 00:00:00,LINK/USDT,8.177,8.2469,7.7803,8.0429,1096086.199,136376.57941,574533.196,71484.92471,14427,8.0388
1696032000000,2023-09-30 00:00:00,LINK/USDT,7.949,8.251,7.9397,8.1823,1029931.596,127266.62029,549562.043,67889.41051,13467,8.0934
1695945600000,2023-09-29 00:00:00,LINK/USDT,7.8088,8.0708,7.6753,7.9491,1537884.068,197194.55632,785825.092,100774.84075,21660,7.7999
1695859200000,2023-09-28 00:00:00,LINK/USDT,7.6405,8.0417,7.5707,7.8099,1585965.694,204103.73142,783983.559,100877.93408,22243,7.7715
1695772800000,2023-09-27 00:00:00,LINK/USDT,7.3538,7.8605,7.2701,7.6391,1297288.425,172181.29964,682383.564,90543.89495,16807,7.5369
1695686400000,2023-09-26 00:00:00,LINK/USDT,7.4748,7.5484,7.2473,7.3556,1021633.645,138022.42285,547275.464,73934.33217,13114,7.4026
1695600000000,2023-09-25 00:00:00,LINK/USDT,6.969,7.5075,6.9041,7.4783,1248026.795,170734.07717,656269.992,89775.75037,14822,7.3119
1695513600000,2023-09-24 00:00:00,LINK/USDT,7.1876,7.2476,6.9615,6.9676,757375.155,106441.58304,347287.745,48831.20398,6550,7.1158
