https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATOM
1663027200000,2022-09-13 00:00:00,ATOM/USD,16.832058,17.4,14.900001,15.243988,8974.540299456088,588.72653924
1662940800000,2022-09-12 00:00:00,ATOM/USD,16.915416,17.810009,16.309623,16.823184,9788.598820999076,581.85173633
1662854400000,2022-09-11 00:00:00,ATOM/USD,17.450057,17.665419,16.608446,16.997831,6285.694938588826,369.79394245
1662768000000,2022-09-10 00:00:00,ATOM/USD,17.626533,17.782833,16.938909,17.428777,5402.547760493481,309.97859233
1662681600000,2022-09-09 00:00:00,ATOM/USD,15.302098,18.2,15.136944,17.572829,23557.39294570743,1340.55779782
1662595200000,2022-09-08 00:00:00,ATOM/USD,14.314161,15.5,13.9621,15.278357,7567.225754081364,495.29054427
1662508800000,2022-09-07 00:00:00,ATOM/USD,13.021315,14.6,12.728962,14.319614,8719.567936518564,608.92478921
1662422400000,2022-09-06 00:00:00,ATOM/USD,13.955636,14.256022,13.01,13.034682,9456.9408910448,725.52141211
1662336000000,2022-09-05 00:00:00,ATOM/USD,14.33,14.673116,13.801915,13.94355,6257.8636585225595,448.79988658
1662249600000,2022-09-04 00:00:00,ATOM/USD,13.953274,14.33,13.67977,14.33,4171.397602465599,291.09543632
1662163200000,2022-09-03 00:00:00,ATOM/USD,13.897064,14.172518,13.422944,13.941465,3965.5589918205615,284.44349226
1662076800000,2022-09-02 00:00:00,ATOM/USD,14.007016,14.33,13.624566,13.983684,6354.4351457108805,454.4178162
1661990400000,2022-09-01 00:00:00,ATOM/USD,13.183009,14.109034,12.68633,13.997897,5777.235715524542,412.72169066
1661904000000,2022-08-31 00:00:00,ATOM/USD,13.185496,13.942821,12.820753,13.191815,6629.064241304041,502.51343286
1661817600000,2022-08-30 00:00:00,ATOM/USD,12.604218,13.4,12.334934,13.182937,6313.146479101562,478.88770758
1661731200000,2022-08-29 00:00:00,ATOM/USD,11.679763,12.883368,11.20008,12.617015,6982.153703703493,553.39188419
1661644800000,2022-08-28 00:00:00,ATOM/USD,12.346669,12.672807,11.59225,11.621824,6366.581371151002,547.8125784
1661558400000,2022-08-27 00:00:00,ATOM/USD,12.758493,12.758493,11.840442,12.401714,6362.5933677701,513.0414528
1661472000000,2022-08-26 00:00:00,ATOM/USD,14.116498,14.3,12.533665,12.729041,7941.377375793224,623.87868621
1661385600000,2022-08-25 00:00:00,ATOM/USD,14.274784,14.602078,13.842633,14.135896,5726.258023821291,405.08631528
