https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1689379200,2023-07-15,XRP/USD,0.71001,0.727,0.7,0.72,41003.41594,29522.4594768
1689292800,2023-07-14,XRP/USD,0.79,0.80855,0.6699,0.71631,291913.674351,209100.6840743648
1689206400,2023-07-13,XRP/USD,0.47086,0.9,0.4702,0.84997,2414394.148649,2052162.5945271906
1689120000,2023-07-12,XRP/USD,0.47556,0.47666,0.46844,0.47076,71409.056826,33616.52759140776
1689033600,2023-07-11,XRP/USD,0.47753,0.47763,0.47127,0.47566,54521.611519,25933.74973512754
1688947200,2023-07-10,XRP/USD,0.46829,0.48,0.46344,0.47731,143929.776265,68699.12150904715
1688860800,2023-07-09,XRP/USD,0.47098,0.47113,0.46719,0.46839,66371.826824,31087.89996609336
1688774400,2023-07-08,XRP/USD,0.46806,0.47435,0.46548,0.47001,111554.415761,52431.69095182761
1688688000,2023-07-07,XRP/USD,0.46508,0.47041,0.46447,0.46807,189827.050149,88852.34736324243
1688601600,2023-07-06,XRP/USD,0.4782,0.4837,0.46494,0.46509,147031.288742,68382.78208101678
1688515200,2023-07-05,XRP/USD,0.48758,0.49114,0.47361,0.47829,84112.095701,40229.974252831285
1688428800,2023-07-04,XRP/USD,0.48943,0.49334,0.48293,0.48757,134560.097711,65607.46684095227
1688342400,2023-07-03,XRP/USD,0.4843,0.49056,0.47959,0.48888,192177.435168,93951.70450493184
1688256000,2023-07-02,XRP/USD,0.47276,0.495,0.47005,0.48429,450060.771834,217959.93119148788
1688169600,2023-07-01,XRP/USD,0.47343,0.47544,0.46515,0.47277,129817.165465,61373.66131688805
1688083200,2023-06-30,XRP/USD,0.47465,0.48171,0.45697,0.47352,371413.126318,175871.54357409937
1687996800,2023-06-29,XRP/USD,0.46494,0.4764,0.46149,0.47475,146451.333948,69527.770791813
1687910400,2023-06-28,XRP/USD,0.48387,0.48387,0.45682,0.46503,176204.263209,81940.26852008127
1687824000,2023-06-27,XRP/USD,0.47904,0.48459,0.4761,0.48397,121801.749213,58948.392566615614
1687737600,2023-06-26,XRP/USD,0.48994,0.49119,0.47659,0.47905,114378.352849,54792.94993231345
1687651200,2023-06-25,XRP/USD,0.48712,0.49726,0.48423,0.48995,179209.130851,87803.51366044745
1687564800,2023-06-24,XRP/USD,0.49582,0.49582,0.48437,0.48722,82449.995535,40171.286824562696
1687478400,2023-06-23,XRP/USD,0.49443,0.50195,0.4887,0.49592,224015.936597,111093.98327718425
1687392000,2023-06-22,XRP/USD,0.50043,0.52394,0.49219,0.49476,366309.72705,181235.40055525798
1687305600,2023-06-21,XRP/USD,0.49263,0.503,0.49013,0.50033,231528.855783,115840.8324139084
1687219200,2023-06-20,XRP/USD,0.49313,0.49624,0.47465,0.49264,258902.941835,127545.9452655944
1687132800,2023-06-19,XRP/USD,0.4867,0.49757,0.48154,0.49314,229065.741097,112961.47956457458
1687046400,2023-06-18,XRP/USD,0.47908,0.49716,0.47478,0.48671,272319.833875,132540.78634530125
1686960000,2023-06-17,XRP/USD,0.47504,0.4852,0.47024,0.47909,189127.391691,90609.04208524119
1686873600,2023-06-16,XRP/USD,0.48019,0.48272,0.45833,0.4751,294003.273758,139680.9553624258
1686787200,2023-06-15,XRP/USD,0.48088,0.48482,0.46907,0.4802,255975.884119,122919.6195539438
1686700800,2023-06-14,XRP/USD,0.51986,0.52019,0.46609,0.48112,410598.249358,197547.02973112094
1686614400,2023-06-13,XRP/USD,0.52537,0.56496,0.50879,0.51996,762888.841348,396671.68194730603
1686528000,2023-06-12,XRP/USD,0.52131,0.52698,0.5118,0.52526,251138.820977,131913.177106379
1686441600,2023-06-11,XRP/USD,0.50842,0.52849,0.50423,0.52142,229140.344032,119478.35818516543
1686355200,2023-06-10,XRP/USD,0.53744,0.53758,0.48556,0.50851,591879.979512,300976.8883816471
1686268800,2023-06-09,XRP/USD,0.52484,0.54029,0.52341,0.5372,129991.190064,69831.2673023808
1686182400,2023-06-08,XRP/USD,0.5201,0.52702,0.5178,0.52507,99846.748819,52426.53240239233
1686096000,2023-06-07,XRP/USD,0.53005,0.5377,0.50975,0.52021,285124.310286,148324.51745388005
1686009600,2023-06-06,XRP/USD,0.51098,0.5322,0.49945,0.53041,272391.316656,144479.07826750897
1685923200,2023-06-05,XRP/USD,0.53624,0.54219,0.49294,0.51108,533511.819294,272667.2206047775
1685836800,2023-06-04,XRP/USD,0.51911,0.54644,0.51669,0.53588,265613.526791,142336.97673676108
