https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume OP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1686614400000,2023-06-13 00:00:00,OP/USDT,1.1053,1.197,1.0836,1.152,11328.9182,9963.4391,5939.73,5218.1129,1392,1.1372
1686528000000,2023-06-12 00:00:00,OP/USDT,1.0802,1.1497,1.0425,1.1207,7750.2153,7059.3802,4050.9859,3685.9034,902,1.0982
1686441600000,2023-06-11 00:00:00,OP/USDT,1.0904,1.1377,1.0417,1.0768,6813.3705,6269.6153,3083.9845,2835.997,826,1.0869
1686355200000,2023-06-10 00:00:00,OP/USDT,1.3256,1.4172,1,1.0912,7409.9384,6609.7074,3704.0886,3308.8256,953,1.1264
1686268800000,2023-06-09 00:00:00,OP/USDT,1.3767,1.4429,1.3116,1.3244,7709.5983,5675.0728,4065.7436,2989.7119,930,1.3587
1686182400000,2023-06-08 00:00:00,OP/USDT,1.3533,1.4558,1.332,1.367,15152.0644,10998.3482,7593.4468,5510.2524,1838,1.3778
1686096000000,2023-06-07 00:00:00,OP/USDT,1.4714,1.6046,1.3341,1.3359,8390.3905,5929.422,4026.253,2847.4482,1151,1.4165
1686009600000,2023-06-06 00:00:00,OP/USDT,1.3738,1.5373,1.3402,1.4726,8306.6521,5823.8249,3855.7822,2701.9298,940,1.4281
1685923200000,2023-06-05 00:00:00,OP/USDT,1.4413,1.5048,1.257,1.385,3680.5381,2654.7805,1873.0308,1349.4124,452,1.3886
1685836800000,2023-06-04 00:00:00,OP/USDT,1.4623,1.5406,1.4157,1.4675,8107.3348,5461.9727,4153.1046,2799.7502,1117,1.4844
1685750400000,2023-06-03 00:00:00,OP/USDT,1.4301,1.5239,1.4039,1.4648,6263.8087,4275.5238,3004.031,2048.5356,753,1.4651
1685664000000,2023-06-02 00:00:00,OP/USDT,1.3848,1.5224,1.3664,1.4393,8792.0489,6163.4502,4531.3457,3176.7965,1001,1.4268
1685577600000,2023-06-01 00:00:00,OP/USDT,1.375,1.4581,1.3643,1.3849,9270.2135,6648.3396,4397.7398,3147.6857,1093,1.3945
1685491200000,2023-05-31 00:00:00,OP/USDT,1.4212,1.518,1.3485,1.375,7762.6474,5583.952,3936.877,2828.6763,891,1.3911
1685404800000,2023-05-30 00:00:00,OP/USDT,1.5337,1.5368,1.4101,1.4149,12426.168,8342.7079,5717.6431,3841.1647,1659,1.4904
1685318400000,2023-05-29 00:00:00,OP/USDT,1.6037,1.6719,1.5186,1.5271,5035.2592,3154.0131,2488.3636,1558.117,711,1.5974
1685232000000,2023-05-28 00:00:00,OP/USDT,1.5818,1.6365,1.5725,1.6268,5345.463,3330.6786,2658.7968,1655.6861,674,1.6049
1685145600000,2023-05-27 00:00:00,OP/USDT,1.5999,1.6361,1.5737,1.5818,11733.2978,7345.9345,5929.3183,3711.937,1536,1.5973
1685059200000,2023-05-26 00:00:00,OP/USDT,1.6256,1.6481,1.583,1.6007,17005.3634,10517.8379,8616.7866,5338.8404,1962,1.6169
1684972800000,2023-05-25 00:00:00,OP/USDT,1.6156,1.6238,1.5489,1.6211,15390.1319,9714.359,8220.8945,5187.3629,1466,1.5844
1684886400000,2023-05-24 00:00:00,OP/USDT,1.6663,1.7055,1.5455,1.5805,47468.4429,29587.4159,23336.3987,14551.4915,5013,1.6048
1684800000000,2023-05-23 00:00:00,OP/USDT,1.633,1.8511,1.6122,1.6697,45955.2899,27447.4179,24059.7106,14365.9299,5165,1.6746
1684713600000,2023-05-22 00:00:00,OP/USDT,1.6344,1.6625,1.5494,1.6377,43317.4281,26801.5352,21732.1097,13450.4746,4912,1.6164
1684627200000,2023-05-21 00:00:00,OP/USDT,1.6879,1.7154,1.5965,1.6344,45005.8697,27076.683,22756.4126,13701.4921,4620,1.6624
1684540800000,2023-05-20 00:00:00,OP/USDT,1.6649,1.8598,1.6063,1.688,58621.7501,35135.0396,29918.2508,17944.1915,5616,1.6686
1684454400000,2023-05-19 00:00:00,OP/USDT,1.7321,1.7788,1.6539,1.6649,64779.1053,38309.7474,32774.1787,19384.2389,7494,1.6911
