https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1699574400000,2023-11-10 00:00:00,DOGE/USDT,0.073524,0.078,0.072786,0.075384,16827150.61096,226794761.249,8705869.58594,117345583.164,434991,0.074199
1699488000000,2023-11-09 00:00:00,DOGE/USDT,0.075324,0.0779,0.069,0.073535,14722420.08929,197032893.433,8076357.73005,108082184.664,380940,0.074788
1699401600000,2023-11-08 00:00:00,DOGE/USDT,0.073374,0.07695,0.072779,0.075304,11649592.10677,156830936.271,6433742.66885,86593290.279,301386,0.074288
1699315200000,2023-11-07 00:00:00,DOGE/USDT,0.076441,0.076441,0.071562,0.073374,9346726.41339,126808013.167,4950009.45022,67152607.73,242520,0.073717
1699228800000,2023-11-06 00:00:00,DOGE/USDT,0.071146,0.076363,0.070358,0.076335,105127.96075,1418994.01,75770.10904,1019805.029,1267,0.074124
1699142400000,2023-11-05 00:00:00,DOGE/USDT,0.069129,0.071667,0.069004,0.071225,56741.39924,804212.288,19483.39462,275439.547,853,0.070563
1699056000000,2023-11-04 00:00:00,DOGE/USDT,0.06798,0.06924,0.06798,0.068996,22609.9685,330023.499,7403.30089,107872.229,636,0.068511
1698969600000,2023-11-03 00:00:00,DOGE/USDT,0.067888,0.068205,0.06622,0.068082,11815392.06974,175493949.223,6369462.99523,94608602.102,303150,0.067327
1698883200000,2023-11-02 00:00:00,DOGE/USDT,0.068902,0.070826,0.066626,0.067897,14184595.09944,206733964.08,7451675.68152,108618475.946,396202,0.068622
1698796800000,2023-11-01 00:00:00,DOGE/USDT,0.06824,0.069589,0.065774,0.068942,11307270.67548,167384775.716,5794353.89747,85774649.109,296884,0.067562
1698710400000,2023-10-31 00:00:00,DOGE/USDT,0.069589,0.070844,0.066,0.068268,18857001.373,275191286.794,9264925.17518,135221045.899,497387,0.068533
1698624000000,2023-10-30 00:00:00,DOGE/USDT,0.069362,0.0704,0.067891,0.069594,1788818.13067,25787350.346,879168.6855,12673079.969,60824,0.06937
1698537600000,2023-10-29 00:00:00,DOGE/USDT,0.06899,0.07012,0.067338,0.069325,1614614.984,23408063.91,863377.55692,12516074.199,54603,0.06898
1698451200000,2023-10-28 00:00:00,DOGE/USDT,0.067841,0.069967,0.067507,0.06902,2146688.89308,31249551.423,1124345.74962,16366888.163,72797,0.068697
1698364800000,2023-10-27 00:00:00,DOGE/USDT,0.071857,0.072402,0.067391,0.067848,3064209.9719,43671658.292,1615234.12075,23019566.547,102562,0.070191
1698278400000,2023-10-26 00:00:00,DOGE/USDT,0.068289,0.07508,0.06785,0.07186,3522435.27634,49314678.894,1885700.56471,26394137.756,117620,0.071451
1698192000000,2023-10-25 00:00:00,DOGE/USDT,0.066537,0.0697,0.064773,0.06833,3549349.7525,53194051.682,1848862.67532,27708933.524,117766,0.066743
1698105600000,2023-10-24 00:00:00,DOGE/USDT,0.067409,0.069999,0.064438,0.066553,3549762.20285,52922975.818,1750060.73463,26091119.426,118445,0.067086
1698019200000,2023-10-23 00:00:00,DOGE/USDT,0.061662,0.067691,0.061344,0.067381,2810217.28138,43873949.85,1385043.58279,21627525.217,92678,0.064073
1697932800000,2023-10-22 00:00:00,DOGE/USDT,0.061174,0.06169,0.059956,0.061573,26152.74088,429584.422,10080.58652,164910.662,465,0.060883
1697846400000,2023-10-21 00:00:00,DOGE/USDT,0.059914,0.061386,0.059483,0.061115,55783.83202,914498.101,37251.6567,609095.181,630,0.061002
1697760000000,2023-10-20 00:00:00,DOGE/USDT,0.058786,0.060507,0.058693,0.059886,30826.6338,517080.815,20661.59827,346354.998,627,0.05962
1697673600000,2023-10-19 00:00:00,DOGE/USDT,0.058581,0.05891,0.057531,0.058854,29471.17489,505360.945,13032.88374,223029.716,707,0.058318
1697587200000,2023-10-18 00:00:00,DOGE/USDT,0.059031,0.05926,0.058321,0.058628,54060.3139,921669.891,18467.59569,314791.946,701,0.058655
1697500800000,2023-10-17 00:00:00,DOGE/USDT,0.059997,0.060163,0.058363,0.059066,2698210.93061,45246732.384,1348535.68837,22614442.743,90253,0.059636
1697414400000,2023-10-16 00:00:00,DOGE/USDT,0.059302,0.0616,0.059154,0.059984,2479101.53926,41357938.855,1206943.60882,20135241.708,83403,0.059943
1697328000000,2023-10-15 00:00:00,DOGE/USDT,0.059839,0.059871,0.059013,0.059308,999263.38546,16822696.536,501999.17909,8451384.596,33172,0.0594
1697241600000,2023-10-14 00:00:00,DOGE/USDT,0.05841,0.059986,0.058333,0.05985,1273573.70057,21612935.546,623131.6356,10573351.859,44214,0.058929
1697155200000,2023-10-13 00:00:00,DOGE/USDT,0.057856,0.058892,0.057782,0.058399,1508510.14968,25943028.805,735079.12659,12642818.713,53066,0.058148
1697068800000,2023-10-12 00:00:00,DOGE/USDT,0.058506,0.058525,0.0573,0.057889,1730429.45848,29826724.187,846483.09061,14590243.489,59053,0.058017
1696982400000,2023-10-11 00:00:00,DOGE/USDT,0.059069,0.059425,0.05766,0.058503,2053626.99724,35039098.396,997858.27891,17025409.488,69190,0.058612
1696896000000,2023-10-10 00:00:00,DOGE/USDT,0.058696,0.059197,0.058446,0.05911,2559684.07055,43508323.97,1275931.86737,21687432.598,87937,0.058832
1696809600000,2023-10-09 00:00:00,DOGE/USDT,0.060936,0.061003,0.056805,0.05869,3293330.2468,55291402.206,1609499.27763,27016357.729,112408,0.059579
1696723200000,2023-10-08 00:00:00,DOGE/USDT,0.061404,0.061581,0.060701,0.060928,3272427.88534,53504541.684,1597803.41795,26123886.31,108543,0.061162
1696636800000,2023-10-07 00:00:00,DOGE/USDT,0.061328,0.061599,0.061004,0.061396,2862531.96176,46697042.995,1407678.04564,22963749.368,95001,0.0613
1696550400000,2023-10-06 00:00:00,DOGE/USDT,0.060845,0.061517,0.060657,0.061328,66908.33126,1095769.419,27281.80701,446271.337,1198,0.06106
1696464000000,2023-10-05 00:00:00,DOGE/USDT,0.061436,0.061581,0.0607,0.060851,775569.41079,12651037.795,376913.71574,6147720.783,27468,0.061305
1696377600000,2023-10-04 00:00:00,DOGE/USDT,0.061375,0.061578,0.060112,0.061445,5432286.63919,89020867.247,2693977.31919,44147694.833,181079,0.061023
1696291200000,2023-10-03 00:00:00,DOGE/USDT,0.061986,0.062296,0.061149,0.061419,6964273.11504,112677317.085,3456959.77099,55931671.02,229461,0.061808
1696204800000,2023-10-02 00:00:00,DOGE/USDT,0.063159,0.064107,0.061074,0.061981,2867290.4366,45607137.062,1435048.50269,22823847.281,101570,0.062877
1696118400000,2023-10-01 00:00:00,DOGE/USDT,0.062065,0.063488,0.061683,0.06317,1511161.42718,24236934.21,725725.79535,11638109.459,48328,0.062351
1696032000000,2023-09-30 00:00:00,DOGE/USDT,0.062138,0.0626,0.061701,0.062071,1742504.65517,28102675.476,849673.18241,13703170.036,59410,0.062005
1695945600000,2023-09-29 00:00:00,DOGE/USDT,0.061502,0.06234,0.061283,0.062148,2604087.26864,42147989.427,1285486.40805,20805045.401,90412,0.061785
1695859200000,2023-09-28 00:00:00,DOGE/USDT,0.060517,0.061673,0.060368,0.061498,2720463.73651,44608615.08,1321914.67857,21675233.771,91411,0.060987
1695772800000,2023-09-27 00:00:00,DOGE/USDT,0.060581,0.061408,0.060183,0.060491,1990911.23796,32833592.264,976769.2576,16109670.312,66934,0.060637
1695686400000,2023-09-26 00:00:00,DOGE/USDT,0.060941,0.061137,0.059495,0.060579,1569292.03772,25865080.117,780176.373,12859808.111,52537,0.060673
1695600000000,2023-09-25 00:00:00,DOGE/USDT,0.060642,0.061208,0.0602,0.060941,1785185.23069,29334441.225,879640.53118,14454557.59,61169,0.060856
1695513600000,2023-09-24 00:00:00,DOGE/USDT,0.061523,0.061716,0.0604,0.060691,641466.46846,10448419.298,312016.80926,5082168.754,23748,0.061394
1695427200000,2023-09-23 00:00:00,DOGE/USDT,0.061526,0.061955,0.061275,0.061511,885477.00005,14382098.035,433003.45303,7032925.301,31600,0.061568
1695340800000,2023-09-22 00:00:00,DOGE/USDT,0.061323,0.06187,0.0607,0.061509,1393274.63574,22637821.476,675479.36521,10975085.502,47813,0.061546
1695254400000,2023-09-21 00:00:00,DOGE/USDT,0.062635,0.063437,0.061119,0.061322,1720192.0516,27759051.629,849428.63492,13707289.416,59197,0.061973
1695168000000,2023-09-20 00:00:00,DOGE/USDT,0.062697,0.062999,0.061698,0.06263,1615731.5471,25894868.269,788113.21554,12630336.495,55121,0.062396
1695081600000,2023-09-19 00:00:00,DOGE/USDT,0.06196,0.063175,0.061906,0.062703,1766767.53548,28263938.959,878752.39108,14057008.114,59892,0.06251
1694995200000,2023-09-18 00:00:00,DOGE/USDT,0.061474,0.062761,0.061041,0.062004,1510318.07037,24360072.798,756737.47977,12206243.744,51746,0.062001
1694908800000,2023-09-17 00:00:00,DOGE/USDT,0.062126,0.06254,0.061058,0.061497,942148.68964,15210043.62,469151.22835,7573891.617,32696,0.061944
1694822400000,2023-09-16 00:00:00,DOGE/USDT,0.06254,0.062955,0.061764,0.062125,1396690.41861,22426707.53,693282.40108,11131098.8,47965,0.062278
1694736000000,2023-09-15 00:00:00,DOGE/USDT,0.062083,0.062933,0.061395,0.062506,1439214.56187,23216561.75,700691.39654,11302361.145,48838,0.061991
1694649600000,2023-09-14 00:00:00,DOGE/USDT,0.061244,0.062509,0.061075,0.062083,1885356.05441,30596958.865,940613.09698,15264513.803,64119,0.061621
1694563200000,2023-09-13 00:00:00,DOGE/USDT,0.060901,0.061745,0.060511,0.061243,2331229.81058,38173670.598,1154457.50572,18903769.402,78978,0.061069
1694476800000,2023-09-12 00:00:00,DOGE/USDT,0.060453,0.06236,0.060402,0.060906,3014080.70858,49187641.834,1507540.822,24602821.626,101110,0.061279
1694390400000,2023-09-11 00:00:00,DOGE/USDT,0.061293,0.061935,0.059285,0.06049,2512985.64875,41479429.257,1233446.07514,20356434.518,86605,0.060589
1694304000000,2023-09-10 00:00:00,DOGE/USDT,0.063384,0.063405,0.05962,0.061314,1643099.92382,26601329.961,815512.93024,13202194.606,56263,0.061774
1694217600000,2023-09-09 00:00:00,DOGE/USDT,0.063734,0.063889,0.063244,0.063381,2168157.72798,34127787.201,1057771.33182,16649699.778,73048,0.06353
1694131200000,2023-09-08 00:00:00,DOGE/USDT,0.063653,0.063971,0.06242,0.063711,4099279.3008,64742500.513,2033879.70826,32121441.97,138235,0.063318
1694044800000,2023-09-07 00:00:00,DOGE/USDT,0.063624,0.063852,0.062819,0.063648,3847785.28498,60746593.893,1902985.65629,30043591.314,129819,0.063342
1693958400000,2023-09-06 00:00:00,DOGE/USDT,0.064027,0.064567,0.062585,0.063624,3687788.79962,57849887.865,1824652.55483,28621945.51,125173,0.063749
1693872000000,2023-09-05 00:00:00,DOGE/USDT,0.063263,0.064314,0.062877,0.064032,4012386.58366,62964731.866,1990583.54871,31238181.581,135193,0.063726
1693785600000,2023-09-04 00:00:00,DOGE/USDT,0.06319,0.063845,0.062183,0.063263,8675181.82641,137289848.542,4270649.95131,67586220.836,291282,0.063189
1693699200000,2023-09-03 00:00:00,DOGE/USDT,0.063492,0.06372,0.062814,0.06316,14548126.28709,229698927.242,7197352.03343,113637621.901,486677,0.063336
1693612800000,2023-09-02 00:00:00,DOGE/USDT,0.063861,0.06492,0.062794,0.063483,13401046.71718,210992151.318,6609557.475,104063650.216,453041,0.063515
1693526400000,2023-09-01 00:00:00,DOGE/USDT,0.063772,0.064218,0.062433,0.063867,13204832.77899,207464240.18,6517176.46538,102391331.71,448287,0.06365
1693440000000,2023-08-31 00:00:00,DOGE/USDT,0.065847,0.06698,0.062942,0.063788,14861663.51756,227731247.34,7368885.39888,112917265.656,517326,0.065278
1693353600000,2023-08-30 00:00:00,DOGE/USDT,0.066417,0.066486,0.064484,0.065897,16588771.92432,253581561.148,8211999.87945,125531502.345,557516,0.065419
1693267200000,2023-08-29 00:00:00,DOGE/USDT,0.063428,0.068216,0.062408,0.066419,9093915.11449,141362064.819,4469724.18608,69489986.081,322853,0.064378
1693180800000,2023-08-28 00:00:00,DOGE/USDT,0.063169,0.063679,0.061994,0.063452,10829241.80746,172367966.475,5357664.98937,85278967.406,379276,0.062828
1693094400000,2023-08-27 00:00:00,DOGE/USDT,0.062895,0.063754,0.062688,0.063177,14082483.56939,223099749.899,6952987.67319,110152172.204,510370,0.063122
1693008000000,2023-08-26 00:00:00,DOGE/USDT,0.063126,0.063331,0.062655,0.062897,12342070.24943,196022140.51,6109635.92816,97036323.247,511123,0.062962
1692921600000,2023-08-25 00:00:00,DOGE/USDT,0.063079,0.063137,0.061747,0.063125,12384062.19033,198131536.995,6145719.73829,98322683.46,517727,0.062505
1692835200000,2023-08-24 00:00:00,DOGE/USDT,0.063807,0.06403,0.062001,0.063107,12536889.33033,198057198.214,6211806.6699,98133217.92,521975,0.063303
1692748800000,2023-08-23 00:00:00,DOGE/USDT,0.062593,0.065179,0.062441,0.063813,11868058.36102,187224275.159,5875547.34862,92691308.092,518946,0.063394
1692662400000,2023-08-22 00:00:00,DOGE/USDT,0.062539,0.063252,0.060333,0.062573,12190949.71725,195068396.659,6047314.80972,96765148.961,518514,0.0625
