https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1694044800,2023-09-07,XLM/USD,0.124,0.124,0.122,0.122,3022.6482973,368.7630922706
1693958400,2023-09-06,XLM/USD,0.12,0.12,0.118,0.118,4050.0,477.9
1693872000,2023-09-05,XLM/USD,0.123,0.123,0.122,0.122,2625.0,320.25
1693785600,2023-09-04,XLM/USD,0.126,0.126,0.126,0.126,8000.0,1008.0
1693612800,2023-09-02,XLM/USD,0.1137,0.1137,0.1137,0.1137,4386.5709518,498.75311721966
1693440000,2023-08-31,XLM/USD,0.1205,0.1205,0.1165,0.1165,13734.0578408,1600.0177384532
1693267200,2023-08-29,XLM/USD,0.12562,0.12562,0.12559,0.1256,9376.2599321,1177.65824747176
1692921600,2023-08-25,XLM/USD,0.121,0.121,0.121,0.121,280.0,33.879999999999995
1692835200,2023-08-24,XLM/USD,0.122,0.122,0.122,0.122,333.0,40.626
1692748800,2023-08-23,XLM/USD,0.123,0.123,0.123,0.123,1234.0,151.782
1692662400,2023-08-22,XLM/USD,0.12339,0.12339,0.119,0.119,8596.4426647,1022.9766770993
1692489600,2023-08-20,XLM/USD,0.125,0.13034,0.125,0.13034,1130.0,147.28420000000003
1692403200,2023-08-19,XLM/USD,0.11946,0.121,0.11946,0.121,1620.0,196.01999999999998
1692316800,2023-08-18,XLM/USD,0.1125,0.1229,0.1125,0.1229,4557.4310418,560.1082750372199
1692230400,2023-08-17,XLM/USD,0.12,0.12,0.10866,0.112,21802.4602412,2441.8755470143997
1692144000,2023-08-16,XLM/USD,0.13,0.1312,0.13,0.1312,4632.795312,607.8227449344
1692057600,2023-08-15,XLM/USD,0.1362,0.13636,0.12586,0.129,566307.9785365,73053.7292312085
1691971200,2023-08-14,XLM/USD,0.13799,0.13815,0.13495,0.13621,366181.3300027,49877.55895966776
1691884800,2023-08-13,XLM/USD,0.13788,0.14026,0.1378,0.13801,316631.3931325,43698.29856621633
1691798400,2023-08-12,XLM/USD,0.13949,0.14008,0.13725,0.13784,181972.9675357,25083.153845120887
1691712000,2023-08-11,XLM/USD,0.13874,0.14136,0.13857,0.13947,373826.4129359,52137.569812169975
1691625600,2023-08-10,XLM/USD,0.1416,0.1416,0.13842,0.13875,628765.0092703,87241.14503625414
1691539200,2023-08-09,XLM/USD,0.1429,0.14548,0.13987,0.1416,1061290.5584015,150278.7430696524
1691452800,2023-08-08,XLM/USD,0.14269,0.14332,0.13867,0.14287,1166492.3330803,166656.75962718244
1691366400,2023-08-07,XLM/USD,0.13932,0.14327,0.13724,0.1427,1932704.0110252,275796.862373296
1691280000,2023-08-06,XLM/USD,0.13862,0.14437,0.13862,0.13932,1125518.2523311,156807.20291476883
1691193600,2023-08-05,XLM/USD,0.13635,0.13851,0.13363,0.13851,755327.3943339,104620.39738918848
1691107200,2023-08-04,XLM/USD,0.13917,0.1416,0.13641,0.13641,1537869.5351199,209780.78328570558
1691020800,2023-08-03,XLM/USD,0.14393,0.14552,0.13883,0.1392,1808927.2201418,251802.66904373854
1690934400,2023-08-02,XLM/USD,0.15352,0.15436,0.14393,0.14393,729556.6309445,105005.08589184188
1690848000,2023-08-01,XLM/USD,0.15025,0.15342,0.14628,0.15342,1516522.092922,232664.81949609323
1690761600,2023-07-31,XLM/USD,0.15667,0.15772,0.14934,0.15024,1428823.1644663,214666.39222941693
1690675200,2023-07-30,XLM/USD,0.15841,0.16157,0.15387,0.15668,1738144.0819672,272332.41476262093
1690588800,2023-07-29,XLM/USD,0.15971,0.16098,0.15761,0.15843,874574.3267957,138558.81059424274
1690502400,2023-07-28,XLM/USD,0.15901,0.16979,0.1578,0.15968,3375401.6223173,538984.1310516264
1690416000,2023-07-27,XLM/USD,0.15583,0.16355,0.15341,0.15902,4008372.0069247,637411.3165411658
1690329600,2023-07-26,XLM/USD,0.14495,0.16279,0.14072,0.15576,4811174.6426733,749388.5623427932
1690243200,2023-07-25,XLM/USD,0.14571,0.14962,0.1416,0.14497,2053215.0377601,297654.5840240817
1690156800,2023-07-24,XLM/USD,0.156,0.156,0.14432,0.14572,2168504.7320356,315994.5095522276
1690070400,2023-07-23,XLM/USD,0.15569,0.1608,0.15354,0.1561,1794547.0232585,280128.79033065186
1689984000,2023-07-22,XLM/USD,0.15707,0.16842,0.15571,0.15572,3284545.6563418,511469.4496055451
1689897600,2023-07-21,XLM/USD,0.16304,0.1706,0.15409,0.1571,4531933.5235018,711966.7565421328
1689811200,2023-07-20,XLM/USD,0.15652,0.17898,0.15544,0.16312,10963585.0173583,1788379.9880314856
1689724800,2023-07-19,XLM/USD,0.13267,0.16606,0.1316,0.1564,11055699.8372605,1729111.4545475421
1689638400,2023-07-18,XLM/USD,0.12878,0.13338,0.12538,0.13276,4640523.4328553,616075.8909458695
1689552000,2023-07-17,XLM/USD,0.13148,0.13434,0.12525,0.12873,2882752.2146471,371096.6925915212
1689465600,2023-07-16,XLM/USD,0.12856,0.13843,0.12519,0.13156,5393984.000736,709632.5351368282
1689379200,2023-07-15,XLM/USD,0.13498,0.13542,0.12859,0.12859,3439712.8703981,442312.6780044917
1689292800,2023-07-14,XLM/USD,0.1554,0.15603,0.12829,0.13492,8580087.0854893,1157625.3495742164
1689206400,2023-07-13,XLM/USD,0.1,0.17861,0.09938,0.15539,20742524.916014,3223180.946699416
1689120000,2023-07-12,XLM/USD,0.0956,0.0956,0.0956,0.0956,168.8028,16.13754768
1689033600,2023-07-11,XLM/USD,0.10048,0.10395,0.09007,0.09395,239232.5640587,22475.899393314867
1688947200,2023-07-10,XLM/USD,0.09934,0.10016,0.09785,0.10012,4734.7502894,474.043198974728
1688774400,2023-07-08,XLM/USD,0.09021,0.09958,0.09021,0.09958,1502.0,149.56916
1688601600,2023-07-06,XLM/USD,0.09954,0.09954,0.0972,0.0972,3194.8080321,310.53534072012
1688515200,2023-07-05,XLM/USD,0.10099,0.10102,0.10067,0.10067,5935.2966692,597.506315688364
1688428800,2023-07-04,XLM/USD,0.10572,0.10625,0.09757,0.10295,154031.1036093,15857.502116577434
1688342400,2023-07-03,XLM/USD,0.10721,0.10922,0.10566,0.10566,521731.3766085,55126.137252454115
1688256000,2023-07-02,XLM/USD,0.10726,0.10795,0.10581,0.10713,781119.9939133,83681.38494793183
1688169600,2023-07-01,XLM/USD,0.11071,0.11138,0.10651,0.10722,657929.9276278,70543.24684025272
1688083200,2023-06-30,XLM/USD,0.10553,0.11661,0.10171,0.11078,3527595.633735,390787.0443051633
1687996800,2023-06-29,XLM/USD,0.10054,0.10054,0.10054,0.10054,1179.245283,118.56132075282001
1687910400,2023-06-28,XLM/USD,0.10298,0.1036,0.10176,0.10176,45577.245283,4637.940479998079
1687824000,2023-06-27,XLM/USD,0.09799,0.1028,0.097,0.10219,79066.9911872,8079.855829419967
1687564800,2023-06-24,XLM/USD,0.09164,0.09165,0.09118,0.09118,2183.7419852,199.11359421053598
1687392000,2023-06-22,XLM/USD,0.087,0.087,0.087,0.087,732.5364749,63.7306733163
1687305600,2023-06-21,XLM/USD,0.08419,0.0842,0.08349,0.0842,23816.7476872,2005.37015526224
1687219200,2023-06-20,XLM/USD,0.08237,0.08237,0.08237,0.08237,273.0,22.487009999999998
1686873600,2023-06-16,XLM/USD,0.07991,0.07999,0.07698,0.0799,5929.7254088,473.78506016311997
1686787200,2023-06-15,XLM/USD,0.0788,0.0788,0.07599,0.07599,564.2923,42.880571876999994
1686700800,2023-06-14,XLM/USD,0.08074,0.08074,0.08074,0.08074,299.0,24.141260000000003
1686441600,2023-06-11,XLM/USD,0.08187,0.08187,0.08187,0.08187,1200.0,98.244
1686355200,2023-06-10,XLM/USD,0.08836,0.0925,0.08,0.08239,59201.6242393,4877.621821075927
1686182400,2023-06-08,XLM/USD,0.08741,0.08741,0.08741,0.08741,200.0,17.482
1685923200,2023-06-05,XLM/USD,0.09145,0.09145,0.08795,0.08795,1954.1493462,171.86743499829
1685318400,2023-05-29,XLM/USD,0.08931,0.08931,0.0893,0.0893,659.9104143,58.92999999699
1685232000,2023-05-28,XLM/USD,0.08848,0.08876,0.08836,0.08876,430.0,38.1668
1685145600,2023-05-27,XLM/USD,0.08785,0.08785,0.0877,0.0877,384.4637953,33.71747484781
1685059200,2023-05-26,XLM/USD,0.08714,0.08818,0.08714,0.08818,1870.1113079,164.90641513062198
1684886400,2023-05-24,XLM/USD,0.08833,0.08833,0.08725,0.08725,1700.96,148.40876
1684800000,2023-05-23,XLM/USD,0.08886,0.08886,0.08801,0.08809,12199.2191243,1074.629212659587
1684713600,2023-05-22,XLM/USD,0.08778,0.08778,0.08778,0.08778,587.392,51.56126976
1684627200,2023-05-21,XLM/USD,0.08859,0.08859,0.08804,0.08804,1972.9136253,173.69531557141198
1684540800,2023-05-20,XLM/USD,0.08914,0.08914,0.08853,0.08853,1772.1183215,156.885635002395
1684368000,2023-05-18,XLM/USD,0.0884,0.0889,0.0884,0.08884,823.0965858,73.123900682472
1684281600,2023-05-17,XLM/USD,0.08854,0.08854,0.08768,0.08819,3162.1319778,278.86841912218205
1684195200,2023-05-16,XLM/USD,0.08842,0.08842,0.08842,0.08842,4882.9792739,431.75302739823803
1684108800,2023-05-15,XLM/USD,0.08917,0.08917,0.08917,0.08917,269.0,23.98673
1684022400,2023-05-14,XLM/USD,0.08846,0.08846,0.08846,0.08846,70.0,6.1922
1683936000,2023-05-13,XLM/USD,0.08902,0.08921,0.08902,0.08921,25673.6336988,2290.344862269948
1683849600,2023-05-12,XLM/USD,0.08823,0.08932,0.08805,0.08932,53614.9555701,4788.8878315213315
1683763200,2023-05-11,XLM/USD,0.08875,0.08913,0.08832,0.08832,50262.2096211,4439.158353735552
1683676800,2023-05-10,XLM/USD,0.0877,0.0877,0.0877,0.0877,316.7695,27.78068515
1683504000,2023-05-08,XLM/USD,0.09152,0.09353,0.08856,0.08856,13149.522691,1164.52172951496
1683417600,2023-05-07,XLM/USD,0.09245,0.09548,0.092,0.09548,126037.4890331,12034.059452880389
1683331200,2023-05-06,XLM/USD,0.09228,0.09611,0.09005,0.09005,45299.1802826,4079.19118444813
1683244800,2023-05-05,XLM/USD,0.09324,0.09899,0.09283,0.09552,183776.5589234,17554.336908363166
1683158400,2023-05-04,XLM/USD,0.09399,0.09757,0.09256,0.09334,35735.6308743,3335.563785807162
1683072000,2023-05-03,XLM/USD,0.0926,0.09672,0.0926,0.09365,1662.901569,155.73073193685
1682985600,2023-05-02,XLM/USD,0.09204,0.09463,0.09204,0.09463,1020.290609,96.55010032967
1682899200,2023-05-01,XLM/USD,0.0934,0.09798,0.0927,0.09361,13939.2311179,1304.851424946619
1682812800,2023-04-30,XLM/USD,0.09785,0.09785,0.09391,0.09635,3205.6596467,308.865306959545
1682726400,2023-04-29,XLM/USD,0.09469,0.09887,0.0926,0.0951,10413.6132409,990.3346192095901
1682640000,2023-04-28,XLM/USD,0.09574,0.09574,0.09323,0.09433,8410.3334034,793.346749942722
1682553600,2023-04-27,XLM/USD,0.09376,0.0948,0.09326,0.0948,17139.3585601,1624.81119149748
1682467200,2023-04-26,XLM/USD,0.09471,0.09956,0.0917,0.09956,19578.1855559,1949.204153945404
