https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GALA,Volume USDT,tradecount
1672704000000,2023-01-03,GALAUSDT,0.01771,0.01783,0.01722,0.01758,292786861.0,5145418.27306,24022
1672617600000,2023-01-02,GALAUSDT,0.01687,0.018,0.0165,0.0177,390055842.0,6791061.86004,31896
1672531200000,2023-01-01,GALAUSDT,0.01666,0.01694,0.01635,0.01687,219455958.0,3650417.53298,16108
1672444800000,2022-12-31,GALAUSDT,0.01652,0.01694,0.01619,0.01664,254652965.0,4210232.97182,19851
1672358400000,2022-12-30,GALAUSDT,0.01619,0.01683,0.01542,0.01652,443567309.0,7111953.60171,34545
1672272000000,2022-12-29,GALAUSDT,0.01689,0.01699,0.01568,0.01618,387366457.0,6325959.00735,30730
1672185600000,2022-12-28,GALAUSDT,0.01781,0.01784,0.01655,0.01688,453060280.0,7671554.22444,35262
1672099200000,2022-12-27,GALAUSDT,0.0183,0.01844,0.01758,0.01781,270940336.0,4877409.75035,21986
1672012800000,2022-12-26,GALAUSDT,0.01841,0.01868,0.018,0.0183,181694981.0,3342416.25005,18299
1671926400000,2022-12-25,GALAUSDT,0.01872,0.0188,0.01795,0.01841,187771494.0,3447496.13995,16683
1671840000000,2022-12-24,GALAUSDT,0.01892,0.01907,0.01856,0.01872,139778418.0,2618497.80691,12460
1671753600000,2022-12-23,GALAUSDT,0.01897,0.01939,0.01863,0.01892,257350753.0,4871775.1862,22470
1671667200000,2022-12-22,GALAUSDT,0.019,0.01926,0.01817,0.01896,377964208.0,7116970.23753,28608
1671580800000,2022-12-21,GALAUSDT,0.01942,0.0195,0.01845,0.01901,339884992.0,6433449.14914,26573
1671494400000,2022-12-20,GALAUSDT,0.01848,0.01984,0.01847,0.01941,404859800.0,7846996.88289,35116
1671408000000,2022-12-19,GALAUSDT,0.02029,0.02078,0.01783,0.01848,773160498.0,15063069.78446,63609
1671321600000,2022-12-18,GALAUSDT,0.0207,0.02083,0.02013,0.02029,194982382.0,3989497.13978,19305
1671235200000,2022-12-17,GALAUSDT,0.02036,0.02099,0.01989,0.0207,492983380.0,10114828.92923,44870
1671148800000,2022-12-16,GALAUSDT,0.02403,0.02434,0.01998,0.02035,625372115.0,13904554.17005,67903
1671062400000,2022-12-15,GALAUSDT,0.0244,0.02444,0.02355,0.02403,291058674.0,7016202.21288,28092
1670976000000,2022-12-14,GALAUSDT,0.02521,0.02552,0.02402,0.0244,289042259.0,7218062.77375,32926
