https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1691452800000,2023-08-08 00:00:00,AVAX/USDT,12.461,12.787,12.374,12.683,7945286.97,632603.805806,3993664.44,317968.910009,213912,12.56
1691366400000,2023-08-07 00:00:00,AVAX/USDT,12.593,12.763,12.226,12.463,6941618.26,552607.653769,3491793.58,277971.785256,189257,12.563
1691280000000,2023-08-06 00:00:00,AVAX/USDT,12.44,12.662,12.415,12.599,3612488.67,287169.636836,1817613,144489.185519,99587,12.579
1691193600000,2023-08-05 00:00:00,AVAX/USDT,12.391,12.446,12.283,12.44,2947624.18,238653.298293,1467204.83,118792.138744,86085,12.351
1691107200000,2023-08-04 00:00:00,AVAX/USDT,12.431,12.6,12.302,12.395,4459534.27,357712.676544,2222474.21,178270.643214,99465,12.466
1691020800000,2023-08-03 00:00:00,AVAX/USDT,12.528,12.633,12.368,12.434,7784961.47,622521.022238,3887552.27,310863.915646,100289,12.505
1690934400000,2023-08-02 00:00:00,AVAX/USDT,12.868,12.95,12.454,12.54,3329160.02,264709.506001,1639427.92,130352.445189,38059,12.577
1690848000000,2023-08-01 00:00:00,AVAX/USDT,12.807,12.884,12.47,12.864,645689.93,50783.861851,319658.66,25142.580965,2355,12.714
1690761600000,2023-07-31 00:00:00,AVAX/USDT,13.116,13.274,12.723,12.807,646703.43,49632.736753,317326.21,24357.885946,2405,13.031
1690675200000,2023-07-30 00:00:00,AVAX/USDT,13.238,13.411,12.99,13.127,668612.65,50435.68518,343171.87,25882.872466,2424,13.257
1690588800000,2023-07-29 00:00:00,AVAX/USDT,13.231,13.295,13.156,13.234,711985.42,53808.8633,351136.75,26537.775842,2607,13.231
1690502400000,2023-07-28 00:00:00,AVAX/USDT,13.133,13.288,13.015,13.233,818039.8,62148.95756,410934.7,31220.417938,2849,13.162
1690416000000,2023-07-27 00:00:00,AVAX/USDT,13.264,13.418,13.028,13.146,780204.75,58879.361593,385517.44,29095.003165,2665,13.251
1690329600000,2023-07-26 00:00:00,AVAX/USDT,13.341,13.448,13.102,13.264,795888.16,60118.944091,396698.99,29966.215067,2688,13.238
1690243200000,2023-07-25 00:00:00,AVAX/USDT,13.096,13.487,13.048,13.342,807768.84,60950.337496,421566.85,31801.234886,2699,13.253
1690156800000,2023-07-24 00:00:00,AVAX/USDT,13.541,13.593,12.871,13.096,787176.94,59657.619833,401816.48,30457.062258,2789,13.197
1690070400000,2023-07-23 00:00:00,AVAX/USDT,13.508,13.74,13.431,13.541,799621.37,58898.733848,382615.82,28184.419579,2724,13.576
1689984000000,2023-07-22 00:00:00,AVAX/USDT,13.979,14.035,13.388,13.508,766489.58,55506.22281,388099.03,28100.265731,2723,13.81
1689897600000,2023-07-21 00:00:00,AVAX/USDT,13.862,14.061,13.742,13.977,783319.33,56204.146856,398894.9,28619.329302,2530,13.937
1689811200000,2023-07-20 00:00:00,AVAX/USDT,13.988,14.41,13.708,13.861,847338.48,60373.317471,424505.73,30230.200586,2764,14.037
1689724800000,2023-07-19 00:00:00,AVAX/USDT,13.798,14.254,13.767,13.993,784162.4,56018.251865,397715.41,28411.779392,2666,13.998
1689638400000,2023-07-18 00:00:00,AVAX/USDT,14.421,14.578,13.667,13.798,380478.13,27165.927602,195548.48,13963.692722,2633,14.009
1689552000000,2023-07-17 00:00:00,AVAX/USDT,14.293,14.624,13.932,14.395,380801.29,26618.006721,185201.49,12943.247824,2593,14.307
1689465600000,2023-07-16 00:00:00,AVAX/USDT,14.833,14.924,14.203,14.298,319967.18,21971.831814,156840.36,10769.802386,2586,14.563
1689379200000,2023-07-15 00:00:00,AVAX/USDT,14.614,15.292,14.416,14.84,244574.05,16514.496449,125507.27,8475.1518,2776,14.813
1689292800000,2023-07-14 00:00:00,AVAX/USDT,14.11,15.933,14.057,14.615,433212.47,29137.133206,211377.88,14222.635947,2484,14.88
1689206400000,2023-07-13 00:00:00,AVAX/USDT,13.022,14.15,12.894,14.104,532972.35,39919.589637,267836.74,20060.513914,2824,13.363
1689120000000,2023-07-12 00:00:00,AVAX/USDT,13.259,13.341,12.903,13.021,531563.87,40427.034212,267041.19,20312.184809,2790,13.149
1689033600000,2023-07-11 00:00:00,AVAX/USDT,13.393,13.697,13.176,13.264,568827.25,42393.496603,277507.09,20687.324099,2673,13.419
1688947200000,2023-07-10 00:00:00,AVAX/USDT,13.604,13.945,13.193,13.384,468634.78,35021.379407,229427.09,17147.629762,2656,13.382
1688860800000,2023-07-09 00:00:00,AVAX/USDT,13.657,14.204,13.59,13.603,459422.98,33058.862919,221818.66,15958.290585,2442,13.899
1688774400000,2023-07-08 00:00:00,AVAX/USDT,12.739,13.853,12.739,13.656,477267.89,35349.964237,237404.25,17581.803674,2606,13.507
1688688000000,2023-07-07 00:00:00,AVAX/USDT,12.369,12.749,12.284,12.742,551273.36,43702.727445,265843.49,21079.205077,2594,12.614
1688601600000,2023-07-06 00:00:00,AVAX/USDT,12.658,13.1,12.274,12.374,512073,40333.86564,250208.42,19707.554185,2564,12.697
1688515200000,2023-07-05 00:00:00,AVAX/USDT,13.036,13.155,12.522,12.675,491203.98,38179.956163,239819.47,18648.467263,2497,12.868
1688428800000,2023-07-04 00:00:00,AVAX/USDT,13.26,13.393,13.018,13.028,546686.72,41369.439456,274831.2,20798.030583,2803,13.215
1688342400000,2023-07-03 00:00:00,AVAX/USDT,13.114,13.432,13.079,13.248,560233.78,42327.730736,297369.85,22469.961013,2537,13.235
1688256000000,2023-07-02 00:00:00,AVAX/USDT,12.988,13.202,12.743,13.114,472603.14,36439.40569,241018.1,18586.027639,2382,12.97
1688169600000,2023-07-01 00:00:00,AVAX/USDT,13.034,13.139,12.84,12.989,531246.32,40980.40113,267095.55,20603.301409,2516,12.963
