https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1624147200000,2021-06-20,ATOMUSDT,11.854,12.477,11.04,11.977,2215875.598,26118098.975184,66570
1624060800000,2021-06-19,ATOMUSDT,12.46,12.721,11.809,11.85,1311810.652,16190188.354144,43221
1623974400000,2021-06-18,ATOMUSDT,13.623,13.623,11.927,12.472,2237575.356,28428442.436696,72259
1623888000000,2021-06-17,ATOMUSDT,13.419,14.683,13.292,13.618,3732653.493,52267470.686987,145917
1623801600000,2021-06-16,ATOMUSDT,12.951,13.477,12.313,13.425,1932702.646,24871110.491625,80805
1623715200000,2021-06-15,ATOMUSDT,13.315,13.575,12.641,12.951,1505914.741,19772077.58285,63806
1623628800000,2021-06-14,ATOMUSDT,12.531,13.39,12.216,13.301,1834397.847,23361133.377691,76919
1623542400000,2021-06-13,ATOMUSDT,11.625,12.534,11.288,12.53,1668229.281,19793493.595331,62597
1623456000000,2021-06-12,ATOMUSDT,11.941,12.057,10.914,11.616,1753079.418,20127838.688486,74320
1623369600000,2021-06-11,ATOMUSDT,12.833,12.953,11.557,11.95,1957376.418,24312733.520728,82988
1623283200000,2021-06-10,ATOMUSDT,13.94,14.055,12.559,12.829,2364548.247,31471795.871928,87117
1623196800000,2021-06-09,ATOMUSDT,13.573,14.005,12.603,13.932,2542304.682,34256481.946192,102006
1623110400000,2021-06-08,ATOMUSDT,13.46,13.804,12.015,13.56,3066134.722,39931034.354103,106530
1623024000000,2021-06-07,ATOMUSDT,15.131,15.78,13.275,13.46,2055342.951,30514359.481984,84142
1622937600000,2021-06-06,ATOMUSDT,14.851,15.414,14.472,15.125,1227547.951,18327672.976192,50879
1622851200000,2021-06-05,ATOMUSDT,15.071,16.343,14.233,14.858,2399738.813,36839548.675553,96818
1622764800000,2021-06-04,ATOMUSDT,16.667,17.11,14.014,15.067,3172651.887,48315446.820099,115482
1622678400000,2021-06-03,ATOMUSDT,14.873,17.2,14.651,16.665,3679544.752,59765931.840251,162485
1622592000000,2021-06-02,ATOMUSDT,13.744,15.338,13.582,14.86,2468156.554,35973167.419341,94807
1622505600000,2021-06-01,ATOMUSDT,13.947,14.532,13.31,13.757,2095119.605,29029612.279795,81032
1622419200000,2021-05-31,ATOMUSDT,12.548,14.0,11.89,13.962,2331698.682,30535904.775307,97338
1622332800000,2021-05-30,ATOMUSDT,12.064,13.124,11.264,12.551,1903649.578,23737884.959825,74637
1622246400000,2021-05-29,ATOMUSDT,12.702,14.405,11.38,12.059,3206676.691,41145613.681356,118923
1622160000000,2021-05-28,ATOMUSDT,14.536,14.627,11.979,12.701,3520379.263,45667088.364952,124544
1622073600000,2021-05-27,ATOMUSDT,15.277,15.315,13.543,14.525,2763054.13,39954672.773379,106097
