https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1674172800000,2023-01-20 00:00:00,UNI/USDT,6.1531,6.6898,6.0654,6.6723,59908.247519619,9622.07038,29696.200650342,4767.99784,18459,6.230539456954502336
1674086400000,2023-01-19 00:00:00,UNI/USDT,6.0691,6.1787,5.9888,6.1531,65892.658553192,10801.78688,33170.161339212,5437.24527,19801,6.100354251843730318
1674000000000,2023-01-18 00:00:00,UNI/USDT,6.3551,6.8194,6.0425,6.055,64405.459128993,10188.94706,36895.271179488,5837.66923,16211,6.32484765185891485
1673913600000,2023-01-17 00:00:00,UNI/USDT,6.5265,6.5966,6.35,6.3633,48082.215416783,7414.30164,23814.374466674,3671.62342,15284,6.485496668398667631
1673827200000,2023-01-16 00:00:00,UNI/USDT,6.5883,6.7158,6.1,6.5284,56893.257302216,8722.4235,29330.699471888,4498.62567,16577,6.524265685415038043
1673740800000,2023-01-15 00:00:00,UNI/USDT,6.5972,7.3859,6.3781,6.5942,46511.207096771,7105.44668,24555.296308166,3739.57907,13807,6.548082521327671563
1673654400000,2023-01-14 00:00:00,UNI/USDT,6.2951,6.9196,6.2854,6.5492,42770.342506574,6451.21436,21436.71425867,3235.23388,12610,6.632266343386249912
1673568000000,2023-01-13 00:00:00,UNI/USDT,6.1545,6.3359,5.9889,6.2952,52023.831559218,8514.34357,25936.011421554,4244.53161,15618,6.110938518903588513
1673481600000,2023-01-12 00:00:00,UNI/USDT,5.896,6.1788,5.8488,6.1519,48625.431268491,8087.69298,24270.49406999,4036.96695,14468,6.012966866150767446
1673395200000,2023-01-11 00:00:00,UNI/USDT,5.773,5.9266,5.5923,5.9068,54471.987874838,9541.65202,27190.202157694,4762.68555,17315,5.709452140721945528
1673308800000,2023-01-10 00:00:00,UNI/USDT,5.7894,5.8667,5.6514,5.773,51298.936551389,8902.4669,25248.582073305,4381.73256,16019,5.762627728701131739
1673222400000,2023-01-09 00:00:00,UNI/USDT,5.5632,5.926,5.5401,5.7889,51093.924538265,8852.00275,26081.786180844,4519.61769,15809,5.773363793929650023
