https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USD
1667260800,2022-11-01,BNB/USD,326.8509,328.7464,315.0,325.7109,18.326482,5969.1349460537995
1667174400,2022-10-31,BNB/USD,312.8869,339.99,303.0001,328.0076,92.742717,30420.316020649203
1667088000,2022-10-30,BNB/USD,305.454,319.9997,303.2763,313.9324,9.183135,2882.883610074
1667001600,2022-10-29,BNB/USD,296.3485,316.9999,290.0001,304.0517,20.27177,6163.666130508999
1666915200,2022-10-28,BNB/USD,286.7808,317.0,282.3818,297.9267,12.675392,3776.3377097663997
1666828800,2022-10-27,BNB/USD,289.8576,292.3634,280.0001,280.0001,24.14912,6761.756014911999
1666742400,2022-10-26,BNB/USD,284.59,299.9989,280.0001,291.0129,58.254771,16952.8898475459
1666656000,2022-10-25,BNB/USD,265.0001,294.0454,263.0001,280.0001,38.768997,10855.3230368997
1666569600,2022-10-24,BNB/USD,273.6894,275.6208,272.2349,272.4225,4.32185,1177.3691816250002
1666483200,2022-10-23,BNB/USD,271.0482,276.134,269.3164,276.134,3.764062,1039.385496308
1666396800,2022-10-22,BNB/USD,269.93,283.9086,261.0001,270.812,7.393563,2002.2655831560003
1666310400,2022-10-21,BNB/USD,268.269,283.9087,260.0001,269.2637,12.880597,3468.2772064288997
1666224000,2022-10-20,BNB/USD,272.3322,278.0,265.0001,268.6974,8.172545,2195.941592883
1666137600,2022-10-19,BNB/USD,272.8151,277.5,270.3859,272.515,10.297539,2806.233840585
1666051200,2022-10-18,BNB/USD,275.2189,277.4999,265.8775,273.76,12.872429,3523.95616304
1665964800,2022-10-17,BNB/USD,271.2845,275.9823,265.6132,275.9823,4.365712,1204.8592388976
1665878400,2022-10-16,BNB/USD,268.5981,275.3661,265.0001,273.5777,39.902339,10916.390128240299
1665792000,2022-10-15,BNB/USD,270.137,286.9999,260.0001,269.5542,16.087559,4336.469096197799
1665705600,2022-10-14,BNB/USD,272.3277,287.0,268.4641,268.5696,5.540178,1487.9233893888
