https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRP
1692144000000,2023-08-16 00:00:00,XRP/USD,0.60987,0.61674,0.5732,0.58852,5007801.655668152,8509144.3887517
1692057600000,2023-08-15 00:00:00,XRP/USD,0.63453,0.63482,0.58007,0.6103,1947743.2418607844,3191452.14134161
1691971200000,2023-08-14 00:00:00,XRP/USD,0.62594,0.63682,0.62452,0.63455,668754.5318707102,1053903.60392516
1691884800000,2023-08-13 00:00:00,XRP/USD,0.62771,0.6386,0.62387,0.62596,1254297.6761294461,2003798.44739192
1691798400000,2023-08-12 00:00:00,XRP/USD,0.63196,0.63323,0.62299,0.62778,822098.2681963099,1309532.42887048
1691712000000,2023-08-11 00:00:00,XRP/USD,0.63277,0.64064,0.62588,0.63197,665136.4961814309,1052481.12439108
1691625600000,2023-08-10 00:00:00,XRP/USD,0.64369,0.6446,0.62445,0.63309,1684381.4728043852,2660571.9136369
1691539200000,2023-08-09 00:00:00,XRP/USD,0.64181,0.66659,0.6323,0.64381,3181035.0687842234,4940953.18305746
1691452800000,2023-08-08 00:00:00,XRP/USD,0.6237,0.64845,0.61434,0.64319,2599431.6405046973,4041467.74748472
1691366400000,2023-08-07 00:00:00,XRP/USD,0.62427,0.6298,0.59623,0.62392,2063470.777191764,3307268.20296154
1691280000000,2023-08-06 00:00:00,XRP/USD,0.629,0.63895,0.62141,0.62389,994230.4260064712,1593598.91328034
1691193600000,2023-08-05 00:00:00,XRP/USD,0.63573,0.63574,0.61091,0.62888,3076652.8126060804,4892273.2677237
1691107200000,2023-08-04 00:00:00,XRP/USD,0.66305,0.66806,0.62465,0.63553,2268980.1721264008,3570217.25508851
1691020800000,2023-08-03 00:00:00,XRP/USD,0.68533,0.68756,0.655,0.66305,2013515.415054659,3036747.47764823
1690934400000,2023-08-02 00:00:00,XRP/USD,0.70756,0.70857,0.67631,0.68548,1603295.8677845015,2338938.94465849
