https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume SHIB
1656806400000,2022-07-03 00:00:00,SHIB/USDT,1.009e-05,1.049e-05,9.75e-06,9.99e-06,2059.1431502977307,206120435.46523833
1656720000000,2022-07-02 00:00:00,SHIB/USDT,1.047e-05,1.08e-05,9.03e-06,1.012e-05,2142.5464280728725,211714073.92024434
1656633600000,2022-07-01 00:00:00,SHIB/USDT,1.042e-05,1.047e-05,9.61e-06,1.022e-05,1028.748138803979,100660287.55420537
1656547200000,2022-06-30 00:00:00,SHIB/USDT,1.066e-05,1.067e-05,9.14e-06,1.045e-05,2621.2409364459536,250836453.24841663
1656460800000,2022-06-29 00:00:00,SHIB/USDT,1.08e-05,1.08e-05,9.31e-06,1.015e-05,5379.43364144408,529993462.21123946
1656374400000,2022-06-28 00:00:00,SHIB/USDT,1.109e-05,1.109e-05,1.089e-05,1.102e-05,0.26177742665588577,23754.75740979
1656288000000,2022-06-27 00:00:00,SHIB/USDT,1.104e-05,1.209e-05,1.047e-05,1.096e-05,2949.9107535920843,269152441.02117556
1656201600000,2022-06-26 00:00:00,SHIB/USDT,1.17e-05,1.228e-05,1.1e-05,1.101e-05,1921.3720965082532,174511543.73371965
1656115200000,2022-06-25 00:00:00,SHIB/USDT,1.094e-05,1.23e-05,1.093e-05,1.168e-05,3049.550238734128,261091630.02860686
1656028800000,2022-06-24 00:00:00,SHIB/USDT,1.062e-05,1.148e-05,1.002e-05,1.094e-05,2976.9468956952564,272115803.9940819
1655942400000,2022-06-23 00:00:00,SHIB/USDT,9.78e-06,1.132e-05,9.76e-06,1.051e-05,3697.3181620812775,351790500.6737657
1655856000000,2022-06-22 00:00:00,SHIB/USDT,1.118e-05,1.252e-05,9.3e-06,9.85e-06,4899.809752661626,497442614.48341376
1655769600000,2022-06-21 00:00:00,SHIB/USDT,8.35e-06,1.264e-05,8.12e-06,1.181e-05,8393.225031686583,710687978.9743084
1655683200000,2022-06-20 00:00:00,SHIB/USDT,8.6e-06,8.98e-06,8.09e-06,8.35e-06,474.26067228054325,56797685.30305907
1655596800000,2022-06-19 00:00:00,SHIB/USDT,7.62e-06,8.64e-06,7.59e-06,8.59e-06,1462.61444603557,170269434.92847145
1655510400000,2022-06-18 00:00:00,SHIB/USDT,8.21e-06,8.26e-06,7.56e-06,8.2e-06,914.9874658417735,111583837.29777727
1655424000000,2022-06-17 00:00:00,SHIB/USDT,8.11e-06,8.7e-06,7.94e-06,8.14e-06,1532.1577600140065,188225769.04348975
1655337600000,2022-06-16 00:00:00,SHIB/USDT,9.12e-06,9.99e-06,7.12e-06,7.99e-06,3064.942676288218,383597331.2000273
1655251200000,2022-06-15 00:00:00,SHIB/USDT,8.3e-06,9.25e-06,7.98e-06,9.12e-06,803.7426306121695,88129674.4092291
1655164800000,2022-06-14 00:00:00,SHIB/USDT,7.76e-06,9.6e-06,7.7e-06,8.18e-06,874.7026283622087,106931861.65797172
1655078400000,2022-06-13 00:00:00,SHIB/USDT,8.66e-06,1e-05,7.5e-06,7.86e-06,4340.789939778544,552263351.1168631
1654992000000,2022-06-12 00:00:00,SHIB/USDT,9.26e-06,9.39e-06,8.46e-06,8.66e-06,3000.033999727905,346424249.39121306
1654905600000,2022-06-11 00:00:00,SHIB/USDT,1.017e-05,1.032e-05,9.26e-06,9.31e-06,3253.3478556962123,349446601.0414836
1654819200000,2022-06-10 00:00:00,SHIB/USDT,1.059e-05,1.063e-05,1e-05,1.016e-05,1414.9675657605874,139268461.1969082
1654732800000,2022-06-09 00:00:00,SHIB/USDT,1.056e-05,1.076e-05,1.045e-05,1.059e-05,1689.1198276872287,159501400.15932283
1654646400000,2022-06-08 00:00:00,SHIB/USDT,1.077e-05,1.092e-05,1.055e-05,1.059e-05,2004.56226471012,189288221.40794334
1654560000000,2022-06-07 00:00:00,SHIB/USDT,1.09e-05,1.113e-05,1.05e-05,1.083e-05,2670.079568938153,246544743.2075857
1654473600000,2022-06-06 00:00:00,SHIB/USDT,1.096e-05,1.14e-05,1.086e-05,1.107e-05,2806.295660666113,253504576.39260277
1654387200000,2022-06-05 00:00:00,SHIB/USDT,1.078e-05,1.094e-05,1.071e-05,1.084e-05,2473.9785409251076,228226802.66836786
1654300800000,2022-06-04 00:00:00,SHIB/USDT,1.086e-05,1.09e-05,1.065e-05,1.087e-05,524.5498924146834,48256659.83575745
1654214400000,2022-06-03 00:00:00,SHIB/USDT,1.124e-05,1.124e-05,1.059e-05,1.095e-05,1284.5754361267607,117312825.21705577
1654128000000,2022-06-02 00:00:00,SHIB/USDT,1.089e-05,1.133e-05,1.082e-05,1.133e-05,2548.972079467381,224975470.3854705
1654041600000,2022-06-01 00:00:00,SHIB/USDT,1.172e-05,1.192e-05,1.074e-05,1.092e-05,4931.677288865674,451618799.3466734
1653955200000,2022-05-31 00:00:00,SHIB/USDT,1.212e-05,1.226e-05,1.15e-05,1.184e-05,3870.5672190837136,326906015.12531364
1653868800000,2022-05-30 00:00:00,SHIB/USDT,1.145e-05,1.26e-05,1.137e-05,1.225e-05,6229.63495233587,508541628.7621119
1653782400000,2022-05-29 00:00:00,SHIB/USDT,1.069e-05,1.178e-05,1.06e-05,1.156e-05,2446.798629541283,211660781.10218713
1653696000000,2022-05-28 00:00:00,SHIB/USDT,1.062e-05,1.082e-05,1.052e-05,1.082e-05,931.5597140955553,86096091.87574448
1653609600000,2022-05-27 00:00:00,SHIB/USDT,1.059e-05,1.08e-05,1.021e-05,1.041e-05,1565.8006709486042,150413128.81350663
1653523200000,2022-05-26 00:00:00,SHIB/USDT,1.169e-05,1.171e-05,1.039e-05,1.064e-05,4059.1508485026106,381499139.8968619
1653436800000,2022-05-25 00:00:00,SHIB/USDT,1.176e-05,1.265e-05,1.155e-05,1.164e-05,4508.405144936495,387320029.6337195
1653350400000,2022-05-24 00:00:00,SHIB/USDT,1.162e-05,1.191e-05,1.131e-05,1.178e-05,1702.6199392628675,144534799.5978665
1653264000000,2022-05-23 00:00:00,SHIB/USDT,1.197e-05,1.267e-05,1.153e-05,1.158e-05,5568.30727495558,480855550.51429886
