https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1690848000000,2023-08-01,UNIUSDT,6.528,6.694,6.327,6.686,2836552.29,18402876.68418,89332
1690761600000,2023-07-31,UNIUSDT,6.417,6.645,6.384,6.528,3001546.55,19557494.93897,80849
1690675200000,2023-07-30,UNIUSDT,6.323,6.453,6.25,6.418,2022469.82,12880552.8555,58893
1690588800000,2023-07-29,UNIUSDT,6.012,6.358,6.005,6.323,1380893.62,8519746.53201,39826
1690502400000,2023-07-28,UNIUSDT,5.875,6.026,5.867,6.011,1066431.97,6350091.71771,33058
1690416000000,2023-07-27,UNIUSDT,5.843,5.999,5.8,5.874,1376775.44,8121913.70794,34390
1690329600000,2023-07-26,UNIUSDT,5.793,5.898,5.711,5.843,1145284.65,6655386.63389,37794
1690243200000,2023-07-25,UNIUSDT,5.78,5.812,5.693,5.792,763893.53,4394842.94936,24831
1690156800000,2023-07-24,UNIUSDT,6.141,6.182,5.712,5.78,2435257.42,14291102.85214,62024
1690070400000,2023-07-23,UNIUSDT,5.992,6.225,5.972,6.14,1143359.36,6977824.17041,33249
1689984000000,2023-07-22,UNIUSDT,6.206,6.26,5.953,5.992,1207492.7,7419386.36736,41249
1689897600000,2023-07-21,UNIUSDT,6.017,6.386,5.945,6.205,2619973.07,16232515.10502,75793
1689811200000,2023-07-20,UNIUSDT,5.876,6.165,5.818,6.015,2575138.31,15439771.83652,68823
1689724800000,2023-07-19,UNIUSDT,5.912,6.049,5.81,5.873,1322685.54,7828805.67214,46786
1689638400000,2023-07-18,UNIUSDT,5.913,6.283,5.862,5.912,4831600.75,29313218.05188,125727
1689552000000,2023-07-17,UNIUSDT,5.719,6.145,5.68,5.915,4387640.57,25911815.25177,127940
1689465600000,2023-07-16,UNIUSDT,5.814,5.868,5.66,5.724,1286807.87,7422564.14774,51721
1689379200000,2023-07-15,UNIUSDT,5.871,5.936,5.761,5.814,1300768.61,7601418.87915,50837
1689292800000,2023-07-14,UNIUSDT,5.873,6.157,5.737,5.872,3506105.4,20855507.36411,109648
1689206400000,2023-07-13,UNIUSDT,5.274,5.88,5.219,5.873,2193287.7,12191159.92577,79525
1689120000000,2023-07-12,UNIUSDT,5.263,5.38,5.179,5.276,985648.79,5229789.96719,37719
1689033600000,2023-07-11,UNIUSDT,5.239,5.309,5.185,5.265,826766.74,4337200.65384,28270
1688947200000,2023-07-10,UNIUSDT,5.231,5.362,5.085,5.238,1391891.72,7212278.40355,42284
1688860800000,2023-07-09,UNIUSDT,5.25,5.335,5.199,5.231,753442.27,3964003.3221,20857
1688774400000,2023-07-08,UNIUSDT,5.478,5.489,5.174,5.251,1273363.88,6787572.55025,35898
1688688000000,2023-07-07,UNIUSDT,5.265,5.574,5.215,5.478,1810753.09,9893920.91588,68130
1688601600000,2023-07-06,UNIUSDT,5.409,5.641,5.18,5.265,1739269.03,9415672.17578,57693
1688515200000,2023-07-05,UNIUSDT,5.509,5.73,5.317,5.408,1689816.56,9284810.46412,56474
1688428800000,2023-07-04,UNIUSDT,5.521,5.599,5.371,5.507,1796997.64,9894211.34118,45043
1688342400000,2023-07-03,UNIUSDT,5.567,5.781,5.492,5.523,1368982.59,7723289.66936,48011
1688256000000,2023-07-02,UNIUSDT,5.585,5.693,5.448,5.568,1746393.83,9686664.51336,52779
1688169600000,2023-07-01,UNIUSDT,5.27,5.605,5.176,5.587,2114038.98,11468753.75409,58470
1688083200000,2023-06-30,UNIUSDT,4.922,5.342,4.8,5.272,3507555.26,17957630.27748,89860
1687996800000,2023-06-29,UNIUSDT,4.832,5.047,4.819,4.922,1135245.09,5612837.53015,30819
1687910400000,2023-06-28,UNIUSDT,5.28,5.283,4.747,4.834,1380740.22,6919132.87272,41148
1687824000000,2023-06-27,UNIUSDT,5.269,5.364,5.224,5.279,986289.9,5222651.60938,28193
1687737600000,2023-06-26,UNIUSDT,5.43,5.55,5.187,5.267,3606107.44,19357137.53993,97876
1687651200000,2023-06-25,UNIUSDT,4.733,5.514,4.709,5.43,6842850.37,36176907.96288,182890
1687564800000,2023-06-24,UNIUSDT,4.862,4.873,4.678,4.734,875858.34,4195531.74247,21551
1687478400000,2023-06-23,UNIUSDT,4.729,4.927,4.707,4.86,854320.28,4119625.93033,25686
1687392000000,2023-06-22,UNIUSDT,4.772,4.904,4.678,4.732,1126010.49,5406030.85027,29856
1687305600000,2023-06-21,UNIUSDT,4.573,4.818,4.524,4.772,1523320.5,7086190.36471,42579
1687219200000,2023-06-20,UNIUSDT,4.481,4.62,4.329,4.572,1001445.09,4483488.09806,27014
