https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT,tradecount
1693267200000,2023-08-29,LTCUSDT,65.51,70.69,64.6,68.86,953145.162,64776157.64346,155505
1693180800000,2023-08-28,LTCUSDT,65.39,65.76,63.97,65.52,401983.007,26079176.94969,62224
1693094400000,2023-08-27,LTCUSDT,65.0,65.95,64.83,65.39,232033.928,15149443.36921,42283
1693008000000,2023-08-26,LTCUSDT,65.13,65.59,64.9,65.01,205559.917,13411009.14258,39234
1692921600000,2023-08-25,LTCUSDT,64.88,65.47,63.5,65.13,400427.672,25869443.90706,71886
1692835200000,2023-08-24,LTCUSDT,65.63,65.9,63.9,64.88,352946.421,22944279.86437,63981
1692748800000,2023-08-23,LTCUSDT,64.83,66.86,64.06,65.64,548642.362,35922245.43621,88240
1692662400000,2023-08-22,LTCUSDT,67.0,67.38,62.02,64.83,726834.414,47379433.48586,111356
1692576000000,2023-08-21,LTCUSDT,65.25,67.31,64.34,67.0,795770.097,52560912.71659,135435
1692489600000,2023-08-20,LTCUSDT,64.17,65.89,63.98,65.25,328241.945,21234386.92207,54995
1692403200000,2023-08-19,LTCUSDT,63.98,65.01,63.51,64.18,511070.915,32755244.34267,77613
1692316800000,2023-08-18,LTCUSDT,64.77,65.97,63.04,63.98,1283276.079,83064204.43841,177621
1692230400000,2023-08-17,LTCUSDT,74.57,75.84,56.0,64.77,1709946.722,118350429.85813,340905
1692144000000,2023-08-16,LTCUSDT,79.27,79.61,72.75,74.56,1050727.642,80346935.45811,159737
1692057600000,2023-08-15,LTCUSDT,82.11,82.25,77.0,79.26,600119.042,48214970.61594,99919
1691971200000,2023-08-14,LTCUSDT,81.92,83.13,81.5,82.11,330529.723,27196597.25453,57863
1691884800000,2023-08-13,LTCUSDT,83.48,83.81,81.01,81.92,331226.641,27458062.01471,53694
1691798400000,2023-08-12,LTCUSDT,83.58,84.0,83.27,83.47,178561.007,14935172.21639,38818
1691712000000,2023-08-11,LTCUSDT,83.13,83.72,82.68,83.58,186712.308,15526696.488,45797
1691625600000,2023-08-10,LTCUSDT,84.08,84.39,82.66,83.14,337566.353,28225336.30461,59372
1691539200000,2023-08-09,LTCUSDT,83.85,84.61,83.13,84.08,381592.396,32005294.96555,70163
1691452800000,2023-08-08,LTCUSDT,82.48,85.47,81.75,83.86,735916.528,61502877.97623,117572
1691366400000,2023-08-07,LTCUSDT,82.57,83.44,79.29,82.49,531623.828,43546762.79785,109537
1691280000000,2023-08-06,LTCUSDT,83.11,83.49,81.68,82.57,376251.971,31177557.50723,70775
1691193600000,2023-08-05,LTCUSDT,82.2,83.42,81.35,83.12,353881.791,29191586.5947,73242
1691107200000,2023-08-04,LTCUSDT,82.55,83.92,80.74,82.2,956964.968,79116478.9653,151027
1691020800000,2023-08-03,LTCUSDT,87.53,88.38,80.5,82.55,1131674.185,96762575.49818,191345
