https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SOL
1687478400000,2023-06-23 00:00:00,SOL/USD,16.646,17.539,16.184,17.169,745331.1971577505,43411.45070521
1687392000000,2023-06-22 00:00:00,SOL/USD,17.242,17.75,16.58,16.665,388368.80227636255,23304.45858244
1687305600000,2023-06-21 00:00:00,SOL/USD,16.657,17.389,16.578,17.243,1004485.9157642095,58254.70717185
1687219200000,2023-06-20 00:00:00,SOL/USD,16.082,16.693,15.72,16.657,396493.39842829347,23803.40988343
1687132800000,2023-06-19 00:00:00,SOL/USD,15.504,16.17,15.354,16.112,301771.4450134172,18729.60805694
1687046400000,2023-06-18 00:00:00,SOL/USD,15.632,15.854,15.288,15.434,248072.37235760913,16073.10952168
1686960000000,2023-06-17 00:00:00,SOL/USD,15.328,16.133,15.175,15.652,268232.9491921388,17137.29550167
1686873600000,2023-06-16 00:00:00,SOL/USD,14.695,15.474,14.381,15.334,281335.2287032905,18347.15199578
1686787200000,2023-06-15 00:00:00,SOL/USD,14.451,15.088,14.18,14.762,494357.6238913532,33488.5262086
1686700800000,2023-06-14 00:00:00,SOL/USD,15.046,15.378,14.062,14.488,627311.2160528051,43298.67587333
1686614400000,2023-06-13 00:00:00,SOL/USD,15.191,16.049,14.773,15.021,599002.5463427041,39877.67434543
1686528000000,2023-06-12 00:00:00,SOL/USD,15.557,15.676,14.73,15.207,701135.9758389252,46106.1337436
1686441600000,2023-06-11 00:00:00,SOL/USD,15.615,16.204,15.13,15.569,906604.2255873682,58231.37167367
1686355200000,2023-06-10 00:00:00,SOL/USD,17.373,17.414,13.027,15.643,5519910.598128964,352867.77460391
1686268800000,2023-06-09 00:00:00,SOL/USD,18.896,19.376,17.121,17.382,700222.3543207081,40284.337494
1686182400000,2023-06-08 00:00:00,SOL/USD,18.611,19.116,18.253,18.952,284160.7739599477,14993.70905234
1686096000000,2023-06-07 00:00:00,SOL/USD,20.344,20.518,18.54,18.652,742478.41892746,39806.90644046
1686009600000,2023-06-06 00:00:00,SOL/USD,19.989,20.713,19.24,20.382,978687.7881963729,48017.25974862
1685923200000,2023-06-05 00:00:00,SOL/USD,21.843,22.055,19.22,20.0,1062314.3210612,53115.71605306
1685836800000,2023-06-04 00:00:00,SOL/USD,21.192,22.303,21.041,21.83,745923.561161655,34169.65465697
1685750400000,2023-06-03 00:00:00,SOL/USD,21.276,21.369,20.957,21.202,100298.71137212352,4730.62500576
1685664000000,2023-06-02 00:00:00,SOL/USD,20.493,21.38,20.31,21.259,238066.11270269135,11198.36834765
1685577600000,2023-06-01 00:00:00,SOL/USD,20.817,21.008,20.427,20.51,237353.95219763642,11572.59640164
1685491200000,2023-05-31 00:00:00,SOL/USD,21.292,21.345,20.39,20.827,287955.0365481027,13826.04487195
1685404800000,2023-05-30 00:00:00,SOL/USD,20.609,21.439,20.5,21.285,648885.1857815795,30485.56193477
1685318400000,2023-05-29 00:00:00,SOL/USD,20.852,20.995,20.28,20.612,223513.12751654306,10843.83502409
1685232000000,2023-05-28 00:00:00,SOL/USD,20.401,21.217,20.32,20.813,457625.3159235143,21987.47493987
1685145600000,2023-05-27 00:00:00,SOL/USD,19.367,20.546,19.349,20.443,213052.07011819602,10421.76148893
1685059200000,2023-05-26 00:00:00,SOL/USD,19.267,19.563,19.11,19.38,154457.7311095218,7969.95516561
1684972800000,2023-05-25 00:00:00,SOL/USD,19.275,19.613,18.809,19.279,514521.5466929356,26688.1864564
1684886400000,2023-05-24 00:00:00,SOL/USD,20.034,20.079,18.702,19.217,453195.87745668524,23583.07110666
1684800000000,2023-05-23 00:00:00,SOL/USD,19.53,20.206,19.446,20.063,227227.10698732137,11325.67945907
1684713600000,2023-05-22 00:00:00,SOL/USD,19.65,20.039,19.307,19.55,366522.9289941665,18747.97590763
1684627200000,2023-05-21 00:00:00,SOL/USD,20.292,20.39,19.367,19.602,341381.27649415284,17415.63496042
1684540800000,2023-05-20 00:00:00,SOL/USD,20.34,20.362,20.107,20.291,141843.32329496325,6990.45504386
1684454400000,2023-05-19 00:00:00,SOL/USD,20.356,20.625,20.237,20.37,72513.9380278467,3559.83986391
1684368000000,2023-05-18 00:00:00,SOL/USD,21.1,21.1,20.13,20.341,469443.1577487452,23078.66662154
1684281600000,2023-05-17 00:00:00,SOL/USD,20.689,21.223,20.442,21.069,275031.0077232858,13053.82351907
