https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1633219200000,2021-10-03 00:00:00,BNB/USDT,428.87604277,436.56649896,422,430.71251147,110260.38978086,256.37452979,0,0,0,430.07544419
1633132800000,2021-10-02 00:00:00,BNB/USDT,418.58445456,438,411.7723253,428.10020662,409692.5503533,955.70586457,0,0,0,428.68058629
1633046400000,2021-10-01 00:00:00,BNB/USDT,388.58380685,423.12370142,381.99292291,421.31339451,397782.52982698,984.05005675,0,0,0,404.22997498
1632960000000,2021-09-30 00:00:00,BNB/USDT,367.77622047,388.52911526,366.93255725,387.13853605,399655.19025009,1048.45172795,0,0,0,381.18606665
1632873600000,2021-09-29 00:00:00,BNB/USDT,333.27051601,374.54837679,331.92605116,367.67379576,496197.59160433,1391.55730272,0,0,0,356.57718919
1632787200000,2021-09-28 00:00:00,BNB/USDT,335.36157451,344,330.19362788,333.11934596,385602.22995299,1143.48399585,0,0,0,337.21698891
1632700800000,2021-09-27 00:00:00,BNB/USDT,342.50947384,357.19315073,335.5,335.5,264035.93501877,767.06671316,0,0,0,344.21508649
1632614400000,2021-09-26 00:00:00,BNB/USDT,350.52375142,351.79186408,320.31436071,340.72947384,491032.317103,1467.78694842,0,0,0,334.53923107
1632528000000,2021-09-25 00:00:00,BNB/USDT,353.90892057,360.22219401,343.8846129,350.61811527,231709.07989574,657.74646395,0,0,0,352.27719584
1632441600000,2021-09-24 00:00:00,BNB/USDT,384.13155513,384.6,332.21844989,354.88648219,608156.29117222,1703.63374608,0,0,0,356.97595951
1632355200000,2021-09-23 00:00:00,BNB/USDT,378.0263386,383.78692991,369.70420085,383.78692991,199604.22286034,528.5415884,0,0,0,377.65093086
1632268800000,2021-09-22 00:00:00,BNB/USDT,344.63558277,379.70663137,342.98283773,379,358604.30359964,984.39090121,0,0,0,364.29055079
1632182400000,2021-09-21 00:00:00,BNB/USDT,359.7276715,375.2,337.56740131,343.11465771,927077.49435162,2588.17566537,0,0,0,358.19728419
1632096000000,2021-09-20 00:00:00,BNB/USDT,407.54057518,407.6600741,354.36716893,363.65698054,1193881.64375982,3199.23065844,0,0,0,373.17773278
1632009600000,2021-09-19 00:00:00,BNB/USDT,410.68004205,418.84384424,403.06424744,408.01386842,140468.80994357,342.95237758,0,0,0,409.58692555
1631923200000,2021-09-18 00:00:00,BNB/USDT,405,419.36833601,402,410.7016915,89072.79579765,216.02298805,0,0,0,412.3301719
1631836800000,2021-09-17 00:00:00,BNB/USDT,424.09452403,425.53084305,401.70953818,404.27922351,102125.48429982,246.87475774,0,0,0,413.67325373
1631750400000,2021-09-16 00:00:00,BNB/USDT,430.88172922,432.92969999,416.29890167,423.43428027,245512.21379435,577.60421831,0,0,0,425.05266757
1631664000000,2021-09-15 00:00:00,BNB/USDT,414.39999999,436.063,410.99060617,430.18098513,117841.36570091,276.04385624,0,0,0,426.89363677
1631577600000,2021-09-14 00:00:00,BNB/USDT,398.51372962,413.48217839,396.60322,413.32347222,320207.31763017,787.75457583,0,0,0,406.48106333
1631491200000,2021-09-13 00:00:00,BNB/USDT,415.37435326,419.10943742,386,398.62601395,422520.86440896,1062.62867414,0,0,0,397.61854229
1631404800000,2021-09-12 00:00:00,BNB/USDT,405.20555451,421,397.88726236,416.71537509,162439.82586317,395.80607651,0,0,0,410.40255696
1631318400000,2021-09-11 00:00:00,BNB/USDT,402.04051395,414.66286833,400.27517419,404.20348604,172815.66902962,425.92100805,0,0,0,405.74582085
1631232000000,2021-09-10 00:00:00,BNB/USDT,423.15128614,439.00704393,394,401.56409241,396346.51433775,962.55320194,0,0,0,411.76582607
1631145600000,2021-09-09 00:00:00,BNB/USDT,416.29162615,435.84578487,404.08724852,421.79325781,346102.99985372,828.68133033,0,0,0,417.65511926
1631059200000,2021-09-08 00:00:00,BNB/USDT,419.39917753,424.8,383.34774392,413.6070166,489036.67606785,1199.42453759,0,0,0,407.72608925
1630972800000,2021-09-07 00:00:00,BNB/USDT,495.97993263,504.2746,373.17776744,416.80371508,1485803.0453495,3457.07889859,0,0,0,429.7856916
1630886400000,2021-09-06 00:00:00,BNB/USDT,505,508.1919272,488.18960467,495.74182367,467174.94893162,935.20217522,0,0,0,499.54433523
1630800000000,2021-09-05 00:00:00,BNB/USDT,497.33413759,504.45900608,489.20324949,502.92874533,351686.04353298,703.97515568,0,0,0,499.5716691
1630713600000,2021-09-04 00:00:00,BNB/USDT,488.57926084,509.85189823,485.66526923,498.49670111,344155.01907425,693.78913031,0,0,0,496.05132746
1630627200000,2021-09-03 00:00:00,BNB/USDT,484.1789298,494.15219027,473.90114421,487.08400337,466312.90002525,955.15028528,0,0,0,488.20893131
