https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1695859200000,2023-09-28 00:00:00,XRP/USDT,0.4993,0.5099,0.4953,0.5097,3157118.4848,6276249.5186,1538357.2224,3059389.5198,63072,0.503
1695772800000,2023-09-27 00:00:00,XRP/USDT,0.5015,0.5072,0.4969,0.4993,2496950.9288,4975383.9749,1267226.8168,2525120.3665,49667,0.5018
1695686400000,2023-09-26 00:00:00,XRP/USDT,0.5055,0.5073,0.4967,0.5019,2145892.6754,4271366.3792,1021713.5423,2033592.93,38599,0.5023
1695600000000,2023-09-25 00:00:00,XRP/USDT,0.5014,0.5067,0.4915,0.5056,2240436.5582,4480853.3599,1158911.1813,2315820.8125,45735,0.5
1695513600000,2023-09-24 00:00:00,XRP/USDT,0.5073,0.5115,0.499,0.5021,1241977.5587,2444163.9784,613716.7671,1207391.0785,19491,0.5081
1695427200000,2023-09-23 00:00:00,XRP/USDT,0.5124,0.5139,0.5055,0.5075,1391166.7558,2723624.8402,688847.965,1348458.4528,25506,0.5107
1695340800000,2023-09-22 00:00:00,XRP/USDT,0.507,0.5166,0.5039,0.512,2131534.0348,4171386.5042,1042287.059,2039467.9248,38853,0.5109
1695254400000,2023-09-21 00:00:00,XRP/USDT,0.5212,0.5213,0.5006,0.5071,2498303.83,4905096.6313,1243904.9255,2441320.7421,47497,0.5093
1695168000000,2023-09-20 00:00:00,XRP/USDT,0.514,0.525,0.5075,0.5212,2477533.316,4797413.4633,1309220.5359,2534615.3865,46119,0.5164
1695081600000,2023-09-19 00:00:00,XRP/USDT,0.5026,0.5162,0.5008,0.5139,2445340.021,4800826.3446,1328761.788,2608455.7723,44829,0.5093
1694995200000,2023-09-18 00:00:00,XRP/USDT,0.4928,0.5072,0.488,0.503,2320332.196,4648430.0597,1209591.2564,2424024.8573,34824,0.4992
1694908800000,2023-09-17 00:00:00,XRP/USDT,0.4997,0.5003,0.4906,0.4928,2051234.4953,4138712.5909,1053830.5929,2124410.7071,20929,0.4956
1694822400000,2023-09-16 00:00:00,XRP/USDT,0.5001,0.5033,0.4976,0.4997,2634677.4667,5266973.4962,1094153.1929,2186771.2475,36348,0.5002
1694736000000,2023-09-15 00:00:00,XRP/USDT,0.489,0.5078,0.488,0.5001,2603832.8274,5251273.5525,1440680.3285,2902870.6328,33192,0.4958
1694649600000,2023-09-14 00:00:00,XRP/USDT,0.4828,0.4933,0.4801,0.4891,2216538.3943,4565470.8638,1196813.8541,2464964.9146,42259,0.4855
1694563200000,2023-09-13 00:00:00,XRP/USDT,0.4802,0.4891,0.4731,0.4832,2087149.0843,4344941.5785,1113841.6944,2319118.6013,39345,0.4803
1694476800000,2023-09-12 00:00:00,XRP/USDT,0.4742,0.4855,0.4701,0.4803,3257779.3523,6810731.3019,1633938.6258,3418274.216,51135,0.4783
1694390400000,2023-09-11 00:00:00,XRP/USDT,0.4969,0.498,0.462,0.4744,3298755.6036,6880949.4574,1715641.6826,3583725.07,42323,0.4796
1694304000000,2023-09-10 00:00:00,XRP/USDT,0.5038,0.5039,0.4928,0.4969,2648120.5339,5304413.0655,1502724.9483,3010474.0537,28522,0.4992
1694217600000,2023-09-09 00:00:00,XRP/USDT,0.5049,0.5049,0.5015,0.5039,3442914.2483,6840825.8909,1789638.0333,3555984.6987,53342,0.5032
1694131200000,2023-09-08 00:00:00,XRP/USDT,0.5051,0.507,0.4947,0.5049,4712206.5782,9364021.9571,2663694.7748,5291972.1414,79410,0.5032
1694044800000,2023-09-07 00:00:00,XRP/USDT,0.5032,0.5064,0.4964,0.505,4090400.7531,8162157.3839,2093576.1618,4178271.0091,73529,0.5011
