https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume NEAR
1659916800000,2022-08-08 00:00:00,NEAR/USDT,4.9804,5.7074,4.9804,5.4901,3539.724214636302,644.74676502
1659830400000,2022-08-07 00:00:00,NEAR/USDT,4.9021,5.183,4.8149,4.9857,1938.9868344267359,388.90964848
1659744000000,2022-08-06 00:00:00,NEAR/USDT,5.1986,5.1986,4.9,4.9073,2144.440813777815,436.98995655
1659657600000,2022-08-05 00:00:00,NEAR/USDT,4.4286,5.2499,4.4003,5.1944,6686.288774767039,1287.2109916
1659571200000,2022-08-04 00:00:00,NEAR/USDT,4.4989,4.7153,4.3216,4.4203,1968.91983119884,445.4267428
1659484800000,2022-08-03 00:00:00,NEAR/USDT,4.3205,4.6601,4.16,4.5152,2026.026840921728,448.71253564
1659398400000,2022-08-02 00:00:00,NEAR/USDT,4.2767,4.4565,4.0374,4.3146,4106.8022791437725,951.83847382
1659312000000,2022-08-01 00:00:00,NEAR/USDT,4.2236,4.437,4.1281,4.2785,6617.020853450385,1546.57493361
1659225600000,2022-07-31 00:00:00,NEAR/USDT,4.355,4.5862,4.2174,4.2374,4464.207586587638,1053.52517737
1659139200000,2022-07-30 00:00:00,NEAR/USDT,4.3729,4.6784,4.3003,4.3503,3088.293573134004,709.90358668
1659052800000,2022-07-29 00:00:00,NEAR/USDT,4.3777,4.5736,4.1883,4.3522,4219.39196612849,969.48485045
1658966400000,2022-07-28 00:00:00,NEAR/USDT,4.1506,4.4573,4.0433,4.3714,4124.726069277308,943.57095422
1658880000000,2022-07-27 00:00:00,NEAR/USDT,3.7574,4.1537,3.6405,4.1537,9975.578525862835,2401.61266482
1658793600000,2022-07-26 00:00:00,NEAR/USDT,3.7836,3.8212,3.5754,3.7558,4024.016422106502,1071.41392569
1658707200000,2022-07-25 00:00:00,NEAR/USDT,4.3523,4.381,3.7937,3.7939,2969.54550169486,782.7158074
1658620800000,2022-07-24 00:00:00,NEAR/USDT,4.3108,4.4908,4.2558,4.3489,4576.240041602174,1052.27529757
1658534400000,2022-07-23 00:00:00,NEAR/USDT,4.3253,4.4714,4.144,4.3144,2575.02992017192,596.8454293
1658448000000,2022-07-22 00:00:00,NEAR/USDT,4.3849,4.7518,4.2882,4.3195,2345.67443175443,543.04304474
1658361600000,2022-07-21 00:00:00,NEAR/USDT,4.1859,4.4914,4.0159,4.3757,2295.296523993648,524.55527664
1658275200000,2022-07-20 00:00:00,NEAR/USDT,4.5391,4.6267,4.146,4.1872,3855.621797358896,920.81147243
1658188800000,2022-07-19 00:00:00,NEAR/USDT,4.0582,4.6579,3.9237,4.5445,10255.893717621206,2256.77053969
1658102400000,2022-07-18 00:00:00,NEAR/USDT,3.5228,4.1077,3.5173,4.0954,15271.481692900674,3728.93531594
1658016000000,2022-07-17 00:00:00,NEAR/USDT,3.6463,3.7615,3.5128,3.5182,8262.038069119046,2348.37077742
1657929600000,2022-07-16 00:00:00,NEAR/USDT,3.503,3.681,3.3753,3.6435,15624.98681676072,4288.45528112
1657843200000,2022-07-15 00:00:00,NEAR/USDT,3.4922,3.6264,3.4369,3.4968,3187.611946957416,911.57971487
1657756800000,2022-07-14 00:00:00,NEAR/USDT,3.3402,3.5281,3.2292,3.4806,2306.859482080788,662.77638398
1657670400000,2022-07-13 00:00:00,NEAR/USDT,3.1876,3.3403,3.049,3.3403,3793.4044897056756,1135.64784292
1657584000000,2022-07-12 00:00:00,NEAR/USDT,3.22,3.3859,3.1791,3.1845,6453.35309981076,2026.48864808
1657497600000,2022-07-11 00:00:00,NEAR/USDT,3.5252,3.6575,3.2161,3.2252,3071.027594668748,952.19756749
1657411200000,2022-07-10 00:00:00,NEAR/USDT,3.7977,3.8213,3.5036,3.5246,2748.118289398376,779.69650156
1657324800000,2022-07-09 00:00:00,NEAR/USDT,3.598,3.8691,3.4561,3.7984,5354.242016122656,1409.60457459
1657238400000,2022-07-08 00:00:00,NEAR/USDT,3.7106,3.8272,3.4962,3.5884,5395.148401948724,1503.49693511
1657152000000,2022-07-07 00:00:00,NEAR/USDT,3.5024,3.7721,3.3723,3.7032,5181.667418044656,1399.24049958
1657065600000,2022-07-06 00:00:00,NEAR/USDT,3.3939,3.544,3.3168,3.5019,2497.9398692622663,713.30988014
1656979200000,2022-07-05 00:00:00,NEAR/USDT,3.4901,3.6603,3.2664,3.3943,2406.349430034095,708.93834665
1656892800000,2022-07-04 00:00:00,NEAR/USDT,3.3206,3.5569,3.2162,3.5286,1721.647860731202,487.91244707
1656806400000,2022-07-03 00:00:00,NEAR/USDT,3.3075,3.3481,3.2049,3.3232,2635.844669703552,793.16462136
1656720000000,2022-07-02 00:00:00,NEAR/USDT,3.3354,3.5742,3.2205,3.3134,1113.187111340422,335.96520533
1656633600000,2022-07-01 00:00:00,NEAR/USDT,3.3197,3.5218,3.2387,3.349,1471.08640914231,439.26139419
1656547200000,2022-06-30 00:00:00,NEAR/USDT,3.4532,3.4532,3.1573,3.3613,1702.662378651446,506.54876942
1656460800000,2022-06-29 00:00:00,NEAR/USDT,3.4131,3.5677,3.3455,3.4075,1283.7396587012001,376.73944496
1656374400000,2022-06-28 00:00:00,NEAR/USDT,3.7677,3.7748,3.7,3.7306,7.610424,2.04
1656288000000,2022-06-27 00:00:00,NEAR/USDT,3.7954,3.9936,3.6981,3.7949,2749.286634243992,724.46879608
1656201600000,2022-06-26 00:00:00,NEAR/USDT,4.1633,4.3162,3.7735,3.7907,978.62848662009,258.1656387
1656115200000,2022-06-25 00:00:00,NEAR/USDT,3.9895,4.3881,3.9531,4.162,4953.75337472294,1190.23387187
1656028800000,2022-06-24 00:00:00,NEAR/USDT,3.5701,4.0787,3.5632,3.9839,2805.6473347884844,704.24642556
1655942400000,2022-06-23 00:00:00,NEAR/USDT,3.402,3.76,3.3642,3.5549,1991.2477752237592,560.14171291
1655856000000,2022-06-22 00:00:00,NEAR/USDT,3.514,3.514,3.2639,3.285,769.71651102405,234.31248433
