https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TRX
1599436800,2020-09-07 00:00:00,TRX/USD,0.03231,0.0325,0.0286,0.0323,41801.03,1365673.78
1599350400,2020-09-06 00:00:00,TRX/USD,0.03,0.03252,0.02802,0.03231,40290.53,1323243.74
1599264000,2020-09-05 00:00:00,TRX/USD,0.0356,0.0366,0.0279,0.03,59700.81,1834797.86
1599177600,2020-09-04 00:00:00,TRX/USD,0.03953,0.04441,0.03179,0.0356,164903.19,4304616.41
1599091200,2020-09-03 00:00:00,TRX/USD,0.0348,0.0485,0.03435,0.03953,183128.96,4443158.81
1599004800,2020-09-02 00:00:00,TRX/USD,0.0345,0.037,0.03103,0.0348,89761.23,2623593.1
1598918400,2020-09-01 00:00:00,TRX/USD,0.0293,0.035,0.0282,0.0345,59746.1,1911405.06
1598832000,2020-08-31 00:00:00,TRX/USD,0.02688,0.02978,0.0257,0.0293,60292.3,2232245.21
1598745600,2020-08-30 00:00:00,TRX/USD,0.02509,0.028,0.02474,0.02688,44630.18,1690040.28
1598659200,2020-08-29 00:00:00,TRX/USD,0.02382,0.0252,0.02368,0.02509,49130.76,2004447.93
1598572800,2020-08-28 00:00:00,TRX/USD,0.02303,0.0243,0.02273,0.02382,45755.1,1931823.96
1598486400,2020-08-27 00:00:00,TRX/USD,0.02376,0.02448,0.02219,0.02303,45448.31,1946161.21
1598400000,2020-08-26 00:00:00,TRX/USD,0.0231,0.02397,0.02269,0.02376,47366.43,2022520.17
1598313600,2020-08-25 00:00:00,TRX/USD,0.02506,0.02544,0.02236,0.0231,51166.69,2135014.72
1598227200,2020-08-24 00:00:00,TRX/USD,0.02426,0.02575,0.02391,0.02506,37756.47,1517622.54
1598140800,2020-08-23 00:00:00,TRX/USD,0.02517,0.02537,0.02375,0.02426,57025.18,2340028.31
1598054400,2020-08-22 00:00:00,TRX/USD,0.02441,0.02554,0.02337,0.02517,58574.75,2390161.75
1597968000,2020-08-21 00:00:00,TRX/USD,0.02746,0.02769,0.0241,0.02441,76672.43,2906756.21
1597881600,2020-08-20 00:00:00,TRX/USD,0.0267,0.0277,0.02638,0.02746,59713.44,2194373.46
1597795200,2020-08-19 00:00:00,TRX/USD,0.02886,0.029,0.02562,0.0267,76667.3,2832084.66
1597708800,2020-08-18 00:00:00,TRX/USD,0.03006,0.03211,0.0281,0.02886,107983.52,3582425.99
1597622400,2020-08-17 00:00:00,TRX/USD,0.02825,0.0312,0.0267,0.03006,114477.28,3913514.02
1597536000,2020-08-16 00:00:00,TRX/USD,0.02518,0.02838,0.02412,0.02825,124302.22,4736334.78
1597449600,2020-08-15 00:00:00,TRX/USD,0.02489,0.0253,0.02356,0.02518,67547.2,2759832.35
1597363200,2020-08-14 00:00:00,TRX/USD,0.02232,0.02533,0.02224,0.02489,105218.71,4305864.95
1597276800,2020-08-13 00:00:00,TRX/USD,0.02028,0.02295,0.01963,0.02232,62541.76,2945008.53
1597190400,2020-08-12 00:00:00,TRX/USD,0.02014,0.0204,0.0191,0.02028,44133.43,2204502.43
1597104000,2020-08-11 00:00:00,TRX/USD,0.02152,0.02158,0.01936,0.02014,55354.92,2693721.07
1597017600,2020-08-10 00:00:00,TRX/USD,0.02043,0.02172,0.02035,0.02152,49566.71,2343202.56
1596931200,2020-08-09 00:00:00,TRX/USD,0.02035,0.02063,0.02008,0.02043,41249.85,2024716.0
1596844800,2020-08-08 00:00:00,TRX/USD,0.0199,0.02053,0.01974,0.02035,43510.1,2156216.94
1596758400,2020-08-07 00:00:00,TRX/USD,0.0203,0.02099,0.01907,0.0199,46207.88,2280369.6
1596672000,2020-08-06 00:00:00,TRX/USD,0.02029,0.0205,0.01987,0.0203,41037.86,2027932.19
1596585600,2020-08-05 00:00:00,TRX/USD,0.02031,0.0207,0.02011,0.02029,46131.04,2267913.62
1596499200,2020-08-04 00:00:00,TRX/USD,0.01993,0.0207,0.0198,0.02031,45728.84,2258181.07
1596412800,2020-08-03 00:00:00,TRX/USD,0.01902,0.0201,0.0189,0.01993,45756.34,2330749.4
1596326400,2020-08-02 00:00:00,TRX/USD,0.02055,0.02133,0.01844,0.01902,49555.66,2538713.85
1596240000,2020-08-01 00:00:00,TRX/USD,0.0196,0.02074,0.01941,0.02055,46286.09,2313194.06
1596153600,2020-07-31 00:00:00,TRX/USD,0.01913,0.01976,0.019,0.0196,44043.95,2276143.41
1596067200,2020-07-30 00:00:00,TRX/USD,0.0192,0.01943,0.01877,0.01913,42330.74,2219227.42
1595980800,2020-07-29 00:00:00,TRX/USD,0.01906,0.0198,0.01904,0.0192,47586.54,2443530.59
1595894400,2020-07-28 00:00:00,TRX/USD,0.01876,0.01956,0.01822,0.01906,45452.75,2409822.72
1595808000,2020-07-27 00:00:00,TRX/USD,0.01843,0.01909,0.01773,0.01876,51143.7,2756373.58
1595721600,2020-07-26 00:00:00,TRX/USD,0.01868,0.0193,0.0181,0.01843,47781.56,2557069.1
1595635200,2020-07-25 00:00:00,TRX/USD,0.01802,0.01868,0.01789,0.01868,40334.71,2201660.19
1595548800,2020-07-24 00:00:00,TRX/USD,0.01782,0.01824,0.01741,0.01802,38766.89,2172648.39
1595462400,2020-07-23 00:00:00,TRX/USD,0.0179,0.01806,0.0177,0.01782,39667.86,2222588.01
1595376000,2020-07-22 00:00:00,TRX/USD,0.01767,0.01799,0.0173,0.0179,36497.47,2078005.93
1595289600,2020-07-21 00:00:00,TRX/USD,0.01727,0.01775,0.01717,0.01767,35936.41,2050619.36
1595203200,2020-07-20 00:00:00,TRX/USD,0.01761,0.01764,0.017,0.01727,34698.77,1990490.12
1595116800,2020-07-19 00:00:00,TRX/USD,0.01748,0.01765,0.01727,0.01761,35714.06,2042646.31
1595030400,2020-07-18 00:00:00,TRX/USD,0.01734,0.01751,0.01708,0.01748,35623.49,2054032.61
1594944000,2020-07-17 00:00:00,TRX/USD,0.01723,0.01752,0.0171,0.01734,35142.24,2033618.32
