https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1694304000000,2023-09-10 00:00:00,GALA/USD,0.01603,0.01603,0.01438,0.01495,2828579.394005,42287.26194037475
1694217600000,2023-09-09 00:00:00,GALA/USD,0.01599,0.01622,0.01575,0.01603,715767.191889,11473.74808598067
1694131200000,2023-09-08 00:00:00,GALA/USD,0.01616,0.0163,0.01551,0.01599,1068401.710874,17083.743356875264
1694044800000,2023-09-07 00:00:00,GALA/USD,0.01586,0.01668,0.01551,0.01616,2156134.474994,34843.133115903045
1693958400000,2023-09-06 00:00:00,GALA/USD,0.01649,0.01654,0.01551,0.01586,1477705.61552,23436.4110621472
1693872000000,2023-09-05 00:00:00,GALA/USD,0.01589,0.01649,0.015,0.01649,3648267.770417,60159.93553417634
1693785600000,2023-09-04 00:00:00,GALA/USD,0.01641,0.01704,0.0155,0.01589,6401994.266203,101727.68888996568
1693699200000,2023-09-03 00:00:00,GALA/USD,0.01888,0.01901,0.01565,0.01641,6691469.291329,109807.0110707089
1693612800000,2023-09-02 00:00:00,GALA/USD,0.01884,0.01922,0.01805,0.01888,870249.967026,16430.31937745088
1693526400000,2023-09-01 00:00:00,GALA/USD,0.01887,0.0199,0.01821,0.01884,1338841.485163,25223.77358047092
1693440000000,2023-08-31 00:00:00,GALA/USD,0.01976,0.02035,0.01842,0.01887,6997823.711749,132048.93344070364
1693353600000,2023-08-30 00:00:00,GALA/USD,0.02043,0.02084,0.01959,0.01976,1936936.292163,38273.861133140876
1693267200000,2023-08-29 00:00:00,GALA/USD,0.01938,0.02089,0.01899,0.02043,953130.283868,19472.45169942324
1693180800000,2023-08-28 00:00:00,GALA/USD,0.0193,0.02069,0.0186,0.01938,954293.30129,18494.2041790002
1693094400000,2023-08-27 00:00:00,GALA/USD,0.01914,0.02,0.01908,0.0193,524299.988069,10118.9897697317
1693008000000,2023-08-26 00:00:00,GALA/USD,0.01954,0.01977,0.01891,0.01914,376743.526262,7210.871092654681
1692921600000,2023-08-25 00:00:00,GALA/USD,0.01976,0.02035,0.01896,0.01954,881201.862801,17218.68439913154
1692835200000,2023-08-24 00:00:00,GALA/USD,0.02001,0.02126,0.01942,0.01976,927917.838021,18335.65647929496
