https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1697760000000,2023-10-20 00:00:00,SOL/USDT,24.923,27.438,24.732,27.026,1822005.59,68760.470612,892721.31,33654.356331,21569,26.514
1697673600000,2023-10-19 00:00:00,SOL/USDT,23.391,25.636,23.159,24.937,1395289.65,57539.343735,698878.63,28737.049974,16544,24.265
1697587200000,2023-10-18 00:00:00,SOL/USDT,23.939,24.382,23.373,23.421,1495956.17,62706.831182,749473.29,31416.052061,17657,23.857
1697500800000,2023-10-17 00:00:00,SOL/USDT,23.977,24.529,23.557,23.944,2020634.97,84034.881162,1021682.92,42494.475326,24863,24.046
1697414400000,2023-10-16 00:00:00,SOL/USDT,21.929,24.706,21.878,23.948,1845709.26,79455.693434,923075.2,39757.108358,21877,23.246
1697328000000,2023-10-15 00:00:00,SOL/USDT,21.994,22.156,21.668,21.933,955299.68,43622.872094,479117.71,21881.871277,10170,21.899
1697241600000,2023-10-14 00:00:00,SOL/USDT,21.844,22.216,21.796,21.991,1110026.13,50457.626209,669319.91,30419.154807,11915,21.999
1697155200000,2023-10-13 00:00:00,SOL/USDT,21.287,22.198,21.11,21.849,1194934.22,55646.503088,694561.25,32338.591524,13905,21.476
1697068800000,2023-10-12 00:00:00,SOL/USDT,22.005,22.056,21,21.298,1388675.49,64726.505568,749575.83,34943.012238,15447,21.456
1696982400000,2023-10-11 00:00:00,SOL/USDT,22.113,22.425,21.624,22.004,1531495.76,69394.583626,822567.12,37257.446378,17382,22.07
1696896000000,2023-10-10 00:00:00,SOL/USDT,22.094,22.477,21.681,22.109,1791873.27,81066.746773,823667.02,37256.162997,21216,22.104
1696809600000,2023-10-09 00:00:00,SOL/USDT,23.226,23.374,21.7,22.095,2082180.72,92164.019822,1027816.08,45450.432711,26019,22.603
1696723200000,2023-10-08 00:00:00,SOL/USDT,23.298,23.631,23.066,23.234,2114772.16,90541.242682,1056230.11,45231.93874,25344,23.357
1696636800000,2023-10-07 00:00:00,SOL/USDT,23.405,24.146,23.075,23.299,2898192.72,123305.601777,1501639.14,63885.667155,37209,23.505
1696550400000,2023-10-06 00:00:00,SOL/USDT,22.69,23.745,22.667,23.41,3259668.33,140096.848433,1736421.05,74621.251584,42492,23.269
1696464000000,2023-10-05 00:00:00,SOL/USDT,23.121,23.752,22.584,22.686,3033885.9,131637.20112,1537433.78,66733.757654,39531,23.05
1696377600000,2023-10-04 00:00:00,SOL/USDT,23.61,23.825,22.627,23.153,3292604.8,142029.670129,1730329.05,74647.021876,43374,23.184
1696291200000,2023-10-03 00:00:00,SOL/USDT,23.402,24.704,23.234,23.6,4137643.02,173579.715267,2090578.54,87696.280716,55354,23.84
1696204800000,2023-10-02 00:00:00,SOL/USDT,23.874,24.673,22.916,23.375,2051607.19,85972.830069,1049550.9,43971.520617,25052,23.868
1696118400000,2023-10-01 00:00:00,SOL/USDT,21.366,24.418,21.127,23.857,1189660.01,53141.889359,609354.62,27228.976941,13053,22.424
1696032000000,2023-09-30 00:00:00,SOL/USDT,20.284,21.785,20.1,21.359,933399.09,45154.801756,468693.04,22648.307057,12364,20.684
1695945600000,2023-09-29 00:00:00,SOL/USDT,19.957,20.429,19.837,20.279,1588289.02,78712.697128,843379.5,41802.698198,20498,20.178
1695859200000,2023-09-28 00:00:00,SOL/USDT,19.136,19.983,19.097,19.96,1584619.91,81691.220825,799813.77,41243.063597,20705,19.4
1695772800000,2023-09-27 00:00:00,SOL/USDT,19.008,19.472,18.747,19.141,1227759.73,64507.215873,625856.27,32883.226058,15385,19.033
1695686400000,2023-09-26 00:00:00,SOL/USDT,19.401,19.525,18.867,19.018,1027147.34,53304.651011,548259.36,28447.197604,12204,19.27
1695600000000,2023-09-25 00:00:00,SOL/USDT,19.326,19.698,19.12,19.401,1089588.94,55930.205338,558297.62,28657.774475,13817,19.481
1695513600000,2023-09-24 00:00:00,SOL/USDT,19.502,19.674,19.21,19.361,512552.01,26241.811497,257955.5,13210.94129,5964,19.532
1695427200000,2023-09-23 00:00:00,SOL/USDT,19.432,19.585,19.286,19.484,641711.59,33010.161468,292937.13,15070.035785,7511,19.439
1695340800000,2023-09-22 00:00:00,SOL/USDT,19.436,19.784,19.16,19.431,914703.18,46789.884112,519220.88,26553.704929,11144,19.55
1695254400000,2023-09-21 00:00:00,SOL/USDT,20.3,20.3,19.314,19.458,1069830.28,54229.191933,562521.27,28513.706913,13623,19.73
1695168000000,2023-09-20 00:00:00,SOL/USDT,20.046,20.516,19.813,20.299,1039191.88,51719.541747,530992.56,26429.214007,13019,20.093
1695081600000,2023-09-19 00:00:00,SOL/USDT,19.647,20.376,19.581,20.03,1135027.49,56892.354984,589876.45,29565.044289,13917,19.951
1694995200000,2023-09-18 00:00:00,SOL/USDT,18.813,20.108,18.569,19.639,1127423.78,57852.496336,634412.78,32564.984429,12906,19.495
1694908800000,2023-09-17 00:00:00,SOL/USDT,19.13,19.136,18.663,18.82,966476.1,51019.454136,479382.66,25331.567982,9474,18.943
1694822400000,2023-09-16 00:00:00,SOL/USDT,19.138,19.441,18.874,19.13,1250886.46,65417.184381,686344.81,35908.85167,12870,19.122
1694736000000,2023-09-15 00:00:00,SOL/USDT,18.848,19.433,18.563,19.138,1122062.72,59199.296315,498360.2,26241.181364,12419,18.955
1694649600000,2023-09-14 00:00:00,SOL/USDT,18.423,19.276,18.391,18.839,1178438,62454.578314,579482.25,30706.792029,15323,18.869
1694563200000,2023-09-13 00:00:00,SOL/USDT,17.92,18.528,17.716,18.403,1395880.87,76995.527347,696328.95,38398.461618,18617,18.131
1694476800000,2023-09-12 00:00:00,SOL/USDT,17.731,18.718,17.567,17.929,1757258.18,97568.054275,895103.67,49677.553892,25328,18.012
1694390400000,2023-09-11 00:00:00,SOL/USDT,18.232,18.456,17.391,17.741,1492317.37,83639.7365,792475.55,44405.449753,21524,17.846
1694304000000,2023-09-10 00:00:00,SOL/USDT,19.436,19.436,17.855,18.234,1023549.4,55512.366757,487288.26,26440.527984,14994,18.445
1694217600000,2023-09-09 00:00:00,SOL/USDT,19.605,19.608,19.387,19.435,1226719.83,62844.666055,615535.05,31533.103711,17940,19.519
1694131200000,2023-09-08 00:00:00,SOL/USDT,19.919,20.253,19.359,19.605,2276760.14,115579.762286,1159110.29,58840.696896,32553,19.7
1694044800000,2023-09-07 00:00:00,SOL/USDT,19.629,20.002,19.33,19.918,2221973.26,113273.053363,1124459.32,57324.311913,31396,19.617
1693958400000,2023-09-06 00:00:00,SOL/USDT,20.26,20.378,19.175,19.637,2043896.6,103459.830373,1020006.98,51643.619466,29326,19.759
1693872000000,2023-09-05 00:00:00,SOL/USDT,19.526,20.574,19.033,20.26,2303650.25,116731.437733,1178990.63,59695.336063,32847,19.745
1693785600000,2023-09-04 00:00:00,SOL/USDT,19.578,20.021,19.176,19.521,4778347.82,243690.141262,2469642.88,125959.974159,67283,19.609
1693699200000,2023-09-03 00:00:00,SOL/USDT,19.496,19.676,19.237,19.565,6889614.95,353823.405278,3593981.62,184573.358279,97537,19.472
1693612800000,2023-09-02 00:00:00,SOL/USDT,19.32,19.693,19.156,19.492,6313155.5,323950.877876,3238174.05,166173.752202,88018,19.488
1693526400000,2023-09-01 00:00:00,SOL/USDT,19.742,19.941,19.078,19.322,6427708.48,326994.77875,3330896.85,169450.636517,90670,19.66
1693440000000,2023-08-31 00:00:00,SOL/USDT,20.802,21.038,19.49,19.75,9805264.93,480509.357056,5081962.05,249030.225432,137371,20.415
1693353600000,2023-08-30 00:00:00,SOL/USDT,21.789,21.98,20.607,20.82,10774698.82,508176.742846,5670084.7,267435.159907,152231,21.209
1693267200000,2023-08-29 00:00:00,SOL/USDT,20.592,21.99,20.113,21.781,5229703.45,251415.148415,2741519.59,131758.27216,74887,20.818
1693180800000,2023-08-28 00:00:00,SOL/USDT,20.784,20.786,20.061,20.571,6566384.02,320587.884518,3340764.71,163094.484093,94253,20.483
1693094400000,2023-08-27 00:00:00,SOL/USDT,20.266,20.922,20.234,20.788,9542198.87,464017.374677,4916925.21,239117.878684,135118,20.566
1693008000000,2023-08-26 00:00:00,SOL/USDT,20.397,20.434,20.193,20.282,9907107.47,487831.617045,5183683.3,255240.716428,134465,20.308
1692921600000,2023-08-25 00:00:00,SOL/USDT,21.049,21.051,20.108,20.416,10823394.16,526429.805269,5711789.19,277778.359999,141789,20.562
1692835200000,2023-08-24 00:00:00,SOL/USDT,21.776,21.999,20.688,21.06,10844353.88,505843.512704,5610384.17,261712.565641,146458,21.444
1692748800000,2023-08-23 00:00:00,SOL/USDT,20.574,21.815,20.342,21.741,11330393.53,541146.133794,5887826.95,281243.253251,142843,20.944
1692662400000,2023-08-22 00:00:00,SOL/USDT,21.225,21.284,19.378,20.582,11933592.4,574339.149002,6108206.3,293959.364672,146951,20.785
1692576000000,2023-08-21 00:00:00,SOL/USDT,21.781,21.787,18.757,21.227,10996865.2,516142.607444,5776264.67,271051.627286,146738,21.308
1692489600000,2023-08-20 00:00:00,SOL/USDT,21.892,22.037,21.593,21.786,20176314.56,924848.392381,11376589.02,521480.428889,278166,21.816
1692403200000,2023-08-19 00:00:00,SOL/USDT,21.347,22.176,21.294,21.908,13075873.34,600471.634959,7150869.6,328324.900581,204775,21.777
1692316800000,2023-08-18 00:00:00,SOL/USDT,21.657,22.197,21.004,21.347,5790239.82,266756.556146,3023573.22,139302.000048,146826,21.709
1692230400000,2023-08-17 00:00:00,SOL/USDT,22.796,23.436,20.1,21.675,6529913.27,284430.103736,3393880.02,147740.428289,136294,22.97
1692144000000,2023-08-16 00:00:00,SOL/USDT,23.885,24.027,22.424,22.808,4931751.06,210983.517536,2613948.13,111835.84709,98906,23.38
1692057600000,2023-08-15 00:00:00,SOL/USDT,25.205,25.331,23.753,23.94,6335868.03,255893.965167,3311865.54,133773.176822,106113,24.765
1691971200000,2023-08-14 00:00:00,SOL/USDT,24.223,25.317,24.064,25.185,9289285.99,378081.283268,4940604.91,201084.518975,113673,24.572
1691884800000,2023-08-13 00:00:00,SOL/USDT,24.935,24.955,24.213,24.227,12770380.29,517969.393446,6750828.98,273808.923636,100012,24.655
1691798400000,2023-08-12 00:00:00,SOL/USDT,24.643,25.23,24.397,24.907,12228909.34,496484.395115,6477730.26,262995.832702,99055,24.631
