https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USD
1689292800,2023-07-14,TRX/USD,0.081564,0.0834,0.078947,0.079673,108580.596121,8650.941834748432
1689206400,2023-07-13,TRX/USD,0.077977,0.082247,0.077977,0.081549,81631.217818,6656.944181840082
1689120000,2023-07-12,TRX/USD,0.077418,0.077904,0.077418,0.077885,7524.57276,586.0513494126
1689033600,2023-07-11,TRX/USD,0.077594,0.077594,0.077022,0.077315,13254.636852,1024.78224821238
1688947200,2023-07-10,TRX/USD,0.07752,0.077938,0.076349,0.077698,34262.645752,2662.139049638896
1688860800,2023-07-09,TRX/USD,0.079908,0.080253,0.077592,0.077609,26393.192142,2048.349248948478
1688774400,2023-07-08,TRX/USD,0.078725,0.079897,0.078725,0.079812,45888.909931,3662.485679412972
1688688000,2023-07-07,TRX/USD,0.077377,0.079313,0.077377,0.078637,20006.842293,1573.278057394641
1688601600,2023-07-06,TRX/USD,0.076958,0.078405,0.076958,0.07736,41414.51294,3203.8267210384
1688515200,2023-07-05,TRX/USD,0.077317,0.077838,0.076854,0.076941,21899.149333,1684.942448830353
1688428800,2023-07-04,TRX/USD,0.077448,0.078182,0.077221,0.077221,16777.701327,1295.590874172267
1688342400,2023-07-03,TRX/USD,0.075901,0.077791,0.075901,0.077448,34485.130866,2670.804415309968
1688256000,2023-07-02,TRX/USD,0.077057,0.07735,0.075415,0.075893,25049.523898,1901.083517190914
1688169600,2023-07-01,TRX/USD,0.076113,0.0776,0.076113,0.076961,24326.700249,1872.2071778632892
1688083200,2023-06-30,TRX/USD,0.074535,0.076563,0.074338,0.076097,55282.642893,4206.84327622862
1687996800,2023-06-29,TRX/USD,0.073713,0.074569,0.073713,0.074569,18570.483418,1384.782377996842
1687910400,2023-06-28,TRX/USD,0.07436,0.074693,0.07321,0.073628,41443.704342,3051.4170632927758
1687824000,2023-06-27,TRX/USD,0.073718,0.075301,0.073718,0.074459,25359.298623,1888.2280161699568
1687737600,2023-06-26,TRX/USD,0.073335,0.074471,0.07241,0.073711,66157.577432,4876.541190090153
1687651200,2023-06-25,TRX/USD,0.072298,0.073457,0.072298,0.073371,23154.782092,1698.8895168721322
1687564800,2023-06-24,TRX/USD,0.073118,0.073312,0.071958,0.072217,38363.090185,2770.467283890145
1687478400,2023-06-23,TRX/USD,0.072135,0.073501,0.071832,0.073034,53436.585628,3902.687594755352
1687392000,2023-06-22,TRX/USD,0.072475,0.074051,0.071722,0.072039,66444.674999,4786.607942252961
1687305600,2023-06-21,TRX/USD,0.070427,0.072491,0.070427,0.072491,56622.318497,4104.608490166027
1687219200,2023-06-20,TRX/USD,0.070049,0.070333,0.068542,0.070333,28937.787733,2035.2814246250894
1687132800,2023-06-19,TRX/USD,0.070115,0.070209,0.069929,0.07011,10703.404383,750.41568129213
1687046400,2023-06-18,TRX/USD,0.071583,0.071909,0.070043,0.070146,22289.382574,1563.511030035804
1686960000,2023-06-17,TRX/USD,0.070585,0.071534,0.070585,0.071534,19127.754373,1368.284781318182
1686873600,2023-06-16,TRX/USD,0.070922,0.071027,0.069624,0.07057,34030.562714,2401.5368107269796
1686787200,2023-06-15,TRX/USD,0.070866,0.071874,0.069881,0.070966,43148.657775,3062.08764766065
1686700800,2023-06-14,TRX/USD,0.071954,0.072846,0.070465,0.07085,76546.09358,5423.290730143
1686614400,2023-06-13,TRX/USD,0.071046,0.072549,0.071046,0.071859,55559.181092,3992.4271940900285
1686528000,2023-06-12,TRX/USD,0.070131,0.070951,0.069663,0.070951,31736.996464,2251.771636117264
1686441600,2023-06-11,TRX/USD,0.069599,0.070412,0.068559,0.070137,33281.417567,2334.258783896679
1686355200,2023-06-10,TRX/USD,0.071958,0.071958,0.065618,0.069545,190363.174441,13238.806966499345
1686268800,2023-06-09,TRX/USD,0.077651,0.078277,0.071713,0.07199,70918.909342,5105.45228353058
1686182400,2023-06-08,TRX/USD,0.07684,0.07784,0.07684,0.077685,9959.366395,773.693378395575
1686096000,2023-06-07,TRX/USD,0.078266,0.078838,0.0767,0.07676,37189.574747,2854.6717575797197
1686009600,2023-06-06,TRX/USD,0.078407,0.079094,0.077809,0.078162,26556.202216,2075.685877606992
1685923200,2023-06-05,TRX/USD,0.08155,0.081731,0.077049,0.078314,164287.375932,12866.001558738646
