https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USD
1647561600,2022-03-18,ATOM/USD,28.1284,28.7813,27.2006,28.7015,1203.29018,34536.23310127
1647475200,2022-03-17,ATOM/USD,28.8455,28.9639,28.1462,28.1684,723.093588,20368.389424219196
1647388800,2022-03-16,ATOM/USD,26.9384,28.9858,26.5939,28.9231,2782.486985,80478.1493158535
1647302400,2022-03-15,ATOM/USD,26.8427,27.65,26.2181,26.9028,1114.536165,29984.143539761997
1647216000,2022-03-14,ATOM/USD,26.2494,27.1439,25.8403,26.8119,750.057186,20110.458265313402
1647129600,2022-03-13,ATOM/USD,27.2031,27.4882,26.1294,26.3145,778.904906,20496.493148937
1647043200,2022-03-12,ATOM/USD,27.4829,28.2146,27.2391,27.2391,556.611388,15161.593258870802
1646956800,2022-03-11,ATOM/USD,27.9523,28.383,26.9807,27.4829,750.574444,20627.9623870076
1646870400,2022-03-10,ATOM/USD,30.0604,30.1744,27.5377,27.9755,1541.17888,43115.24975744
1646784000,2022-03-09,ATOM/USD,27.8348,31.267,27.8348,30.1471,2951.234191,88971.15227949609
1646697600,2022-03-08,ATOM/USD,28.3709,29.1429,27.4484,27.832,1854.095598,51603.188683536006
1646611200,2022-03-07,ATOM/USD,28.0906,29.4382,27.1983,28.4074,3832.006603,108857.34437406219
1646524800,2022-03-06,ATOM/USD,30.9181,30.9181,28.0,28.1602,1296.216372,36501.7122787944
1646438400,2022-03-05,ATOM/USD,30.4238,31.5836,29.5929,30.9307,1288.246897,39846.3782970379
1646352000,2022-03-04,ATOM/USD,34.0483,34.5643,30.3963,30.4641,4486.135862,136666.0915135542
1646265600,2022-03-03,ATOM/USD,32.1652,34.3595,31.0723,34.0934,4751.748408,162003.25917330722
1646179200,2022-03-02,ATOM/USD,31.0209,32.7345,29.9232,32.2042,4398.368648,141645.94361392158
1646092800,2022-03-01,ATOM/USD,31.3586,32.9401,30.1999,31.0833,8705.678921,270601.2296051193
1646006400,2022-02-28,ATOM/USD,26.6707,31.6226,26.4617,31.3725,3151.867861,98881.9744692225
1645920000,2022-02-27,ATOM/USD,29.8353,29.8353,26.4061,26.7424,2367.854609,63322.1150957216
1645833600,2022-02-26,ATOM/USD,27.2466,30.3655,27.2466,29.8086,3242.670911,96659.4801176346
