https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1697587200000,2023-10-18 00:00:00,DOT/USD,3.6701,3.724,3.6332,3.6568,38574.29320507179,10548.64723394
1697500800000,2023-10-17 00:00:00,DOT/USD,3.7802,3.7823,3.639,3.6701,75522.08737196308,20577.66474264
1697414400000,2023-10-16 00:00:00,DOT/USD,3.7524,3.9076,3.7415,3.7788,161779.68475423567,42812.44965445
1697328000000,2023-10-15 00:00:00,DOT/USD,3.7341,3.7777,3.7085,3.7559,75820.81560174968,20187.12308681
1697241600000,2023-10-14 00:00:00,DOT/USD,3.721,3.7626,3.721,3.7359,69979.96275545204,18731.7547995
1697155200000,2023-10-13 00:00:00,DOT/USD,3.6783,3.7725,3.6727,3.7208,88053.49185344142,23665.20421776
1697068800000,2023-10-12 00:00:00,DOT/USD,3.7369,3.7405,3.6223,3.678,85336.91297828687,23201.98830296
1696982400000,2023-10-11 00:00:00,DOT/USD,3.8152,3.8243,3.7009,3.7374,81045.04562132711,21684.87334011
1696896000000,2023-10-10 00:00:00,DOT/USD,3.8836,3.8989,3.7752,3.814,126854.74414350314,33260.28949751
1696809600000,2023-10-09 00:00:00,DOT/USD,4.0081,4.0311,3.7639,3.8811,344494.8117504466,88762.15808674
1696723200000,2023-10-08 00:00:00,DOT/USD,4.0553,4.0715,4.0023,4.0123,42355.59425712259,10556.43751891
1696636800000,2023-10-07 00:00:00,DOT/USD,4.0723,4.1122,4.0432,4.0553,57623.24656807334,14209.36714129
1696550400000,2023-10-06 00:00:00,DOT/USD,4.0298,4.0923,3.9935,4.0723,12079.349047396223,2966.22278501
1696464000000,2023-10-05 00:00:00,DOT/USD,4.0448,4.0818,4.0016,4.0244,29080.699374546683,7226.09566011
1696377600000,2023-10-04 00:00:00,DOT/USD,4.0708,4.0708,3.9506,4.045,172470.2335638818,42637.88221604
1696291200000,2023-10-03 00:00:00,DOT/USD,4.1252,4.1647,4.0534,4.0761,29425.413970833175,7219.01179334
1696204800000,2023-10-02 00:00:00,DOT/USD,4.2713,4.3046,4.0474,4.126,206908.4803401316,50147.47463406
1696118400000,2023-10-01 00:00:00,DOT/USD,4.1038,4.2916,4.1032,4.2705,346696.0382120327,81183.94525513
1696032000000,2023-09-30 00:00:00,DOT/USD,4.0863,4.1166,4.0758,4.1048,21137.249860784344,5149.39823153
1695945600000,2023-09-29 00:00:00,DOT/USD,4.0754,4.124,4.0543,4.08,61325.276464382405,15030.70501578
1695859200000,2023-09-28 00:00:00,DOT/USD,3.999,4.1007,3.9857,4.0787,58897.3976861673,14440.23774393
1695772800000,2023-09-27 00:00:00,DOT/USD,4.0144,4.0742,3.9703,3.9913,53015.30445641338,13282.71602145
1695686400000,2023-09-26 00:00:00,DOT/USD,4.0708,4.0904,3.9879,4.0181,9631.141703449082,2396.93927564
1695600000000,2023-09-25 00:00:00,DOT/USD,3.9919,4.0933,3.9537,4.0642,58325.8631769264,14351.13015524
1695513600000,2023-09-24 00:00:00,DOT/USD,4.0378,4.0645,3.9772,3.9971,29584.87848646323,7401.5857713
1695427200000,2023-09-23 00:00:00,DOT/USD,4.0254,4.0422,4.0081,4.0366,19812.487122614424,4908.21164411
1695340800000,2023-09-22 00:00:00,DOT/USD,4.0168,4.0404,3.9798,4.0257,31234.621133792345,7758.80496157
1695254400000,2023-09-21 00:00:00,DOT/USD,4.1465,4.167,4.0037,4.0166,66882.19391674966,16651.44498251
1695168000000,2023-09-20 00:00:00,DOT/USD,4.155,4.1714,4.0673,4.1403,46794.61286218472,11302.22758307
1695081600000,2023-09-19 00:00:00,DOT/USD,4.1077,4.1723,4.0804,4.1582,32324.22270795793,7773.60942426
1694995200000,2023-09-18 00:00:00,DOT/USD,4.0761,4.2238,4.0203,4.1101,40868.61864213073,9943.46089928
1694908800000,2023-09-17 00:00:00,DOT/USD,4.1922,4.1928,4.0468,4.0727,33235.20413174785,8160.48423202
1694822400000,2023-09-16 00:00:00,DOT/USD,4.1443,4.2298,4.1441,4.1871,20678.947734419336,4938.72793447
1694736000000,2023-09-15 00:00:00,DOT/USD,4.0624,4.1731,4.0563,4.1401,10549.778698659573,2548.19417373
1694649600000,2023-09-14 00:00:00,DOT/USD,4.0078,4.0869,3.9759,4.0575,46573.85623107398,11478.46117833
1694563200000,2023-09-13 00:00:00,DOT/USD,3.98,4.0856,3.9543,4.002,73175.70904537781,18284.78486891
1694476800000,2023-09-12 00:00:00,DOT/USD,3.9824,4.0874,3.9584,3.9832,39749.637787051615,9979.32260169
1694390400000,2023-09-11 00:00:00,DOT/USD,4.1546,4.1546,3.9173,3.9861,103307.0166637721,25916.81509841
1694304000000,2023-09-10 00:00:00,DOT/USD,4.2357,4.2357,4.1033,4.1518,52006.901183885115,12526.35030201
1694217600000,2023-09-09 00:00:00,DOT/USD,4.2451,4.2809,4.2399,4.2428,9834.053707948275,2317.82165267
1694131200000,2023-09-08 00:00:00,DOT/USD,4.296,4.3338,4.2093,4.2509,20952.071245062987,4928.85535888
1694044800000,2023-09-07 00:00:00,DOT/USD,4.2775,4.3107,4.2415,4.2946,42700.94162945298,9942.93802204
1693958400000,2023-09-06 00:00:00,DOT/USD,4.2574,4.281,4.175,4.2791,41597.36503360441,9721.05466888
1693872000000,2023-09-05 00:00:00,DOT/USD,4.2583,4.3042,4.1985,4.2571,49059.39441135731,11524.13483624
1693785600000,2023-09-04 00:00:00,DOT/USD,4.2633,4.3193,4.1884,4.252,60745.44917658076,14286.32388913
1693699200000,2023-09-03 00:00:00,DOT/USD,4.2658,4.3023,4.2294,4.2585,34552.90832137599,8113.86833894
1693612800000,2023-09-02 00:00:00,DOT/USD,4.2112,4.2743,4.2013,4.2605,10574.812806584696,2482.05910259
1693526400000,2023-09-01 00:00:00,DOT/USD,4.2719,4.2968,4.1355,4.2204,215207.12346681635,50992.11531296
1693440000000,2023-08-31 00:00:00,DOT/USD,4.5358,4.5358,4.2343,4.2704,67480.52229880106,15801.92073314
1693353600000,2023-08-30 00:00:00,DOT/USD,4.6829,4.6833,4.5137,4.5455,39079.66902450959,8597.44121098
1693267200000,2023-08-29 00:00:00,DOT/USD,4.6161,4.807,4.5444,4.6831,107655.76495282837,22988.14139199
1693180800000,2023-08-28 00:00:00,DOT/USD,4.4842,4.6224,4.4209,4.6113,130989.03102270814,28406.09611665
1693094400000,2023-08-27 00:00:00,DOT/USD,4.5124,4.5418,4.4665,4.5002,14419.648757901141,3204.22398069
1693008000000,2023-08-26 00:00:00,DOT/USD,4.4968,4.518,4.4799,4.5096,29296.638675304486,6496.50493953
1692921600000,2023-08-25 00:00:00,DOT/USD,4.4237,4.4928,4.3604,4.4899,48877.68552056503,10886.14123267
1692835200000,2023-08-24 00:00:00,DOT/USD,4.5005,4.5203,4.3784,4.4238,58700.24932248655,13269.19149204
1692748800000,2023-08-23 00:00:00,DOT/USD,4.4308,4.5407,4.3844,4.493,63587.54618804165,14152.58094548
1692662400000,2023-08-22 00:00:00,DOT/USD,4.433,4.4527,4.2487,4.4204,57786.56417157357,13072.70024694
1692576000000,2023-08-21 00:00:00,DOT/USD,4.5283,4.5332,4.3579,4.4315,31707.80020352933,7155.09425782
1692489600000,2023-08-20 00:00:00,DOT/USD,4.5227,4.5302,4.4679,4.522,22746.10682374898,5030.09881109
1692403200000,2023-08-19 00:00:00,DOT/USD,4.5149,4.5557,4.461,4.5189,20045.851206361895,4436.00239137
1692316800000,2023-08-18 00:00:00,DOT/USD,4.4276,4.5626,4.3718,4.5095,100221.7015382797,22224.5706926
1692230400000,2023-08-17 00:00:00,DOT/USD,4.6566,4.8155,4.2,4.4298,457013.55830211757,103167.9891422
1692144000000,2023-08-16 00:00:00,DOT/USD,4.8254,4.8391,4.5429,4.6748,88873.85106877926,19011.26274253
1692057600000,2023-08-15 00:00:00,DOT/USD,4.9877,4.9936,4.6286,4.8145,63541.462437154354,13197.93590968
1691971200000,2023-08-14 00:00:00,DOT/USD,4.9823,5.0569,4.9496,4.9922,12660.526978715025,2536.06165192
1691884800000,2023-08-13 00:00:00,DOT/USD,5.0411,5.0443,4.9703,4.988,36887.30419555164,7395.20934153
1691798400000,2023-08-12 00:00:00,DOT/USD,5.0064,5.0446,4.9997,5.0367,11990.259097736074,2380.57837428
1691712000000,2023-08-11 00:00:00,DOT/USD,5.0036,5.0205,4.9519,5.0104,24757.931565272636,4941.3083916
1691625600000,2023-08-10 00:00:00,DOT/USD,5.0613,5.0674,4.9808,5.0047,58402.260538030765,11669.48279378
1691539200000,2023-08-09 00:00:00,DOT/USD,5.0619,5.1124,5.0008,5.0622,43320.63797021189,8557.67017704
1691452800000,2023-08-08 00:00:00,DOT/USD,4.9665,5.0995,4.9379,5.0617,62329.62204912042,12313.97001978
1691366400000,2023-08-07 00:00:00,DOT/USD,5.0077,5.0467,4.8429,4.9653,42730.3022122641,8605.78458749
1691280000000,2023-08-06 00:00:00,DOT/USD,4.9663,5.0424,4.9612,5.0087,21635.060792995806,4319.49623515
1691193600000,2023-08-05 00:00:00,DOT/USD,4.986,4.9924,4.9305,4.9777,28400.683167296527,5705.58353603
1691107200000,2023-08-04 00:00:00,DOT/USD,4.9807,5.0453,4.9468,4.9964,26181.033842156645,5239.97955371
1691020800000,2023-08-03 00:00:00,DOT/USD,5.0585,5.0797,4.9414,4.9813,35826.5187366605,7192.202585
1690934400000,2023-08-02 00:00:00,DOT/USD,5.207,5.2191,5.0139,5.0636,79740.24188732561,15747.73716078
1690848000000,2023-08-01 00:00:00,DOT/USD,5.1142,5.2054,4.9566,5.2024,120042.30558657457,23074.4090394
1690761600000,2023-07-31 00:00:00,DOT/USD,5.1846,5.2627,5.0497,5.114,238869.04926972432,46708.84811688
1690675200000,2023-07-30 00:00:00,DOT/USD,5.2548,5.2808,5.1001,5.1951,46627.92636164841,8975.36647257
1690588800000,2023-07-29 00:00:00,DOT/USD,5.2202,5.2655,5.2156,5.2575,18338.735038694474,3488.10937493
1690502400000,2023-07-28 00:00:00,DOT/USD,5.2322,5.2811,5.1692,5.225,33000.3538914225,6315.8572041
1690416000000,2023-07-27 00:00:00,DOT/USD,5.2291,5.3433,5.1931,5.2391,50000.723430073405,9543.76198776
1690329600000,2023-07-26 00:00:00,DOT/USD,5.1904,5.3,5.1279,5.2454,30533.019779696344,5820.91352036
1690243200000,2023-07-25 00:00:00,DOT/USD,5.2145,5.2605,5.1406,5.1817,31546.882640975266,6088.1337478000005
1690156800000,2023-07-24 00:00:00,DOT/USD,5.3866,5.4094,5.1054,5.2194,48908.85653959899,9370.58982634
1690070400000,2023-07-23 00:00:00,DOT/USD,5.3006,5.4968,5.2901,5.3935,42825.74677418968,7940.25155728
1689984000000,2023-07-22 00:00:00,DOT/USD,5.4974,5.5188,5.2736,5.3164,26177.570738337552,4923.92798479
1689897600000,2023-07-21 00:00:00,DOT/USD,5.3573,5.7096,5.3572,5.4868,77107.55743433749,14053.28377822
1689811200000,2023-07-20 00:00:00,DOT/USD,5.2062,5.4835,5.1985,5.3492,104552.32773255957,19545.41384367
1689724800000,2023-07-19 00:00:00,DOT/USD,5.1702,5.2601,5.14,5.1937,63727.20524666271,12270.09747322
1689638400000,2023-07-18 00:00:00,DOT/USD,5.3129,5.3808,5.1112,5.1781,30964.960136444268,5979.98496291
1689552000000,2023-07-17 00:00:00,DOT/USD,5.3085,5.414,5.1834,5.305,57847.70642069855,10904.37444311
1689465600000,2023-07-16 00:00:00,DOT/USD,5.4337,5.4569,5.262,5.315,58142.432169470856,10939.30990959
1689379200000,2023-07-15 00:00:00,DOT/USD,5.4502,5.5548,5.3959,5.4343,20846.872394851718,3836.16517212
1689292800000,2023-07-14 00:00:00,DOT/USD,5.5565,5.7355,5.3029,5.4584,264449.06164318445,48448.09131672
1689206400000,2023-07-13 00:00:00,DOT/USD,5.1509,5.5582,5.1081,5.54,258802.1433833236,46715.18833634
