https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1691020800000,2023-08-03 00:00:00,UNI/USD,6.1317,6.2567,6.06,6.0998,66168.06712502555,10847.57977721
1690934400000,2023-08-02 00:00:00,UNI/USD,6.6723,6.6849,6.1339,6.1546,56927.60236795565,9249.60230851
1690848000000,2023-08-01 00:00:00,UNI/USD,6.5217,6.7008,6.342,6.6953,87168.81427231686,13019.40380152
1690761600000,2023-07-31 00:00:00,UNI/USD,6.4348,6.6264,6.4034,6.5581,132596.63123564122,20218.75714546
1690675200000,2023-07-30 00:00:00,UNI/USD,6.3502,6.4451,6.2794,6.4364,263438.5368749604,40929.48494111
1690588800000,2023-07-29 00:00:00,UNI/USD,6.02,6.3524,6.02,6.3516,265718.16601777036,41834.83941334
1690502400000,2023-07-28 00:00:00,UNI/USD,5.8854,6.0286,5.873,6.0145,134997.90600665312,22445.40793194
1690416000000,2023-07-27 00:00:00,UNI/USD,5.8551,5.9894,5.8074,5.8732,21127.31778235133,3597.24133051
1690329600000,2023-07-26 00:00:00,UNI/USD,5.7875,5.8999,5.7427,5.8429,23312.919532860797,3989.95696193
1690243200000,2023-07-25 00:00:00,UNI/USD,5.7765,5.8128,5.7039,5.7978,35754.628689247664,6166.93033379
1690156800000,2023-07-24 00:00:00,UNI/USD,6.14,6.1788,5.75,5.7865,254937.35083818194,44057.26273882
1690070400000,2023-07-23 00:00:00,UNI/USD,6.0224,6.2192,6.0051,6.153,206090.2688322748,33494.27414794
1689984000000,2023-07-22 00:00:00,UNI/USD,6.2164,6.2519,5.9652,5.9652,47601.965873006826,7979.94465785
1689897600000,2023-07-21 00:00:00,UNI/USD,6.0207,6.383,5.965,6.2093,621320.6553765386,100062.91455986
1689811200000,2023-07-20 00:00:00,UNI/USD,5.8891,6.1706,5.8343,6.008,54772.66362347904,9116.62177488
1689724800000,2023-07-19 00:00:00,UNI/USD,5.8769,6.0513,5.828,5.8792,34502.06295986828,5868.49621715
1689638400000,2023-07-18 00:00:00,UNI/USD,5.926,6.2754,5.8719,5.9055,90625.13653964,15345.88714582
1689552000000,2023-07-17 00:00:00,UNI/USD,5.7248,6.141,5.7075,5.9194,79995.23815408532,13514.0788178
1689465600000,2023-07-16 00:00:00,UNI/USD,5.8347,5.8623,5.6759,5.7332,22422.599835905366,3911.00952974
1689379200000,2023-07-15 00:00:00,UNI/USD,5.8414,5.934,5.7696,5.8091,12135.411122402447,2089.03463917
1689292800000,2023-07-14 00:00:00,UNI/USD,5.8794,6.1584,5.7493,5.8842,207207.08313325662,35214.14689053
1689206400000,2023-07-13 00:00:00,UNI/USD,5.2825,5.8543,5.2271,5.8502,77574.38437436959,13260.12518792
1689120000000,2023-07-12 00:00:00,UNI/USD,5.2811,5.3835,5.2049,5.2877,4983.715394712494,942.51099622
1689033600000,2023-07-11 00:00:00,UNI/USD,5.2545,5.2996,5.1975,5.2616,19278.49365900915,3663.99833872
1688947200000,2023-07-10 00:00:00,UNI/USD,5.1977,5.3571,5.0999,5.2431,32993.18030846962,6292.68568375
1688860800000,2023-07-09 00:00:00,UNI/USD,5.252,5.3362,5.2063,5.2304,5954.320992884209,1138.40643027
1688774400000,2023-07-08 00:00:00,UNI/USD,5.4823,5.4859,5.1813,5.2531,23932.735208111677,4555.92606425
1688688000000,2023-07-07 00:00:00,UNI/USD,5.2741,5.5668,5.2514,5.4798,47053.73125432388,8586.76069461
1688601600000,2023-07-06 00:00:00,UNI/USD,5.4035,5.6317,5.2594,5.2715,16890.233211828276,3204.06586585
1688515200000,2023-07-05 00:00:00,UNI/USD,5.531,5.7374,5.3303,5.4246,33679.82813345873,6208.72103629
1688428800000,2023-07-04 00:00:00,UNI/USD,5.5065,5.594,5.3788,5.5071,22879.339489931626,4154.51680375
1688342400000,2023-07-03 00:00:00,UNI/USD,5.5665,5.7918,5.5139,5.5211,48472.26404130146,8779.45772424
1688256000000,2023-07-02 00:00:00,UNI/USD,5.5898,5.6878,5.458,5.5524,122613.89380781712,22083.04405443
1688169600000,2023-07-01 00:00:00,UNI/USD,5.2908,5.6042,5.1829,5.5947,42233.38705291319,7548.82067902
1688083200000,2023-06-30 00:00:00,UNI/USD,4.9403,5.3413,4.8403,5.2791,67403.21781795661,12767.93730332
1687996800000,2023-06-29 00:00:00,UNI/USD,4.8385,5.02,4.83,4.9326,22213.11256464373,4503.32736582
1687910400000,2023-06-28 00:00:00,UNI/USD,5.2636,5.2636,4.7548,4.8338,31205.059699291298,6455.59594921
1687824000000,2023-06-27 00:00:00,UNI/USD,5.279,5.3516,5.2484,5.2754,7278.848792043401,1379.771921
1687737600000,2023-06-26 00:00:00,UNI/USD,5.4726,5.55,5.2323,5.269,80956.97140424442,15364.76967247
1687651200000,2023-06-25 00:00:00,UNI/USD,4.7308,5.5,4.7154,5.4391,262746.3135488173,48306.94665456
1687564800000,2023-06-24 00:00:00,UNI/USD,4.8606,4.878,4.6931,4.7388,2371.631130393228,500.47082180999996
