https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1683936000,2023-05-13 00:00:00,BTC/USDT,26772,27047,26698,26770,31.39763593,840514.7138461
1683849600,2023-05-12 00:00:00,BTC/USDT,26965,27067,25830,26801,91.59463298,2454827.75849698
1683763200,2023-05-11 00:00:00,BTC/USDT,27579,27621,26726,26995,107.20811871,2894083.16457645
1683676800,2023-05-10 00:00:00,BTC/USDT,27632,28310,26798,27635,237.41670194,6561010.5581118995
1683590400,2023-05-09 00:00:00,BTC/USDT,27651,27809,27361,27629,43.01695017,1188515.31624693
1683504000,2023-05-08 00:00:00,BTC/USDT,28529,28624,27288,27685,71.11787772,1968898.4446782
1683417600,2023-05-07 00:00:00,BTC/USDT,28856,29113,28400,28428,56.28500262,1600070.05448136
1683331200,2023-05-06 00:00:00,BTC/USDT,29495,29804,28360,28868,93.04096350,2685906.534318
1683244800,2023-05-05 00:00:00,BTC/USDT,28837,29651,28814,29501,55.40161417,1634403.01962917
1683158400,2023-05-04 00:00:00,BTC/USDT,29055,29361,28679,28840,32.57439690,939445.6065960001
1683072000,2023-05-03 00:00:00,BTC/USDT,28658,29263,28118,28996,67.99821225,1971676.1624009998
1682985600,2023-05-02 00:00:00,BTC/USDT,27989,28869,27901,28661,87.12306896,2497034.27946256
1682899200,2023-05-01 00:00:00,BTC/USDT,29232,29324,27677,28075,128.38491598,3604406.5161384996
1682812800,2023-04-30 00:00:00,BTC/USDT,29120,29952,29120,29223,35.25167491,1030159.6958949299
1682726400,2023-04-29 00:00:00,BTC/USDT,29319,29429,29037,29205,12.36919258,361242.2692989
1682640000,2023-04-28 00:00:00,BTC/USDT,29491,29558,28900,29311,36.30332373,1064086.7218500301
1682553600,2023-04-27 00:00:00,BTC/USDT,28455,29881,28445,29415,149.51938578,4398112.7327187
1682467200,2023-04-26 00:00:00,BTC/USDT,28288,30003,27255,28336,240.74911821,6821867.01359856
1682380800,2023-04-25 00:00:00,BTC/USDT,27511,28367,27237,28335,39.29732321,1113489.6531553501
1682294400,2023-04-24 00:00:00,BTC/USDT,27587,28000,26935,27513,45.40323292,1249179.14732796
1682208000,2023-04-23 00:00:00,BTC/USDT,27811,27811,27334,27580,141.25796267,3895894.6104386
