https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1632268800,2021-09-22,DOT/USD,26.31,31.976,26.045,31.571,128724.624508,4063965.120342068
1632182400,2021-09-21,DOT/USD,28.259,30.265,25.891,26.309,134193.599772,3530499.416401548
1632096000,2021-09-20,DOT/USD,33.75,33.797,27.179,28.259,144008.456651,4069534.9765006085
1632009600,2021-09-19,DOT/USD,34.887,34.887,33.086,33.738,43098.625382,1454061.423137916
1631923200,2021-09-18,DOT/USD,32.949,35.852,32.625,34.895,50683.191011,1768589.9503288453
1631836800,2021-09-17,DOT/USD,35.582,36.873,32.429,32.943,68642.530528,2261290.883183904
1631750400,2021-09-16,DOT/USD,36.451,36.855,34.173,35.589,56966.825221,2027392.342790169
1631664000,2021-09-15,DOT/USD,37.364,37.898,35.54,36.423,53836.951339,1960903.278620397
1631577600,2021-09-14,DOT/USD,34.794,38.65,34.129,37.363,112397.882286,4199522.075851818
1631491200,2021-09-13,DOT/USD,35.842,37.909,32.458,34.803,262232.953248,9126493.471890144
1631404800,2021-09-12,DOT/USD,31.494,36.305,30.759,35.841,121225.696603,4344850.191948123
1631318400,2021-09-11,DOT/USD,29.171,32.09,28.334,31.493,103973.804822,3274447.035259246
1631232000,2021-09-10,DOT/USD,29.788,32.317,28.188,29.149,155308.149591,4527077.252428059
1631145600,2021-09-09,DOT/USD,27.716,31.802,27.101,29.768,128784.217565,3833648.58847492
1631059200,2021-09-08,DOT/USD,27.902,28.835,25.558,27.695,140696.062766,3896577.45830437
1630972800,2021-09-07,DOT/USD,34.294,35.653,24.0,27.881,221537.571078,6176689.019225718
1630886400,2021-09-06,DOT/USD,34.374,34.984,33.001,34.287,47643.487495,1633552.255741065
1630800000,2021-09-05,DOT/USD,32.439,34.772,32.05,34.382,34337.39919,1180588.4589505799
1630713600,2021-09-04,DOT/USD,33.588,33.969,32.076,32.445,32991.926355,1070423.0505879752
1630627200,2021-09-03,DOT/USD,31.854,33.848,31.026,33.589,60796.435066,2042091.4574318738
1630540800,2021-09-02,DOT/USD,33.142,33.142,31.303,31.86,50395.532083,1605601.6521643798
1630454400,2021-09-01,DOT/USD,31.338,33.874,29.592,33.127,101007.093937,3346062.0008509993
1630368000,2021-08-31,DOT/USD,25.985,31.836,25.672,31.344,174042.601546,5455191.302857824
1630281600,2021-08-30,DOT/USD,25.734,27.502,24.423,25.991,60596.984906,1574976.234691846
1630195200,2021-08-29,DOT/USD,25.938,26.432,25.37,25.747,29289.870174,754126.287369978
1630108800,2021-08-28,DOT/USD,26.516,26.707,25.51,25.938,36319.864075,942064.6343773499
1630022400,2021-08-27,DOT/USD,24.072,26.742,23.609,26.523,67659.774371,1794540.1956420331
1629936000,2021-08-26,DOT/USD,25.975,26.376,23.563,24.072,72301.4562,1740440.6536464
1629849600,2021-08-25,DOT/USD,25.203,26.487,24.515,25.971,76422.348577,1984764.814893267
1629763200,2021-08-24,DOT/USD,27.923,28.116,25.152,25.218,58858.975761,1484305.650740898
1629676800,2021-08-23,DOT/USD,27.717,28.74,27.4,27.926,43475.837859,1214106.2480504338
1629590400,2021-08-22,DOT/USD,27.938,28.434,26.628,27.711,46688.949308,1293797.474273988
1629504000,2021-08-21,DOT/USD,28.071,29.087,27.613,27.937,46076.521865,1287239.791342505
1629417600,2021-08-20,DOT/USD,26.514,28.375,26.148,28.059,55062.353794,1544994.5851058462
1629331200,2021-08-19,DOT/USD,23.922,26.789,23.546,26.51,91898.46367,2436228.2718917
1629244800,2021-08-18,DOT/USD,23.533,25.147,22.928,23.931,118563.943699,2837353.736660769
1629158400,2021-08-17,DOT/USD,24.468,27.1,23.253,23.529,126440.318532,2975014.254739428
