https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOT,Volume USDT,tradecount
1693180800000,2023-08-28,DOTUSDT,4.489,4.622,4.416,4.61,3101890.05,13984337.94959,47561
1693094400000,2023-08-27,DOTUSDT,4.505,4.544,4.461,4.489,1274702.18,5749758.16952,19954
1693008000000,2023-08-26,DOTUSDT,4.49,4.514,4.476,4.507,1360546.99,6120339.88936,18500
1692921600000,2023-08-25,DOTUSDT,4.422,4.496,4.357,4.49,1865483.14,8279487.61117,31908
1692835200000,2023-08-24,DOTUSDT,4.489,4.517,4.368,4.424,1954030.49,8704598.42793,26550
1692748800000,2023-08-23,DOTUSDT,4.425,4.537,4.378,4.489,2111348.0,9396024.36051,31976
1692662400000,2023-08-22,DOTUSDT,4.427,4.45,4.25,4.423,2514612.21,11021459.80635,41762
1692576000000,2023-08-21,DOTUSDT,4.521,4.537,4.362,4.427,1589298.11,7088555.23644,30153
1692489600000,2023-08-20,DOTUSDT,4.517,4.533,4.466,4.519,1000903.19,4503432.31844,19866
1692403200000,2023-08-19,DOTUSDT,4.511,4.553,4.454,4.517,992385.44,4469612.43435,19680
1692316800000,2023-08-18,DOTUSDT,4.429,4.56,4.365,4.51,2973054.24,13291998.90023,49122
1692230400000,2023-08-17,DOTUSDT,4.672,4.982,4.312,4.429,4837864.01,22246697.84608,114768
1692144000000,2023-08-16,DOTUSDT,4.817,4.842,4.531,4.672,2433575.41,11470290.90311,42677
1692057600000,2023-08-15,DOTUSDT,4.989,4.998,4.622,4.818,2154803.35,10499321.49956,40344
1691971200000,2023-08-14,DOTUSDT,4.987,5.058,4.951,4.989,1470525.11,7357383.95086,24304
1691884800000,2023-08-13,DOTUSDT,5.039,5.045,4.968,4.987,1063886.17,5340932.21876,16753
1691798400000,2023-08-12,DOTUSDT,5.008,5.044,4.997,5.04,817443.05,4103941.70179,13609
1691712000000,2023-08-11,DOTUSDT,5.005,5.02,4.956,5.007,1022335.23,5106797.05263,17182
1691625600000,2023-08-10,DOTUSDT,5.06,5.067,4.977,5.006,1155363.93,5795117.4049,19775
1691539200000,2023-08-09,DOTUSDT,5.06,5.106,4.997,5.059,1393130.31,7035469.18927,24685
1691452800000,2023-08-08,DOTUSDT,4.971,5.098,4.933,5.059,1388611.45,6977989.60972,27411
1691366400000,2023-08-07,DOTUSDT,5.006,5.049,4.835,4.971,1664265.82,8257748.03386,35646
1691280000000,2023-08-06,DOTUSDT,4.975,5.046,4.959,5.005,1124716.73,5624032.2869,24437
