https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETH
1664064000000,2022-09-25 00:00:00,ETH/USDT,1316.5041,1336.3007,1271.0,1293.534,1278563.403023292,988.42659182
1663977600000,2022-09-24 00:00:00,ETH/USDT,1327.5186,1348.4126,1306.6951,1316.9837,1272110.8444993235,965.92755438
1663891200000,2022-09-23 00:00:00,ETH/USDT,1325.9263,1357.036,1263.296,1327.7021,1725368.1057227585,1299.51448124
1663804800000,2022-09-22 00:00:00,ETH/USDT,1245.5263,1346.7022,1238.3795,1325.8306,1707286.1602619465,1287.71063231
1663718400000,2022-09-21 00:00:00,ETH/USDT,1323.1347,1399.0,1221.5025,1246.1613,2953599.846602497,2370.15853935
1663632000000,2022-09-20 00:00:00,ETH/USDT,1375.3703,1383.5407,1313.6396,1322.69,1577343.6260782804,1192.52706687
1663545600000,2022-09-19 00:00:00,ETH/USDT,1333.3308,1391.5314,1282.7,1375.6627,1997987.9838246473,1452.38217466
1663459200000,2022-09-18 00:00:00,ETH/USDT,1469.048,1469.048,1328.824,1334.1388,1792965.471877497,1343.91224652
1663372800000,2022-09-17 00:00:00,ETH/USDT,1433.027,1474.6896,1408.2333,1469.0816,1409792.8019534105,959.64227035
1663286400000,2022-09-16 00:00:00,ETH/USDT,1473.038,1482.4901,1407.3517,1433.3516,1488881.2798495523,1038.74114338
1663200000000,2022-09-15 00:00:00,ETH/USDT,1635.8,1651.5243,1460.15,1472.2262,2298830.3790687686,1561.46547254
1663113600000,2022-09-14 00:00:00,ETH/USDT,1573.8466,1645.8813,1555.1733,1636.8034,1795253.2455949867,1096.80444554
1663027200000,2022-09-13 00:00:00,ETH/USDT,1717.005,1758.2741,1562.5765,1574.4789,2984367.003599271,1895.46332034
1662940800000,2022-09-12 00:00:00,ETH/USDT,1765.8567,1781.9613,1691.1239,1715.6349,2339632.3546028566,1363.71226454
1662854400000,2022-09-11 00:00:00,ETH/USDT,1775.3174,1787.6116,1721.9035,1766.7766,1896271.6188867413,1073.29450644
1662768000000,2022-09-10 00:00:00,ETH/USDT,1718.749,1789.1404,1706.4923,1774.3366,1869899.6237740056,1053.85845266
1662681600000,2022-09-09 00:00:00,ETH/USDT,1634.3418,1743.8013,1630.9582,1718.1685,2436369.744541565,1418.00396442
1662595200000,2022-09-08 00:00:00,ETH/USDT,1630.6833,1660.458,1584.4028,1634.7566,2347120.6399563365,1435.76153169
1662508800000,2022-09-07 00:00:00,ETH/USDT,1559.899,1655.0,1491.7986,1629.5114,2380524.049156097,1460.88210807
1662422400000,2022-09-06 00:00:00,ETH/USDT,1616.7955,1684.309,1553.6335,1558.3517,2562106.1584509,1644.11291652
