https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1700611200000,2023-11-22,SHIBUSDT,7.73e-06,8.18e-06,7.7e-06,8.1e-06,2745213991027.0,21954837.71143932,57457
1700524800000,2023-11-21,SHIBUSDT,8.44e-06,8.51e-06,7.61e-06,7.74e-06,4730595233150.0,38353652.71430176,101151
1700438400000,2023-11-20,SHIBUSDT,8.67e-06,8.72e-06,8.36e-06,8.43e-06,3096569791549.0,26587202.82005509,63792
1700352000000,2023-11-19,SHIBUSDT,8.55e-06,8.71e-06,8.35e-06,8.67e-06,2167902348347.0,18471018.89904951,46382
1700265600000,2023-11-18,SHIBUSDT,8.82e-06,8.91e-06,8.39e-06,8.56e-06,3430377101699.0,29536117.95577173,71675
1700179200000,2023-11-17,SHIBUSDT,8.5e-06,9.16e-06,8.4e-06,8.82e-06,6543753532652.0,57206667.26372299,135112
1700092800000,2023-11-16,SHIBUSDT,8.79e-06,9.19e-06,8.29e-06,8.5e-06,7426301718868.0,65190644.49097875,144733
1700006400000,2023-11-15,SHIBUSDT,8.34e-06,8.85e-06,8.32e-06,8.79e-06,3505620511626.0,30112297.82846619,71797
1699920000000,2023-11-14,SHIBUSDT,8.53e-06,8.69e-06,8e-06,8.34e-06,4772214330079.0,40115990.45590184,99782
1699833600000,2023-11-13,SHIBUSDT,8.91e-06,9.17e-06,8.42e-06,8.53e-06,5513013549523.0,48618705.75363658,123746
1699747200000,2023-11-12,SHIBUSDT,9.09e-06,9.15e-06,8.65e-06,8.92e-06,4775620456910.0,42744965.26223496,106053
1699660800000,2023-11-11,SHIBUSDT,8.48e-06,9.65e-06,8.44e-06,9.09e-06,16314830184066.0,149263773.49030012,305064
1699574400000,2023-11-10,SHIBUSDT,8.23e-06,8.56e-06,8.08e-06,8.49e-06,6223908096979.0,51858781.76988934,107085
1699488000000,2023-11-09,SHIBUSDT,8.28e-06,8.72e-06,7.8e-06,8.23e-06,8817750172065.0,73864162.0605719,149998
1699401600000,2023-11-08,SHIBUSDT,8.2e-06,8.34e-06,8.14e-06,8.28e-06,2729977622671.0,22532377.20536778,47292
