https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DOT
1659312000000,2022-08-01 00:00:00,DOT/USDT,8.6142,8.9323,8.0628,8.1919,4849.810671212334,592.02513107
1659225600000,2022-07-31 00:00:00,DOT/USDT,8.1626,9.2012,8.0909,8.6189,6962.6337553720205,807.8332218
1659139200000,2022-07-30 00:00:00,DOT/USDT,8.1825,8.7847,8.1591,8.1945,6764.03651724435,825.4361483
1659052800000,2022-07-29 00:00:00,DOT/USDT,7.8604,8.4041,7.7412,8.1549,9340.82197272736,1145.42446538
1658966400000,2022-07-28 00:00:00,DOT/USDT,7.6831,8.0376,7.4826,7.8694,39965.83305815285,5078.63789592
1658880000000,2022-07-27 00:00:00,DOT/USDT,6.7738,7.6767,6.6493,7.6767,7421.427770789505,966.74714015
1658793600000,2022-07-26 00:00:00,DOT/USDT,6.7602,6.7874,6.5273,6.7874,5222.711965649822,769.47166303
1658707200000,2022-07-25 00:00:00,DOT/USDT,7.3971,7.4304,6.7541,6.7612,7038.712839136471,1041.04490906
1658620800000,2022-07-24 00:00:00,DOT/USDT,7.3258,7.5792,7.3111,7.4087,4268.912078968797,576.20258331
1658534400000,2022-07-23 00:00:00,DOT/USDT,7.3011,7.4972,7.1023,7.326,3732.87123628254,509.53743329
1658448000000,2022-07-22 00:00:00,DOT/USDT,7.5164,7.8454,7.2609,7.2892,3566.974727875604,489.35064587
1658361600000,2022-07-21 00:00:00,DOT/USDT,7.4674,7.5854,7.1936,7.5231,15926.218775853049,2116.97555208
1658275200000,2022-07-20 00:00:00,DOT/USDT,7.7942,8.0713,7.3882,7.467,5158.04204645211,690.77836433
1658188800000,2022-07-19 00:00:00,DOT/USDT,7.6629,8.0257,7.5107,7.7899,20090.59477836108,2579.05682722
1658102400000,2022-07-18 00:00:00,DOT/USDT,6.9107,7.7,6.9107,7.6842,7537.239325445741,980.87495451
1658016000000,2022-07-17 00:00:00,DOT/USDT,7.1849,7.318,6.9092,6.9152,9283.623863544255,1342.49535278
1657929600000,2022-07-16 00:00:00,DOT/USDT,6.7996,7.1986,6.5622,7.1764,4509.744228048445,628.41316371
1657843200000,2022-07-15 00:00:00,DOT/USDT,6.7465,6.9721,6.6575,6.7937,2355.4713799406063,346.71407038
1657756800000,2022-07-14 00:00:00,DOT/USDT,6.4849,6.7567,6.2967,6.7163,4256.833193183582,633.80629114
1657670400000,2022-07-13 00:00:00,DOT/USDT,6.286,6.5247,6.0495,6.4629,6266.091452065497,969.54795093
1657584000000,2022-07-12 00:00:00,DOT/USDT,6.5099,6.6169,6.2686,6.2765,4300.386907327005,685.15684017
