https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1463961600000,2016-05-23 00:00:00,LTC/USDT,3.86169724,3.96001673,3.85920248,3.95685284,146.81805037,37.36550971,0,0,0,3.92923986
1463875200000,2016-05-22 00:00:00,LTC/USDT,3.89,3.98477859,3.8,3.90775403,985.60525737,251.68816479,0,0,0,3.91597776
1463788800000,2016-05-21 00:00:00,LTC/USDT,3.80830885,3.91193603,3.7,3.87712762,732.50066088,191.60614363,0,0,0,3.82294976
1463702400000,2016-05-20 00:00:00,LTC/USDT,3.78394344,3.93765202,3.74368998,3.82855201,1593.16525685,418.48858427,0,0,0,3.80695033
1463616000000,2016-05-19 00:00:00,LTC/USDT,3.94791977,4.02551229,3.7928587,3.81540198,1206.6818705,309.65901651,0,0,0,3.89680844
1463529600000,2016-05-18 00:00:00,LTC/USDT,3.95000048,4.06840808,3.93,4.03551233,2796.5482624,707.13334545,0,0,0,3.9547679
1463443200000,2016-05-17 00:00:00,LTC/USDT,4.017284,4.02791762,3.94964825,3.95743802,90.43742414,22.73654038,0,0,0,3.97762467
1463356800000,2016-05-16 00:00:00,LTC/USDT,4.0820706,4.21999999,3.97168071,4.03382212,1500.04296091,360.24349469,0,0,0,4.1639696
1463270400000,2016-05-15 00:00:00,LTC/USDT,4,4.11117807,3.93333129,4.0952032,888.3648729,218.67177611,0,0,0,4.0625493
1463184000000,2016-05-14 00:00:00,LTC/USDT,3.91492277,4.04571473,3.91492277,4.00923224,535.56622023,135.33676498,0,0,0,3.95728551
1463097600000,2016-05-13 00:00:00,LTC/USDT,3.83629665,3.97219997,3.8,3.92230451,1917.07526437,491.18666025,0,0,0,3.90294651
1463011200000,2016-05-12 00:00:00,LTC/USDT,3.87974789,3.90675502,3.78630675,3.86666476,592.20119832,155.00626632,0,0,0,3.82049843
1462924800000,2016-05-11 00:00:00,LTC/USDT,3.80680065,3.9366959,3.80680065,3.84200087,1632.32914288,419.64355214,0,0,0,3.88979917
1462838400000,2016-05-10 00:00:00,LTC/USDT,4.11581309,4.12773863,3.71000031,3.84477918,4903.57022023,1264.41558075,0,0,0,3.87813175
1462752000000,2016-05-09 00:00:00,LTC/USDT,3.94999997,4.19653068,3.895,4.10856001,3754.5032438,940.69658637,0,0,0,3.99119471
1462665600000,2016-05-08 00:00:00,LTC/USDT,3.9711718,4.01999807,3.89000267,3.91002608,1412.20542139,360.21355877,0,0,0,3.92046714
1462579200000,2016-05-07 00:00:00,LTC/USDT,3.84035648,4.00856635,3.83,4,1688.11887007,429.55315138,0,0,0,3.92994176
1462492800000,2016-05-06 00:00:00,LTC/USDT,3.73541517,3.84999265,3.69182072,3.84035651,682.33035045,180.43278264,0,0,0,3.78163181
1462406400000,2016-05-05 00:00:00,LTC/USDT,3.72931531,3.8,3.66000001,3.69182079,6259.63657077,1659.41667062,0,0,0,3.77219096
1462320000000,2016-05-04 00:00:00,LTC/USDT,3.73225447,3.7890733,3.70500001,3.76281875,330.13467656,87.88478164,0,0,0,3.75644873
1462233600000,2016-05-03 00:00:00,LTC/USDT,3.67311345,3.76,3.63693597,3.76,995.14613521,267.08042871,0,0,0,3.72601669
1462147200000,2016-05-02 00:00:00,LTC/USDT,3.66000002,3.78089614,3.56787563,3.7091718,2119.58347735,578.72167501,0,0,0,3.66252651
1462060800000,2016-05-01 00:00:00,LTC/USDT,3.63996438,3.76987739,3.59198924,3.66000004,2277.94657837,617.69285647,0,0,0,3.68783053
1461974400000,2016-04-30 00:00:00,LTC/USDT,3.80500001,3.87186707,3.60802846,3.60802846,2122.87217574,569.70907842,0,0,0,3.72623898
1461888000000,2016-04-29 00:00:00,LTC/USDT,3.80888312,3.87899288,3.72000001,3.80500869,3248.47797193,859.55213537,0,0,0,3.7792681
1461801600000,2016-04-28 00:00:00,LTC/USDT,3.85609055,3.8827882,3.3,3.80888312,9325.16104128,2547.99346096,0,0,0,3.65980571
1461715200000,2016-04-27 00:00:00,LTC/USDT,4.09503904,4.68052568,3.79701374,3.85609055,11635.5408511,2922.09300946,0,0,0,3.98192008
1461628800000,2016-04-26 00:00:00,LTC/USDT,3.86809104,4.1855857,3.86809104,4.10203854,6864.32881535,1729.1958913,0,0,0,3.96966523
1461542400000,2016-04-25 00:00:00,LTC/USDT,3.69447871,4.5,3.54090001,3.86583214,5457.46885261,1381.50120748,0,0,0,3.95039021
1461456000000,2016-04-24 00:00:00,LTC/USDT,3.37193968,3.93199349,3.33744882,3.69857856,5383.99528974,1548.31596976,0,0,0,3.47732335
1461369600000,2016-04-23 00:00:00,LTC/USDT,3.38099999,3.381,3.33,3.37193967,57.3319738,17.0250216,0,0,0,3.36751254
1461283200000,2016-04-22 00:00:00,LTC/USDT,3.3908118,3.39449298,3.32017285,3.381,269.17531059,79.85251983,0,0,0,3.37090565
1461196800000,2016-04-21 00:00:00,LTC/USDT,3.305746,3.40543347,3.28975994,3.39081181,2397.54161469,716.49193815,0,0,0,3.34622273
1461110400000,2016-04-20 00:00:00,LTC/USDT,3.33999994,3.35654285,3.25000001,3.30574671,2367.1036649,717.65090627,0,0,0,3.29840545
1461024000000,2016-04-19 00:00:00,LTC/USDT,3.2652977,3.33999968,3.24123312,3.31211637,347.17928042,105.59501658,0,0,0,3.28783773
1460937600000,2016-04-18 00:00:00,LTC/USDT,3.23345429,3.29411517,3.20309569,3.24001009,436.00584624,133.67961469,0,0,0,3.26157318
1460851200000,2016-04-17 00:00:00,LTC/USDT,3.28163042,3.34726307,3.2,3.23345429,951.40962778,290.75735979,0,0,0,3.27217728
1460764800000,2016-04-16 00:00:00,LTC/USDT,3.307263,3.419,3.21,3.28163044,641.35397872,191.55613322,0,0,0,3.34812552
1460678400000,2016-04-15 00:00:00,LTC/USDT,3.29054067,3.30726339,3.23,3.307263,88.11023847,26.74821106,0,0,0,3.29406098
1460592000000,2016-04-14 00:00:00,LTC/USDT,3.26380545,3.36,3.22811757,3.29053909,201.30353742,61.34850477,0,0,0,3.28131122
1460505600000,2016-04-13 00:00:00,LTC/USDT,3.29218649,3.41,3.20309569,3.23389434,401.4927501,123.4265993,0,0,0,3.25288675
1460419200000,2016-04-12 00:00:00,LTC/USDT,3.25309569,3.3072141,3.20856048,3.25013464,891.31392852,271.6694038,0,0,0,3.28087711
1460332800000,2016-04-11 00:00:00,LTC/USDT,3.24087029,3.25309569,3.20309569,3.20855762,517.79415919,159.1986278,0,0,0,3.2525039
1460246400000,2016-04-10 00:00:00,LTC/USDT,3.20471368,3.25309569,3.18000007,3.25309568,417.30176454,129.2712589,0,0,0,3.22810938
1460160000000,2016-04-09 00:00:00,LTC/USDT,3.25303751,3.25303751,3.18,3.20471369,229.62604857,71.71719272,0,0,0,3.20182706
1460073600000,2016-04-08 00:00:00,LTC/USDT,3.23002328,3.27789996,3.1930957,3.25303752,597.06986042,184.67994582,0,0,0,3.23299781
1459987200000,2016-04-07 00:00:00,LTC/USDT,3.23000247,3.27789974,3.23000026,3.27789965,41.6953644,12.75424058,0,0,0,3.26913736
1459900800000,2016-04-06 00:00:00,LTC/USDT,3.25,3.26499904,3.21632322,3.23000132,218.44181714,67.58850713,0,0,0,3.23193729
1459814400000,2016-04-05 00:00:00,LTC/USDT,3.22622285,3.28929611,3.21627417,3.21627849,40.47432081,12.3982305,0,0,0,3.26452398
1459728000000,2016-04-04 00:00:00,LTC/USDT,3.27,3.29797321,3.19,3.26986891,126.87184764,38.79574307,0,0,0,3.27025177
1459641600000,2016-04-03 00:00:00,LTC/USDT,3.28905236,3.30447481,3.26564627,3.27,127.76422058,38.86112308,0,0,0,3.28771302
1459555200000,2016-04-02 00:00:00,LTC/USDT,3.284898,3.3,3.23720606,3.2372239,72.08564543,22.01051705,0,0,0,3.27505461
1459468800000,2016-04-01 00:00:00,LTC/USDT,3.25644859,3.29059343,3.21941138,3.28625384,267.96356118,82.01375629,0,0,0,3.26730018
1459382400000,2016-03-31 00:00:00,LTC/USDT,3.18102846,3.29286761,3.18102846,3.29059335,1037.00204085,317.8688097,0,0,0,3.26235858
1459296000000,2016-03-30 00:00:00,LTC/USDT,3.20989373,3.24999236,3.17195821,3.24999236,696.33398373,217.82226175,0,0,0,3.19679897
1459209600000,2016-03-29 00:00:00,LTC/USDT,3.29999856,3.29999861,3.15666717,3.21981355,464.20875821,144.67439162,0,0,0,3.20864496
1459123200000,2016-03-28 00:00:00,LTC/USDT,3.40645719,3.40645719,3.2100149,3.29999973,141.9091722,43.79754603,0,0,0,3.24011697
1459036800000,2016-03-27 00:00:00,LTC/USDT,3.18890776,3.419,3.18890776,3.28135206,402.81563991,119.69234281,0,0,0,3.36542531
1458950400000,2016-03-26 00:00:00,LTC/USDT,3.23999997,3.31421723,3.1889075,3.1889075,49.17477987,15.12993919,0,0,0,3.25016374
1458864000000,2016-03-25 00:00:00,LTC/USDT,3.24499817,3.24789928,3.1888913,3.23999972,18.0400454,5.62811507,0,0,0,3.20534409
1458777600000,2016-03-24 00:00:00,LTC/USDT,3.21090799,3.27799877,3.17515107,3.18889017,343.23075939,107.31820981,0,0,0,3.19825274
1458691200000,2016-03-23 00:00:00,LTC/USDT,3.17001937,3.27,3.17001937,3.2109066,123.85081589,38.28093608,0,0,0,3.23531314
1458604800000,2016-03-22 00:00:00,LTC/USDT,3.190999,3.24709185,3.12300343,3.24000484,435.63247966,136.55219299,0,0,0,3.1902269
1458518400000,2016-03-21 00:00:00,LTC/USDT,3.19999999,3.2,3.12,3.12000701,44.52392589,13.95758151,0,0,0,3.18994561
1458432000000,2016-03-20 00:00:00,LTC/USDT,3.18350727,3.27,3.0981591,3.19999999,579.0376815,181.46506926,0,0,0,3.19090436
1458345600000,2016-03-19 00:00:00,LTC/USDT,3.09510426,3.22979357,3.0951,3.09511323,34.79007345,11.07323052,0,0,0,3.14181786
1458259200000,2016-03-18 00:00:00,LTC/USDT,3.26,3.28799899,3.062,3.17935761,200.84959673,62.84048386,0,0,0,3.19618157
1458172800000,2016-03-17 00:00:00,LTC/USDT,3.25000059,3.32964696,3.25,3.32964696,160.42554512,49.22961193,0,0,0,3.25872049
1458086400000,2016-03-16 00:00:00,LTC/USDT,3.32933999,3.34999027,3.21000386,3.30930365,70.15241086,21.60393542,0,0,0,3.24720517
1458000000000,2016-03-15 00:00:00,LTC/USDT,3.22378151,3.32933999,3.20585781,3.32933999,147.68521234,44.85964131,0,0,0,3.29216213
1457913600000,2016-03-14 00:00:00,LTC/USDT,3.29255038,3.31339998,3.17001041,3.29547628,539.1558667,167.69409867,0,0,0,3.21511532
1457827200000,2016-03-13 00:00:00,LTC/USDT,3.27999026,3.30999026,3.179,3.179,794.53728244,246.71279874,0,0,0,3.22049478
1457740800000,2016-03-12 00:00:00,LTC/USDT,3.42499941,3.42499941,3.1790012,3.27999026,564.7128849,176.21799123,0,0,0,3.20462672
1457654400000,2016-03-11 00:00:00,LTC/USDT,3.29,3.40690041,3.18244858,3.40690041,194.15254513,57.88063712,0,0,0,3.35436088
1457568000000,2016-03-10 00:00:00,LTC/USDT,3.17001097,3.28999982,3.17001097,3.28999982,44.83822043,13.84108849,0,0,0,3.23950103
1457481600000,2016-03-09 00:00:00,LTC/USDT,3.26989989,3.27,3.11000682,3.19003156,1633.78255233,504.13292291,0,0,0,3.24077733
1457395200000,2016-03-08 00:00:00,LTC/USDT,3.26999993,3.27,3.10000063,3.10000063,580.3727577,180.32669691,0,0,0,3.21845166
1457308800000,2016-03-07 00:00:00,LTC/USDT,3.1200016,3.27999999,3.12000159,3.26999995,171.18491942,53.78926994,0,0,0,3.18251055
1457222400000,2016-03-06 00:00:00,LTC/USDT,3.15986209,3.33688059,3.01086536,3.27999999,419.99213496,131.48994377,0,0,0,3.1941008
1457136000000,2016-03-05 00:00:00,LTC/USDT,3.22379568,3.30688059,3,3,3599.59400602,1172.93955716,0,0,0,3.06886572
1457049600000,2016-03-04 00:00:00,LTC/USDT,3.3220625,3.39299536,3.073,3.22379575,379.88497715,116.15921501,0,0,0,3.27038175
