https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1696982400,2023-10-11 00:00:00,ADA/USD,0.24900,0.24912,0.24490,0.24659,499494.29009689,123170.29699499211
1696896000,2023-10-10 00:00:00,ADA/USD,0.25086,0.25339,0.24702,0.24945,789168.18346878,196858.0033662872
1696809600,2023-10-09 00:00:00,ADA/USD,0.25649,0.25866,0.24900,0.25150,414893.92232938,104345.82146583906
1696723200,2023-10-08 00:00:00,ADA/USD,0.25874,0.25921,0.25587,0.25652,110880.28087977,28443.009651278604
1696636800,2023-10-07 00:00:00,ADA/USD,0.26526,0.26576,0.25719,0.25764,141883.66022630,36554.90622070393
1696550400,2023-10-06 00:00:00,ADA/USD,0.26058,0.26646,0.26058,0.26475,306827.48866112,81232.57762303152
1696464000,2023-10-05 00:00:00,ADA/USD,0.25836,0.26342,0.25677,0.26015,324644.72799252,84456.32598725408
1696377600,2023-10-04 00:00:00,ADA/USD,0.26056,0.26060,0.25307,0.25909,1244473.07077691,322430.5279075896
1696291200,2023-10-03 00:00:00,ADA/USD,0.25909,0.26380,0.25754,0.26054,390295.06616679,101687.47653909547
1696204800,2023-10-02 00:00:00,ADA/USD,0.26616,0.26959,0.25777,0.25919,543394.85961002,140842.51366232106
1696118400,2023-10-01 00:00:00,ADA/USD,0.25417,0.26747,0.25396,0.26594,1632988.33883291,434276.9188292241
1696032000,2023-09-30 00:00:00,ADA/USD,0.24952,0.25459,0.24931,0.25376,265673.59837990,67417.33232488342
1695945600,2023-09-29 00:00:00,ADA/USD,0.24923,0.25530,0.24765,0.24926,333123.53638076,83034.37267826825
1695859200,2023-09-28 00:00:00,ADA/USD,0.24436,0.24990,0.24377,0.24880,197855.55629581,49226.46240639753
1695772800,2023-09-27 00:00:00,ADA/USD,0.24530,0.24755,0.24279,0.24474,72493.32250932,17742.01575093098
1695686400,2023-09-26 00:00:00,ADA/USD,0.24595,0.24636,0.24420,0.24543,306081.92468383,75121.6867751524
1695600000,2023-09-25 00:00:00,ADA/USD,0.24268,0.24584,0.24149,0.24583,117950.26206679,28995.712923878986
1695513600,2023-09-24 00:00:00,ADA/USD,0.24510,0.24625,0.24185,0.24229,93139.39201204,22566.743290597173
