https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1688947200,2023-07-10 00:00:00,XRP/USDT,0.46742,0.47881,0.46180,0.47582,206344.73609516,98182.95232879905
1688860800,2023-07-09 00:00:00,XRP/USDT,0.46961,0.47150,0.46830,0.46844,20420.78517450,9565.91260714278
1688774400,2023-07-08 00:00:00,XRP/USDT,0.46802,0.47429,0.46470,0.47027,26271.05821220,12354.490545451295
1688688000,2023-07-07 00:00:00,XRP/USDT,0.46280,0.46941,0.45906,0.46842,127552.17360789,59747.98916140784
1688601600,2023-07-06 00:00:00,XRP/USDT,0.47771,0.48340,0.46290,0.46412,367922.55421385,170760.21586173205
1688515200,2023-07-05 00:00:00,XRP/USDT,0.48824,0.49091,0.46960,0.47810,194953.06287974,93207.0593628037
1688428800,2023-07-04 00:00:00,XRP/USDT,0.48934,0.49340,0.48241,0.48843,179758.42236564,87799.40623604954
1688342400,2023-07-03 00:00:00,XRP/USDT,0.48519,0.49048,0.47922,0.48922,1345753.71175938,658369.630866924
1688256000,2023-07-02 00:00:00,XRP/USDT,0.47268,0.49395,0.46941,0.48503,642881.20799379,311816.672313228
1688169600,2023-07-01 00:00:00,XRP/USDT,0.47010,0.47469,0.46451,0.47270,109332.53855450,51681.49097471215
1688083200,2023-06-30 00:00:00,XRP/USDT,0.47499,0.48201,0.45085,0.47656,324488.98122875,154638.4688943731
1687996800,2023-06-29 00:00:00,XRP/USDT,0.46420,0.51728,0.46199,0.47580,1868609.84121009,889084.5624477608
1687910400,2023-06-28 00:00:00,XRP/USDT,0.48334,0.54739,0.44804,0.46522,184096.97400679,85645.59424743884
1687824000,2023-06-27 00:00:00,XRP/USDT,0.47810,0.48489,0.47676,0.48366,783157.37967531,378781.8982537604
1687737600,2023-06-26 00:00:00,XRP/USDT,0.49006,0.49158,0.47250,0.47901,3320192.02666160,1590405.182691173
1687651200,2023-06-25 00:00:00,XRP/USDT,0.48662,0.49548,0.48340,0.48982,1096037.56246849,536861.1188483158
1687564800,2023-06-24 00:00:00,XRP/USDT,0.49461,0.49503,0.47871,0.48629,542746.94067555,263932.4097811132
1687478400,2023-06-23 00:00:00,XRP/USDT,0.49704,0.50180,0.48366,0.49550,532524.33196501,263865.8064886625
1687392000,2023-06-22 00:00:00,XRP/USDT,0.50053,0.52689,0.46522,0.49579,5589249.22295433,2771093.872248527
1687305600,2023-06-21 00:00:00,XRP/USDT,0.49074,0.50299,0.48951,0.50040,364678.97362973,182485.35840431688
1687219200,2023-06-20 00:00:00,XRP/USDT,0.49171,0.49525,0.47285,0.49147,218264.84677965,107270.62424679458
1687132800,2023-06-19 00:00:00,XRP/USDT,0.48622,0.49579,0.48349,0.49356,188810.40281702,93189.26241436838
1687046400,2023-06-18 00:00:00,XRP/USDT,0.47907,0.49690,0.47720,0.48390,353001.60741248,170817.47782689906
1686960000,2023-06-17 00:00:00,XRP/USDT,0.47271,0.48629,0.47204,0.48080,162083.77337989,77929.8782410511
1686873600,2023-06-16 00:00:00,XRP/USDT,0.47995,0.48150,0.45590,0.47581,522398.28797210,248562.3294000049
1686787200,2023-06-15 00:00:00,XRP/USDT,0.48172,0.48420,0.46762,0.47920,319697.27839355,153198.93580618917
1686700800,2023-06-14 00:00:00,XRP/USDT,0.51864,0.51864,0.46176,0.47841,451665.28112301,216081.1871420592
1686614400,2023-06-13 00:00:00,XRP/USDT,0.52511,0.56497,0.50879,0.51821,2062872.85273022,1069001.3410133272
1686528000,2023-06-12 00:00:00,XRP/USDT,0.52030,0.52742,0.50879,0.52532,2541305.74550411,1334998.7342282191
1686441600,2023-06-11 00:00:00,XRP/USDT,0.50539,0.52860,0.50300,0.51981,105605.08717808,54894.580366037764
1686355200,2023-06-10 00:00:00,XRP/USDT,0.53735,0.53849,0.47941,0.50649,1955872.16564156,990629.6931757937
1686268800,2023-06-09 00:00:00,XRP/USDT,0.52379,0.54044,0.52171,0.53796,1397539.54105573,751820.3715063406
1686182400,2023-06-08 00:00:00,XRP/USDT,0.51782,0.52738,0.51620,0.52392,4958788.54921813,2598008.4967063633
1686096000,2023-06-07 00:00:00,XRP/USDT,0.52700,0.53652,0.50832,0.51923,327429.11786801,170011.02087060682
1686009600,2023-06-06 00:00:00,XRP/USDT,0.50860,0.53168,0.49670,0.53019,863368.08304005,457749.12394700415
1685923200,2023-06-05 00:00:00,XRP/USDT,0.53491,0.54144,0.48553,0.50990,557872.78178620,284459.3314327834
1685836800,2023-06-04 00:00:00,XRP/USDT,0.51811,0.54440,0.51561,0.53359,282652.09752812,150820.33272002955
1685750400,2023-06-03 00:00:00,XRP/USDT,0.52259,0.53300,0.51472,0.51850,188383.17038335,97676.67384376697
