https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FLOW,Volume USDT,tradecount
1688256000000,2023-07-02,FLOWUSDT,0.705,0.761,0.637,0.718,60171454.13,41930248.9654,147309
1688169600000,2023-07-01,FLOWUSDT,0.543,0.712,0.533,0.705,56777715.68,36071603.30889,135295
1688083200000,2023-06-30,FLOWUSDT,0.514,0.556,0.495,0.543,14415186.95,7656013.35223,30240
1687996800000,2023-06-29,FLOWUSDT,0.509,0.525,0.506,0.514,10993059.01,5665091.92377,19369
1687910400000,2023-06-28,FLOWUSDT,0.546,0.566,0.48,0.51,20661553.26,11006992.4528,35912
1687824000000,2023-06-27,FLOWUSDT,0.542,0.553,0.529,0.545,11642828.41,6314618.20342,20939
1687737600000,2023-06-26,FLOWUSDT,0.56,0.563,0.533,0.542,13770329.85,7520712.82777,25225
1687651200000,2023-06-25,FLOWUSDT,0.542,0.571,0.54,0.56,15840006.31,8842600.07886,27421
1687564800000,2023-06-24,FLOWUSDT,0.548,0.552,0.522,0.541,12923341.18,6964825.7887,21045
1687478400000,2023-06-23,FLOWUSDT,0.525,0.561,0.523,0.548,16589668.06,8962823.01422,29793
1687392000000,2023-06-22,FLOWUSDT,0.552,0.611,0.518,0.525,22157385.93,12553102.08508,40033
1687305600000,2023-06-21,FLOWUSDT,0.474,0.575,0.474,0.552,40704206.15,21912283.71007,71473
1687219200000,2023-06-20,FLOWUSDT,0.462,0.476,0.442,0.475,19616460.43,8918305.15968,24188
1687132800000,2023-06-19,FLOWUSDT,0.459,0.47,0.455,0.461,9110461.94,4207119.35956,11967
1687046400000,2023-06-18,FLOWUSDT,0.467,0.47,0.455,0.458,7271525.09,3367210.95622,9852
1686960000000,2023-06-17,FLOWUSDT,0.468,0.478,0.46,0.467,9249821.1,4337004.92925,12852
1686873600000,2023-06-16,FLOWUSDT,0.46,0.468,0.447,0.467,8924208.01,4095885.45536,13145
1686787200000,2023-06-15,FLOWUSDT,0.459,0.466,0.44,0.46,12354148.34,5600050.53978,17584
1686700800000,2023-06-14,FLOWUSDT,0.491,0.492,0.453,0.459,11638775.36,5580302.83305,18843
1686614400000,2023-06-13,FLOWUSDT,0.497,0.511,0.483,0.491,8847078.83,4380062.79006,15532
1686528000000,2023-06-12,FLOWUSDT,0.505,0.505,0.481,0.496,9827053.55,4849449.17243,16754
1686441600000,2023-06-11,FLOWUSDT,0.508,0.517,0.496,0.504,5985277.75,3019206.02641,11483
1686355200000,2023-06-10,FLOWUSDT,0.612,0.612,0.408,0.508,23290498.64,11846800.629,46505
1686268800000,2023-06-09,FLOWUSDT,0.626,0.636,0.606,0.612,5124234.96,3178376.12541,10823
1686182400000,2023-06-08,FLOWUSDT,0.63,0.635,0.61,0.626,4411555.61,2750834.7444,10679
1686096000000,2023-06-07,FLOWUSDT,0.675,0.675,0.623,0.629,5842219.25,3760429.70318,13351
1686009600000,2023-06-06,FLOWUSDT,0.663,0.678,0.635,0.675,7482755.28,4935237.14015,16119
1685923200000,2023-06-05,FLOWUSDT,0.729,0.74,0.642,0.663,10444718.62,7193180.2433,23584
1685836800000,2023-06-04,FLOWUSDT,0.725,0.738,0.721,0.73,4412726.95,3219281.41774,8827
1685750400000,2023-06-03,FLOWUSDT,0.727,0.734,0.72,0.726,4077623.57,2962991.56425,9354
1685664000000,2023-06-02,FLOWUSDT,0.72,0.732,0.717,0.727,5292548.73,3843135.44471,14633
1685577600000,2023-06-01,FLOWUSDT,0.723,0.732,0.71,0.719,4476020.37,3226065.13864,14420
1685491200000,2023-05-31,FLOWUSDT,0.747,0.75,0.714,0.723,4358401.97,3169429.66352,11776
1685404800000,2023-05-30,FLOWUSDT,0.754,0.759,0.743,0.747,2716758.97,2038929.32159,10327
1685318400000,2023-05-29,FLOWUSDT,0.767,0.775,0.748,0.754,3024190.95,2298403.12508,10317
1685232000000,2023-05-28,FLOWUSDT,0.75,0.778,0.746,0.767,2797277.53,2130417.71503,8888
1685145600000,2023-05-27,FLOWUSDT,0.745,0.753,0.738,0.75,1844641.79,1373683.99918,5927
1685059200000,2023-05-26,FLOWUSDT,0.744,0.756,0.733,0.746,1550183.13,1154252.30158,5205
1684972800000,2023-05-25,FLOWUSDT,0.738,0.748,0.717,0.744,2282306.19,1679353.68911,7025
1684886400000,2023-05-24,FLOWUSDT,0.769,0.77,0.726,0.738,2859647.37,2127493.44049,8810
1684800000000,2023-05-23,FLOWUSDT,0.757,0.774,0.753,0.77,2264144.04,1734110.24215,6572
1684713600000,2023-05-22,FLOWUSDT,0.745,0.762,0.735,0.757,1611346.84,1209550.77662,5299
1684627200000,2023-05-21,FLOWUSDT,0.771,0.775,0.737,0.746,1502729.7,1137775.30748,5078
1684540800000,2023-05-20,FLOWUSDT,0.776,0.776,0.764,0.771,1224710.88,942955.95458,3749
1684454400000,2023-05-19,FLOWUSDT,0.773,0.778,0.763,0.775,1938366.63,1496418.77166,7070
1684368000000,2023-05-18,FLOWUSDT,0.79,0.793,0.759,0.773,3342194.94,2604798.01538,10906
1684281600000,2023-05-17,FLOWUSDT,0.765,0.803,0.761,0.79,3929395.87,3083932.55572,12753
1684195200000,2023-05-16,FLOWUSDT,0.761,0.767,0.749,0.766,1968755.95,1494106.71155,6373
1684108800000,2023-05-15,FLOWUSDT,0.755,0.78,0.742,0.762,2629596.14,2009125.62766,7716
1684022400000,2023-05-14,FLOWUSDT,0.75,0.764,0.741,0.755,2032742.71,1529541.49077,7363
1683936000000,2023-05-13,FLOWUSDT,0.754,0.756,0.74,0.75,2212295.72,1651800.73049,9879
1683849600000,2023-05-12,FLOWUSDT,0.749,0.756,0.724,0.754,3286056.1,2433588.02158,12411
1683763200000,2023-05-11,FLOWUSDT,0.787,0.787,0.737,0.748,3317414.71,2511595.3534,11588
1683676800000,2023-05-10,FLOWUSDT,0.778,0.798,0.747,0.786,3533504.95,2754615.57675,12186
1683590400000,2023-05-09,FLOWUSDT,0.768,0.786,0.759,0.778,2601604.39,2009534.44444,7990
1683504000000,2023-05-08,FLOWUSDT,0.838,0.843,0.741,0.769,5117449.77,4016922.49705,20738
1683417600000,2023-05-07,FLOWUSDT,0.847,0.858,0.836,0.838,1611532.44,1362593.0416,6227
