https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1673049600000,2023-01-07 00:00:00,SHIB/USDT,0.000008436,0.000008732,0.000008386,0.000008417,54794.584205871,6471418431,27625.233012409,3262651505,13620,0.00000846760402092
1672963200000,2023-01-06 00:00:00,SHIB/USDT,0.000008377,0.000008479,0.000008177,0.000008436,49974.894933511,5990453610,26176.737851759,3137517697,14568,0.000008343042374731
1672876800000,2023-01-05 00:00:00,SHIB/USDT,0.000008368,0.000008796,0.000008267,0.000008375,66021.542118736,7736898572,29253.709920799,3427214876,14980,0.000008534248835392
1672790400000,2023-01-04 00:00:00,SHIB/USDT,0.000008136,0.000008504,0.000008119,0.000008373,48262.463476548,5853230173,25434.15151093,3086083732,13763,0.00000824581088336
1672704000000,2023-01-03 00:00:00,SHIB/USDT,0.000008194,0.000008221,0.000008054,0.000008136,43128.594736848,5295858203,21209.21590143,2603371850,12062,0.000008144053686189
1672617600000,2023-01-02 00:00:00,SHIB/USDT,0.000008119,0.000008252,0.000008031,0.000008185,46781.769437656,5720810436,27876.576294993,3407254161,11596,0.000008177737602192
1672531200000,2023-01-01 00:00:00,SHIB/USDT,0.000008077,0.000008147,0.000008007,0.000008116,32373.864328364,4009135371,16671.157530264,2064031668,10166,0.000008075162646092
1672444800000,2022-12-31 00:00:00,SHIB/USDT,0.00000805,0.000008177,0.000008015,0.000008075,47342.431412916,5848028880,19179.561128304,2366826447,10917,0.000008095586685698
1672358400000,2022-12-30 00:00:00,SHIB/USDT,0.0000082,0.000008229,0.000007944,0.000008051,51756.706827076,6443845973,28817.647812555,3589100455,13157,0.000008032384806274
1672272000000,2022-12-29 00:00:00,SHIB/USDT,0.000007904,0.000008285,0.000007876,0.000008207,37374.882731973,4669303906,21660.518119531,2701250500,9608,0.000008005772568772
1672185600000,2022-12-28 00:00:00,SHIB/USDT,0.000008195,0.000008207,0.0000078,0.000007877,50107.917377717,6269805685,20956.441650081,2620941117,11553,0.000007992593614179
1672099200000,2022-12-27 00:00:00,SHIB/USDT,0.00000831,0.000008351,0.000008061,0.000008195,44243.219402784,5366727672,18419.359891044,2232382116,10145,0.000008244558762084
1672012800000,2022-12-26 00:00:00,SHIB/USDT,0.000008278,0.000008354,0.000008243,0.000008313,134367.503608434,16170261840,65459.973273192,7877837231,9076,0.000008309593892429
1671926400000,2022-12-25 00:00:00,SHIB/USDT,0.000008321,0.000008379,0.0000082,0.000008283,164335.480818741,19836425673,78399.52643821,9459867525,5469,0.000008284805108112
1671840000000,2022-12-24 00:00:00,SHIB/USDT,0.000008259,0.000008347,0.000008239,0.000008323,71519.884044923,8622859802,34686.64192481,4181582117,3963,0.000008294267211025
1671753600000,2022-12-23 00:00:00,SHIB/USDT,0.000008342,0.000008411,0.000008208,0.000008259,182394.734568822,21977209731,88586.632091693,10674469095,6334,0.000008299386055632
1671667200000,2022-12-22 00:00:00,SHIB/USDT,0.000008242,0.000008415,0.000008178,0.000008347,401183.500261025,48497825353,207675.659116677,25095806513,11205,0.000008272506099969
1671580800000,2022-12-21 00:00:00,SHIB/USDT,0.000008459,0.000008476,0.000008187,0.000008239,245343.582001584,29687161914,121820.404940769,14741395343,11345,0.00000826453146883
1671494400000,2022-12-20 00:00:00,SHIB/USDT,0.000008155,0.000008484,0.000008145,0.00000846,66763.525953914,7976557388,31831.927749496,3796371625,4013,0.000008370421285118
1671408000000,2022-12-19 00:00:00,SHIB/USDT,0.000008568,0.000008772,0.000007986,0.000008135,43205.890999946,5093033102,22186.696359933,2614431451,1593,0.000008488369114772
1671321600000,2022-12-18 00:00:00,SHIB/USDT,0.000008296,0.000009,0.000008213,0.000008551,42372.062735419,4903122065,18253.298076794,2111586866,1579,0.000008644154452662
1671235200000,2022-12-17 00:00:00,SHIB/USDT,0.000008184,0.00000833,0.000008019,0.000008288,30290.496889522,3710374829,14617.339624281,1790593289,1138,0.000008164025507504
1671148800000,2022-12-16 00:00:00,SHIB/USDT,0.00000885,0.000008999,0.00000808,0.000008189,98314.129496073,11325612502,47663.938166321,5492654257,1831,0.000008688683891609
1671062400000,2022-12-15 00:00:00,SHIB/USDT,0.000008946,0.000008991,0.000008766,0.000008863,109378.636050487,12361825392,50966.799762623,5758174367,1158,0.000008848193025057
1670976000000,2022-12-14 00:00:00,SHIB/USDT,0.000009186,0.000009274,0.0000089,0.000008972,133605.217270281,14673910213,68351.222461354,7509028398,1566,0.000009106145840527
1670889600000,2022-12-13 00:00:00,SHIB/USDT,0.000008962,0.000009334,0.00000865,0.00000919,215924.408131253,23882265502,121754.444893649,13480776254,1880,0.000009043763643616
1670803200000,2022-12-12 00:00:00,SHIB/USDT,0.000009098,0.000009099,0.00000844,0.000008956,105710.285509305,11926112259,53521.436974321,6037314166,1354,0.000008864284474726
1670716800000,2022-12-11 00:00:00,SHIB/USDT,0.000009187,0.000009277,0.000009082,0.000009098,58816.890210354,6390473806,29492.776384347,3204475117,1485,0.000009203990504846
1670630400000,2022-12-10 00:00:00,SHIB/USDT,0.000009212,0.000009296,0.000009163,0.000009187,143136.088872324,15501219101,73639.337653359,7974071098,2700,0.00000923390218314
1670544000000,2022-12-09 00:00:00,SHIB/USDT,0.000009262,0.00000934,0.000009155,0.000009216,72364.874557896,7839307755,30990.781213303,3356109741,1060,0.000009231305974506
1670457600000,2022-12-08 00:00:00,SHIB/USDT,0.000009088,0.000009311,0.00000906,0.00000926,23472.557781736,2566693000,12678.303211948,1387518774,629,0.000009145392067132
1670371200000,2022-12-07 00:00:00,SHIB/USDT,0.000009301,0.000009343,0.000008963,0.000009091,94255.152096266,10331464252,45518.841216774,4990077444,2098,0.000009123999580629
1670284800000,2022-12-06 00:00:00,SHIB/USDT,0.000009413,0.000009465,0.00000922,0.000009301,72790.929503314,7803626051,35198.806842327,3772293457,1728,0.000009328133621221
1670198400000,2022-12-05 00:00:00,SHIB/USDT,0.000009335,0.000010083,0.000009268,0.000009413,99615.059364144,10417998141,54621.63062522,5716693754,1878,0.000009565680228613
1670112000000,2022-12-04 00:00:00,SHIB/USDT,0.0000092,0.000009376,0.0000092,0.000009353,139470.959057767,15001387162,68570.376336121,7374526707,2602,0.000009297323666323
1670025600000,2022-12-03 00:00:00,SHIB/USDT,0.000009323,0.00000947,0.000009171,0.000009205,111526.65610861,11988423670,57764.556969267,6208533867,2433,0.000009303132125603
1669939200000,2022-12-02 00:00:00,SHIB/USDT,0.000009186,0.000009337,0.00000909,0.00000933,77737.993137183,8443874426,42503.85665694,4616520271,1679,0.000009206573889098
1669852800000,2022-12-01 00:00:00,SHIB/USDT,0.000009338,0.000009364,0.000009109,0.000009187,95731.068823269,10372749925,43897.484781037,4756167783,1973,0.000009229252927526
1669766400000,2022-11-30 00:00:00,SHIB/USDT,0.000009075,0.000009388,0.000009025,0.000009342,110034.612808632,11900726864,56349.536037636,6093487096,2322,0.000009246761523028
1669680000000,2022-11-29 00:00:00,SHIB/USDT,0.000009077,0.000009299,0.000009011,0.000009077,126121.385649481,13780420918,62588.638298984,6837517719,2386,0.000009152868925487
1669593600000,2022-11-28 00:00:00,SHIB/USDT,0.000009274,0.000009321,0.000008789,0.000009081,110423.807870281,12243325838,58847.112077804,6518305426,2160,0.000009019591113428
1669507200000,2022-11-27 00:00:00,SHIB/USDT,0.000009026,0.000009623,0.000009,0.000009282,156963.466666706,16843637777,82332.934544313,8833774130,2919,0.000009321420361609
1669420800000,2022-11-26 00:00:00,SHIB/USDT,0.000009222,0.00000935,0.000008931,0.000009024,46930.222577659,5112131254,21359.037687464,2324128501,1091,0.000009181630426205
1669334400000,2022-11-25 00:00:00,SHIB/USDT,0.000009006,0.00000945,0.000008867,0.00000918,89039.582507587,9828562457,47192.580516048,5198737152,2333,0.000009061164486076
1669248000000,2022-11-24 00:00:00,SHIB/USDT,0.00000905,0.00000918,0.000008901,0.000009011,132449.281910741,14673098531,65472.86279062,7252455358,2738,0.000009026867356604
1669161600000,2022-11-23 00:00:00,SHIB/USDT,0.000008804,0.0000091,0.000008767,0.000009044,169392.974951975,18890587656,85013.695027625,9480337264,3812,0.00000896753784872
1669075200000,2022-11-22 00:00:00,SHIB/USDT,0.000008425,0.000008839,0.000008186,0.000008816,215976.377968418,25332310412,112319.619818199,13177624525,4480,0.000008529667885676
1668988800000,2022-11-21 00:00:00,SHIB/USDT,0.000008722,0.00000876,0.00000825,0.000008428,103415.159007987,12094141501,52644.642062633,6156207683,2229,0.000008552230930189
