Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1564531200.0,2019-07-31,ETHUSD,216.63,223.51,215.44,222,122.88,26969.6
1564444800.0,2019-07-30,ETHUSD,218.88,219.4,212.8,216.63,148.4,32079.48
1564358400.0,2019-07-29,ETHUSD,222.95,223.7,215,218.88,204.32,44556.36
1564272000.0,2019-07-28,ETHUSD,220.26,222.95,210.46,222.95,214.45,46643.77
1564185600.0,2019-07-27,ETHUSD,228.45,233,216.19,220.26,203.9,45055.93
1564099200.0,2019-07-26,ETHUSD,229.41,230.03,224.44,228.45,79.95,18223.28
1564012800.0,2019-07-25,ETHUSD,226.67,241,226.67,229.41,244.81,57237.13
1563926400.0,2019-07-24,ETHUSD,222.08,228.17,214.46,226.67,160.52,35401.11
1563840000.0,2019-07-23,ETHUSD,228,230.9,219,222.08,204.53,45845.6
1563753600.0,2019-07-22,ETHUSD,233.63,236,222.93,228,240.59,55182.74
1563667200.0,2019-07-21,ETHUSD,235.35,238.98,229.1,233.63,179.84,41921.89
1563580800.0,2019-07-20,ETHUSD,227.78,244,227.15,235.35,185.34,43783.54
1563494400.0,2019-07-19,ETHUSD,232,233.16,221.6,227.78,156.87,35673.66
1563408000.0,2019-07-18,ETHUSD,220.44,238.41,217.98,232,224.59,51707.63
1563321600.0,2019-07-17,ETHUSD,211.75,233.33,205.27,220.44,366.6,79992.58
1563235200.0,2019-07-16,ETHUSD,242.89,246.34,202.95,211.75,496.66,110300.51
1563148800.0,2019-07-15,ETHUSD,247.89,247.89,226,242.89,318.65,76569.4
1563062400.0,2019-07-14,ETHUSD,280.65,282.59,243.82,247.89,382.47,97819.24
1562976000.0,2019-07-13,ETHUSD,286.4,286.4,275,280.65,206.44,57768.98
1562889600.0,2019-07-12,ETHUSD,280.96,292.81,280.96,286.4,142.19,40976.45
1562803200.0,2019-07-11,ETHUSD,301.08,301.08,280,280.96,716.04,205571.3
1562716800.0,2019-07-10,ETHUSD,313.88,317.79,294.84,301.08,332.48,101771.52
1562630400.0,2019-07-09,ETHUSD,315.07,320.19,308.61,313.88,286.07,90247.59
1562544000.0,2019-07-08,ETHUSD,310.77,316.81,307.31,315.07,201.45,63071.3
1562457600.0,2019-07-07,ETHUSD,295.33,315,295,310.77,211.44,65263.71
1562371200.0,2019-07-06,ETHUSD,298.2,306,295,295.33,152.37,45957.55
1562284800.0,2019-07-05,ETHUSD,294.04,307,289.44,298.2,214.31,64464.14
1562198400.0,2019-07-04,ETHUSD,309,309,289.44,294.04,284.26,84678.78
1562112000.0,2019-07-03,ETHUSD,301.16,309,298.39,309,313.66,95229.25
1562025600.0,2019-07-02,ETHUSD,306.24,307.75,282.18,301.16,661.85,194610.94
1561939200.0,2019-07-01,ETHUSD,309.59,317.5,290,306.24,400.29,121743.91
1561852800.0,2019-06-30,ETHUSD,327.35,331.03,304,309.59,405.98,127847.47
1561766400.0,2019-06-29,ETHUSD,316.96,331,310,327.35,385.69,122188.51
1561680000.0,2019-06-28,ETHUSD,295.95,323.64,295,316.96,592.89,184190.92
1561593600.0,2019-06-27,ETHUSD,334,343.88,279.84,295.95,937.92,290145.97
1561507200.0,2019-06-26,ETHUSD,318.78,365.61,317.59,334,812.76,275669.57
1561420800.0,2019-06-25,ETHUSD,312.72,318.92,311.86,318.78,281.91,88903.54
1561334400.0,2019-06-24,ETHUSD,309,316.01,300.66,312.72,306.5,95077.94
1561248000.0,2019-06-23,ETHUSD,314,321.08,308.06,309,354.28,111767.2
1561161600.0,2019-06-22,ETHUSD,292.16,317.49,291.57,314,611.27,186722.43
