https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1667779200000,2022-11-07 00:00:00,FIL/USDT,5.881,5.9,5.6,5.7,852.91038841,148.31852,68.66492469,11.73781,72,5.752160301214556508
1667692800000,2022-11-06 00:00:00,FIL/USDT,6.146,6.36,5.787,5.787,911.4699121,149.3803,394.53125141,63.05023,135,6.107084013532321153
1667606400000,2022-11-05 00:00:00,FIL/USDT,6.141,6.385,6.028,6.187,1696.00850542,275.61455,469.31340587,76.24327,185,6.154140381122322794
1667520000000,2022-11-04 00:00:00,FIL/USDT,5.791,6.799,5.753,6.126,5524.15772297,933.41384,2478.09271471,417.18923,316,5.921169736248738995
1667433600000,2022-11-03 00:00:00,FIL/USDT,5.246,6.7,5.223,5.79,4321.22972734,724.58071,3241.19906858,540.52318,449,5.972757886647909269
1667347200000,2022-11-02 00:00:00,FIL/USDT,5.335,5.433,5.123,5.238,1785.55065068,336.92677,1281.76104244,241.79,123,5.299770743214254836
1667260800000,2022-11-01 00:00:00,FIL/USDT,5.436,5.491,5.325,5.346,2555.20235506,469.80945,1382.6537593,253.6602,84,5.439235456390453196
1667174400000,2022-10-31 00:00:00,FIL/USDT,5.504,5.626,5.29,5.452,5962.16025998,1107.47652,1003.50465772,186.50918,123,5.38393135884094441
1667088000000,2022-10-30 00:00:00,FIL/USDT,5.635,5.84,5.373,5.626,2833.06171553,507.99033,837.93906126,149.37054,150,5.578015156633777003
1667001600000,2022-10-29 00:00:00,FIL/USDT,5.454,5.846,5.278,5.804,2759.37930543,500.63921,1563.92604786,287.26946,271,5.515070935859718384
1666915200000,2022-10-28 00:00:00,FIL/USDT,5.35,5.502,5.11,5.343,81.2917257,15.20684,56.49064076,10.49163,50,5.347230888846292495
1666828800000,2022-10-27 00:00:00,FIL/USDT,5.332,6.051,5.257,5.35,1148.4143087,214.57706,59.38908658,11.01764,88,5.352166069894405863
1666742400000,2022-10-26 00:00:00,FIL/USDT,5.251,5.337,5.001,5.286,129.91340773,24.64534,68.35595205,12.93208,52,5.271853598198659142
1666656000000,2022-10-25 00:00:00,FIL/USDT,4.884,5.477,4.884,5.182,167.47387936,32.58313,96.10689201,18.4747,80,5.142640995675088157
1666569600000,2022-10-24 00:00:00,FIL/USDT,5.119,5.2,4.943,4.943,124.75694691,24.75195,57.14670362,11.28284,24,5.04060990203315003
1666483200000,2022-10-23 00:00:00,FIL/USDT,5,5.436,5,5.119,1260.12608656,249.2362,322.91377795,63.83287,50,5.056158493259706413
1666396800000,2022-10-22 00:00:00,FIL/USDT,4.942,4.942,4.942,4.942,1.00999654,0.20437,0,0,1,4.942
1666310400000,2022-10-21 00:00:00,FIL/USDT,4.884,4.996,4.826,4.942,138.29036754,28.01449,2.45770602,0.49731,18,4.936488571552465188
1666224000000,2022-10-20 00:00:00,FIL/USDT,5.048,5.121,4.933,4.933,35.02213277,6.9474,11.23143125,2.21745,18,5.041727350072232618
1666137600000,2022-10-19 00:00:00,FIL/USDT,5.102,5.24,5.002,5.002,289.66065135,56.41062,126.01161417,24.72055,20,5.135961166236982568
1666051200000,2022-10-18 00:00:00,FIL/USDT,5.313,5.313,4.933,5.122,20347.26263984,3831.61523,151.59880066,29.34316,57,5.310473319753330473
1665964800000,2022-10-17 00:00:00,FIL/USDT,5.173,6,4.8,5.313,7327.10697095,1375.77838,424.73126675,74.90724,129,5.328393552119039977
1665878400000,2022-10-16 00:00:00,FIL/USDT,5.251,5.256,5.2,5.2,678.83081992,130.49408,11.0265,2.1,15,5.202013214728348746
1665792000000,2022-10-15 00:00:00,FIL/USDT,5.033,5.259,4.994,5.186,718.57314117,141.73509,596.70881065,117.77646,71,5.07081221672705396
1665705600000,2022-10-14 00:00:00,FIL/USDT,5.147,5.298,5.006,5.03,594.7280519,115.99253,328.59700037,63.94559,76,5.129471908008783791
1665619200000,2022-10-13 00:00:00,FIL/USDT,5.135,5.135,4.769,5.122,1091.10724588,222.55344,277.24442878,56.21268,110,4.904139450922880872
1665532800000,2022-10-12 00:00:00,FIL/USDT,5.174,5.436,5.123,5.146,406.95556139,78.66948,389.80951617,75.34515,25,5.173310222524564573
1665446400000,2022-10-11 00:00:00,FIL/USDT,5.126,5.238,5,5.137,676.77782923,131.9615,136.83762943,26.45775,74,5.130145244035848259
1665360000000,2022-10-10 00:00:00,FIL/USDT,5.43,5.449,5.155,5.155,382.30615133,70.95629,194.05363787,35.79717,57,5.388888173328126479
1665273600000,2022-10-09 00:00:00,FIL/USDT,5.44,5.44,5.413,5.413,53.55984781,9.85708,13.12693417,2.41909,6,5.433653774402873905
1665187200000,2022-10-08 00:00:00,FIL/USDT,5.495,5.495,5.373,5.373,240.53593432,44.09959,180.42069694,32.98713,22,5.454571234386115479
1665100800000,2022-10-07 00:00:00,FIL/USDT,5.489,5.505,5.377,5.505,202.43069781,37.06125,140.33966,25.5548,21,5.46248842865345848
1665014400000,2022-10-06 00:00:00,FIL/USDT,5.596,5.645,5.485,5.489,730.42911459,130.40005,323.41054621,57.64264,37,5.601725541861426846
1664928000000,2022-10-05 00:00:00,FIL/USDT,5.591,5.633,5.474,5.543,836.73202196,151.48555,488.27897913,88.33231,37,5.523756402546298446
1664841600000,2022-10-04 00:00:00,FIL/USDT,5.525,5.634,5.491,5.597,5159.82510307,935.17555,4240.29090715,769.92375,61,5.517841966044945022
1664755200000,2022-10-03 00:00:00,FIL/USDT,5.375,5.529,5.309,5.525,197.99580253,36.09663,177.54142383,32.31337,38,5.485458869572178093
1664668800000,2022-10-02 00:00:00,FIL/USDT,5.515,5.557,5.373,5.375,2204.66457941,402.72505,2088.28502288,381.31857,55,5.474474904231849258
1664582400000,2022-10-01 00:00:00,FIL/USDT,5.669,5.683,5.501,5.501,2098.56076315,375.44127,426.69523935,76.02215,30,5.589722601715970233
1664496000000,2022-09-30 00:00:00,FIL/USDT,5.783,5.797,5.635,5.662,991.79713897,173.98997,449.3100745,78.48103,49,5.700799304150638377
1664409600000,2022-09-29 00:00:00,FIL/USDT,5.883,5.92,5.663,5.769,1707.40604927,294.75098,1613.51008859,278.36444,57,5.793670916830211388
1664323200000,2022-09-28 00:00:00,FIL/USDT,5.761,6.024,5.59,5.885,1594.88003662,275.06923,1379.33131231,237.49007,81,5.799557248363195675
1664236800000,2022-09-27 00:00:00,FIL/USDT,5.682,6.19,5.635,5.764,4544.9527501,749.10732,952.80553514,156.735,180,6.067960711670928524
1664150400000,2022-09-26 00:00:00,FIL/USDT,5.77,5.77,5.542,5.675,279.66035735,49.52995,95.62396478,16.86279,68,5.64649269839449412
1664064000000,2022-09-25 00:00:00,FIL/USDT,5.592,5.887,5.532,5.734,748.77582447,132.55751,658.6009178,116.65446,119,5.650186675338789018
1663977600000,2022-09-24 00:00:00,FIL/USDT,5.7,5.793,5.524,5.545,553.93074969,98.40711,222.44893363,39.72598,71,5.629842662393090145
1663891200000,2022-09-23 00:00:00,FIL/USDT,5.536,5.793,5.373,5.71,473.6143016,83.3717,131.12956575,23.30988,126,5.683226499020231425
1663804800000,2022-09-22 00:00:00,FIL/USDT,5.214,5.51,5.214,5.51,536.2717554,98.89959,498.31282423,91.86699,73,5.423001671033596246
1663718400000,2022-09-21 00:00:00,FIL/USDT,5.347,5.567,5.123,5.246,278.58260799,52.30161,109.90556829,20.4364,128,5.327938154834092765
1663632000000,2022-09-20 00:00:00,FIL/USDT,5.475,5.498,5.306,5.306,534.67191949,99.84879,366.687117,68.66119,52,5.355125289203674457
1663545600000,2022-09-19 00:00:00,FIL/USDT,5.367,5.511,5.001,5.511,908.30112865,171.11686,289.78882161,54.70673,104,5.309218992685647778
1663459200000,2022-09-18 00:00:00,FIL/USDT,5.848,5.894,5.193,5.367,383.46943401,67.22258,91.7345341,15.89185,111,5.709375235182567991
1663372800000,2022-09-17 00:00:00,FIL/USDT,5.84,5.921,5.792,5.87,488.7721591,83.73668,176.87229984,30.0275,47,5.837379001441696466
1663286400000,2022-09-16 00:00:00,FIL/USDT,5.721,6.198,5.67,5.829,301.51175552,52.28823,187.13346533,32.31114,56,5.767242531827834968
1663200000000,2022-09-15 00:00:00,FIL/USDT,5.918,5.918,5.689,5.689,92.48062508,15.91952,17.5632,3,53,5.809972826474325543
1663113600000,2022-09-14 00:00:00,FIL/USDT,5.89,6.051,5.771,5.958,170.650285,28.82526,101.33011764,17.02737,62,5.920891742575525129
1663027200000,2022-09-13 00:00:00,FIL/USDT,6.498,6.498,5.837,5.842,555.00782831,88.82324,278.27870554,43.51747,99,6.25495779696713227
1662940800000,2022-09-12 00:00:00,FIL/USDT,6.425,6.747,6.349,6.539,916.54220866,140.24401,756.31442508,115.66105,99,6.536254701848724765
