https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1691798400000,2023-08-12 00:00:00,MATIC/USDT,0.68081,0.68382,0.67684,0.68221,18098015.0113,26603798.0424,10283136.9998,15116017.8723,683825,0.68028
1691712000000,2023-08-11 00:00:00,MATIC/USDT,0.68494,0.689,0.67438,0.68104,18110672.7475,26518738.1469,10402001.3115,15230791.6675,670365,0.68295
1691625600000,2023-08-10 00:00:00,MATIC/USDT,0.68988,0.70123,0.68313,0.68504,18290672.5253,26565040.396,10696827.9455,15535952.4922,683447,0.68853
1691539200000,2023-08-09 00:00:00,MATIC/USDT,0.68552,0.69967,0.68046,0.68985,17708166.8644,25676500.2963,10314141.1749,14955476.1897,683866,0.68968
1691452800000,2023-08-08 00:00:00,MATIC/USDT,0.6664,0.69706,0.6619,0.68562,18317257.988,27062003.6819,10747925.6475,15876662.5962,683925,0.67699
1691366400000,2023-08-07 00:00:00,MATIC/USDT,0.66725,0.68413,0.64799,0.66627,18102608.6869,27072999.2043,10620542.998,15883818.0461,693457,0.66873
1691280000000,2023-08-06 00:00:00,MATIC/USDT,0.66734,0.67621,0.66273,0.66729,17594208.6591,26268233.4511,10419106.6345,15555653.9796,666657,0.66979
1691193600000,2023-08-05 00:00:00,MATIC/USDT,0.6644,0.66904,0.65796,0.66728,24673982.3386,37128670.3649,14330769.268,21564048.2896,690386,0.66455
1691107200000,2023-08-04 00:00:00,MATIC/USDT,0.66762,0.67834,0.65847,0.66445,23109277.0655,34546397.0498,13082637.7692,19557524.6814,689605,0.66894
1691020800000,2023-08-03 00:00:00,MATIC/USDT,0.67973,0.68522,0.66239,0.66768,63151774.5136,93458331.2417,34765279.1078,51453721.0586,647043,0.67574
1690934400000,2023-08-02 00:00:00,MATIC/USDT,0.70178,0.70307,0.67754,0.68024,16170077.0476,23340933.7146,8747179.4404,12626427.5213,396606,0.69279
