https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1689206400,2023-07-13 00:00:00,LTC/USD,96.45,104.40,95.66,101.94,14141.07296168,1441540.9777136592
1689120000,2023-07-12 00:00:00,LTC/USD,96.59,97.80,94.20,96.31,5055.29354468,486875.3212881308
1689033600,2023-07-11 00:00:00,LTC/USD,96.84,98.26,95.64,96.78,4794.06934585,463970.031291363
1688947200,2023-07-10 00:00:00,LTC/USD,95.09,98.00,92.00,96.75,10787.48670700,1043689.33890225
1688860800,2023-07-09 00:00:00,LTC/USD,97.76,98.32,94.46,95.08,2623.41212421,249434.0247698868
1688774400,2023-07-08 00:00:00,LTC/USD,98.19,98.39,96.83,97.92,2350.34077645,230145.36882998399
1688688000,2023-07-07 00:00:00,LTC/USD,95.00,98.60,94.35,98.29,5566.59859999,547140.9763930172
1688601600,2023-07-06 00:00:00,LTC/USD,102.31,105.95,95.11,95.46,13730.38585817,1310702.6340209083
1688515200,2023-07-05 00:00:00,LTC/USD,104.51,106.57,98.71,102.65,10544.50900488,1082393.849350932
1688428800,2023-07-04 00:00:00,LTC/USD,107.26,109.69,103.57,104.20,9261.88215389,965088.120435338
1688342400,2023-07-03 00:00:00,LTC/USD,113.27,114.92,105.69,107.10,16177.27061950,1732585.6833484499
1688256000,2023-07-02 00:00:00,LTC/USD,107.14,113.98,105.20,113.63,14356.34033777,1631310.952580805
1688169600,2023-07-01 00:00:00,LTC/USD,108.81,112.60,102.95,107.13,12516.81737953,1340926.645869049
1688083200,2023-06-30 00:00:00,LTC/USD,84.79,111.22,84.39,108.50,57357.43042851,6223281.201493335
1687996800,2023-06-29 00:00:00,LTC/USD,82.99,85.71,82.99,84.80,3669.79387229,311198.52037019195
1687910400,2023-06-28 00:00:00,LTC/USD,87.85,87.85,81.73,83.01,10772.69231193,894241.1888133094
1687824000,2023-06-27 00:00:00,LTC/USD,87.18,89.40,87.00,88.05,3237.52494333,285064.0712602065
1687737600,2023-06-26 00:00:00,LTC/USD,88.23,90.25,85.89,87.24,5541.38352628,483430.2988326672
1687651200,2023-06-25 00:00:00,LTC/USD,90.00,90.40,86.78,88.09,3213.72087166,283096.6715845294
1687564800,2023-06-24 00:00:00,LTC/USD,90.86,93.80,86.61,89.75,5796.52105371,520237.76457047253
1687478400,2023-06-23 00:00:00,LTC/USD,86.21,93.08,85.06,90.75,9030.11428018,819482.870926335
1687392000,2023-06-22 00:00:00,LTC/USD,85.07,88.79,84.48,86.00,4736.12694448,407306.91722528
1687305600,2023-06-21 00:00:00,LTC/USD,80.18,87.19,80.18,85.10,8418.77123748,716437.4323095479
1687219200,2023-06-20 00:00:00,LTC/USD,77.36,80.90,75.73,80.37,5130.40510576,412330.65834993124
1687132800,2023-06-19 00:00:00,LTC/USD,77.14,77.71,76.03,77.38,5127.12037135,396736.574335063
1687046400,2023-06-18 00:00:00,LTC/USD,76.89,78.43,76.23,77.17,3075.40934875,237329.3394430375
1686960000,2023-06-17 00:00:00,LTC/USD,75.99,77.78,75.78,76.82,2931.51813999,225199.22351403176
1686873600,2023-06-16 00:00:00,LTC/USD,74.53,76.80,74.06,76.06,4596.99816540,349647.68046032405
1686787200,2023-06-15 00:00:00,LTC/USD,73.08,75.08,71.96,74.54,7867.10480721,586413.9923294334
