https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume USDT,tradecount
1581033600000,2020-02-07,LINKUSDT,2.89,3.3682,2.8882,3.3072,14840163.74,47536114.156012,156041
1580947200000,2020-02-06,LINKUSDT,2.836,2.9436,2.79,2.89,4383200.46,12632075.944485,40155
1580860800000,2020-02-05,LINKUSDT,2.7397,2.8845,2.7261,2.839,4267689.22,12053160.78155,40185
1580774400000,2020-02-04,LINKUSDT,2.7713,2.8038,2.6751,2.7395,4494415.89,12270090.086861,35573
1580688000000,2020-02-03,LINKUSDT,2.8225,2.879,2.7451,2.771,3106758.86,8691569.654548,30435
1580601600000,2020-02-02,LINKUSDT,2.8372,2.8869,2.7314,2.8267,3442889.59,9768511.051874,30994
1580515200000,2020-02-01,LINKUSDT,2.8258,2.88,2.7438,2.8378,2737541.77,7681755.743857,29612
1580428800000,2020-01-31,LINKUSDT,2.912,2.9153,2.7628,2.8259,3910431.21,11114615.65424,34346
1580342400000,2020-01-30,LINKUSDT,2.7785,2.9482,2.7167,2.9156,5780750.02,16529966.221006,57312
1580256000000,2020-01-29,LINKUSDT,2.6544,2.8348,2.6316,2.7773,5269667.72,14425009.197172,49910
1580169600000,2020-01-28,LINKUSDT,2.6051,2.67,2.5868,2.6558,3113588.17,8190994.708915,31313
1580083200000,2020-01-27,LINKUSDT,2.5764,2.6764,2.5656,2.6055,3426087.65,8983048.130743,36052
1579996800000,2020-01-26,LINKUSDT,2.4425,2.5764,2.4266,2.5764,1936836.47,4876802.332708,20435
1579910400000,2020-01-25,LINKUSDT,2.5024,2.51,2.421,2.4468,1881931.46,4631083.628652,19847
1579824000000,2020-01-24,LINKUSDT,2.4695,2.533,2.3638,2.5024,4161651.97,10232694.793375,41244
1579737600000,2020-01-23,LINKUSDT,2.6425,2.647,2.4256,2.4698,4806803.21,11989939.300899,48286
1579651200000,2020-01-22,LINKUSDT,2.6724,2.6978,2.6187,2.6426,1637205.02,4351550.91377,19272
1579564800000,2020-01-21,LINKUSDT,2.6881,2.744,2.57,2.6716,3244654.09,8677468.397662,39797
1579478400000,2020-01-20,LINKUSDT,2.6207,2.7443,2.5425,2.688,4142689.53,10966736.422783,47116
1579392000000,2020-01-19,LINKUSDT,2.7749,2.8475,2.5385,2.6212,6650884.78,17723998.926728,65413
1579305600000,2020-01-18,LINKUSDT,2.7006,2.7946,2.58,2.7709,4502826.05,12187370.41578,57926
1579219200000,2020-01-17,LINKUSDT,2.4924,2.86,2.4589,2.7006,12221911.1,32928477.751669,118960
1579132800000,2020-01-16,LINKUSDT,2.3991,2.51,2.2932,2.4925,4944704.42,11961158.69569,36913
1579046400000,2020-01-15,LINKUSDT,2.3751,2.5604,2.3332,2.3953,6414464.86,15725822.570767,47821
1578960000000,2020-01-14,LINKUSDT,2.1904,2.4701,2.1792,2.3751,7062307.44,16495572.985585,50544
