https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume USDT,tradecount
1677628800000,2023-03-01,SOLUSDT,21.88,22.91,21.65,22.51,2445602.61,54847196.6386,102268
1677542400000,2023-02-28,SOLUSDT,22.68,22.75,21.75,21.89,2291715.21,51071590.7125,96075
1677456000000,2023-02-27,SOLUSDT,23.25,23.41,22.32,22.68,3670697.58,83962050.3112,121972
1677369600000,2023-02-26,SOLUSDT,22.37,23.53,22.21,23.25,2817875.05,64558477.8948,99292
1677283200000,2023-02-25,SOLUSDT,23.07,23.33,21.41,22.37,4541250.05,101747626.2334,144363
1677196800000,2023-02-24,SOLUSDT,23.91,24.13,22.46,23.07,4868888.31,113551145.864,172515
1677110400000,2023-02-23,SOLUSDT,24.16,24.69,23.6,23.91,4390966.09,105959747.4924,161088
1677024000000,2023-02-22,SOLUSDT,24.98,25.24,23.21,24.16,7174305.66,171234545.1979,232326
1676937600000,2023-02-21,SOLUSDT,26.26,26.61,24.5,24.98,6724448.02,170844057.6607,231848
1676851200000,2023-02-20,SOLUSDT,24.83,27.12,24.11,26.26,10266239.07,267714765.3583,386554
1676764800000,2023-02-19,SOLUSDT,23.46,25.64,23.2,24.84,8316165.25,203680508.218,292475
1676678400000,2023-02-18,SOLUSDT,23.14,23.94,22.92,23.45,2647511.0,61949018.6979,96781
1676592000000,2023-02-17,SOLUSDT,22.24,23.54,21.99,23.14,4539817.75,103726111.0098,134439
1676505600000,2023-02-16,SOLUSDT,23.86,24.2,22.2,22.24,6832612.63,160295399.2841,212460
1676419200000,2023-02-15,SOLUSDT,21.84,23.99,21.45,23.86,5587903.97,126682730.283,175989
1676332800000,2023-02-14,SOLUSDT,20.77,22.37,20.66,21.84,7639521.83,164389151.8082,208822
1676246400000,2023-02-13,SOLUSDT,21.49,21.61,19.73,20.77,6685330.04,137841810.9737,177677
1676160000000,2023-02-12,SOLUSDT,20.81,22.59,20.62,21.49,4625241.81,99659665.35,137528
1676073600000,2023-02-11,SOLUSDT,20.1,20.92,20.1,20.81,1859852.98,37966292.1576,58024
1675987200000,2023-02-10,SOLUSDT,20.48,21.2,19.68,20.11,5523024.53,114043614.2483,144868
1675900800000,2023-02-09,SOLUSDT,23.21,23.35,20.0,20.48,6398790.64,140853126.4038,196997
1675814400000,2023-02-08,SOLUSDT,23.82,24.24,22.8,23.22,3970029.14,93320916.9079,122379
1675728000000,2023-02-07,SOLUSDT,22.65,23.96,22.54,23.82,4900023.85,113919835.6398,146267
1675641600000,2023-02-06,SOLUSDT,23.46,23.72,22.45,22.66,3592829.38,83162189.8951,114330
1675555200000,2023-02-05,SOLUSDT,24.34,24.46,23.02,23.47,4822304.59,114325096.5203,140043
1675468800000,2023-02-04,SOLUSDT,24.69,24.95,24.17,24.34,2034159.41,50018630.8464,79307
1675382400000,2023-02-03,SOLUSDT,24.32,25.07,24.01,24.69,4759274.31,116686417.1035,154714
1675296000000,2023-02-02,SOLUSDT,25.0,26.15,24.05,24.32,7246590.58,182296022.6084,247302
1675209600000,2023-02-01,SOLUSDT,23.93,25.22,22.48,25.0,7304888.31,173855967.4862,263058
1675123200000,2023-01-31,SOLUSDT,23.97,24.47,23.49,23.92,4062387.09,97470696.9435,143900
1675036800000,2023-01-30,SOLUSDT,26.07,26.31,23.11,23.96,7532450.12,184489313.7033,286378
1674950400000,2023-01-29,SOLUSDT,24.0,26.8,23.73,26.07,7785906.2,198403773.4859,293221
1674864000000,2023-01-28,SOLUSDT,24.43,25.24,23.7,24.0,3377884.1,82088985.9207,127028
1674777600000,2023-01-27,SOLUSDT,24.33,24.96,23.27,24.43,4729055.76,113487754.4239,174475
1674691200000,2023-01-26,SOLUSDT,24.53,25.23,23.73,24.33,5450404.1,133760026.4129,208276
1674604800000,2023-01-25,SOLUSDT,22.77,25.43,22.24,24.52,8332368.29,197305373.3786,312469
1674518400000,2023-01-24,SOLUSDT,24.32,25.24,22.25,22.78,6121565.88,147893897.2001,226102
1674432000000,2023-01-23,SOLUSDT,24.21,24.93,23.7,24.33,6100483.98,148819700.0186,203735
1674345600000,2023-01-22,SOLUSDT,24.56,25.45,23.5,24.21,6496779.26,161129672.5073,228853
1674259200000,2023-01-21,SOLUSDT,25.51,26.6,24.24,24.57,12782858.69,323053489.4484,450566
1674172800000,2023-01-20,SOLUSDT,21.4,25.82,20.93,25.51,9652433.39,224450465.311,399397
1674086400000,2023-01-19,SOLUSDT,20.78,21.88,20.41,21.4,6113345.07,129469309.5297,224567
1674000000000,2023-01-18,SOLUSDT,22.86,23.65,20.34,20.79,11341710.32,249548184.959,497529
1673913600000,2023-01-17,SOLUSDT,23.58,23.95,22.7,22.86,6056942.68,141744206.6662,307729
1673827200000,2023-01-16,SOLUSDT,22.9,25.0,22.3,23.58,10043368.28,236275598.1671,504119
1673740800000,2023-01-15,SOLUSDT,24.23,25.0,21.98,22.89,11258028.55,260922697.1761,542914
1673654400000,2023-01-14,SOLUSDT,18.29,24.75,18.2,24.24,25997232.06,582130895.5072,1125883
1673568000000,2023-01-13,SOLUSDT,16.59,18.65,16.29,18.29,10929884.4,188439640.5455,379935
1673481600000,2023-01-12,SOLUSDT,16.37,17.0,15.54,16.59,9608670.96,156910911.0103,343488
1673395200000,2023-01-11,SOLUSDT,16.2,16.67,15.28,16.36,6661616.67,106146574.4196,240292
1673308800000,2023-01-10,SOLUSDT,16.25,16.73,15.57,16.2,8489417.77,137351433.7181,288818
1673222400000,2023-01-09,SOLUSDT,14.46,17.5,14.28,16.25,19481959.57,316363880.1986,619929
1673136000000,2023-01-08,SOLUSDT,13.1,14.89,12.85,14.45,6295596.12,86019750.9483,207707
1673049600000,2023-01-07,SOLUSDT,13.51,13.51,13.01,13.1,1904950.91,25243947.5092,79010
1672963200000,2023-01-06,SOLUSDT,13.43,13.6,12.69,13.5,5404648.48,71212454.9079,184610
1672876800000,2023-01-05,SOLUSDT,13.43,13.89,12.95,13.43,5834353.76,77737743.1028,203316
1672790400000,2023-01-04,SOLUSDT,13.37,14.24,12.83,13.43,12612735.49,171471280.1082,393884
1672704000000,2023-01-03,SOLUSDT,11.28,13.91,11.0,13.37,14986491.36,187865593.433,417570
1672617600000,2023-01-02,SOLUSDT,9.99,12.0,9.81,11.28,7628264.93,84247394.8021,195532
1672531200000,2023-01-01,SOLUSDT,9.97,10.09,9.69,9.99,2287512.63,22677368.606,66752
1672444800000,2022-12-31,SOLUSDT,9.91,10.2,9.66,9.97,3621434.65,36021998.1605,93103
1672358400000,2022-12-30,SOLUSDT,9.64,10.26,9.0,9.9,12587079.51,121032784.4865,296354
1672272000000,2022-12-29,SOLUSDT,9.76,10.89,8.0,9.64,12093989.53,110705885.85642,276670
1672185600000,2022-12-28,SOLUSDT,11.1,11.12,9.39,9.76,7362205.181,73951659.2539,190189
1672099200000,2022-12-27,SOLUSDT,11.33,11.44,10.71,11.09,3052197.59,33580524.4483,84884
1672012800000,2022-12-26,SOLUSDT,11.39,11.49,11.06,11.32,1613225.82,18177914.3844,48977
1671926400000,2022-12-25,SOLUSDT,11.45,11.56,11.24,11.38,916417.64,10444203.1737,36795
1671840000000,2022-12-24,SOLUSDT,11.79,11.79,11.07,11.45,2286878.14,26033045.1144,80202
1671753600000,2022-12-23,SOLUSDT,11.81,12.11,11.72,11.78,1647382.32,19580748.0832,51969
1671667200000,2022-12-22,SOLUSDT,12.14,12.19,11.67,11.82,1805407.09,21542776.7838,62242
1671580800000,2022-12-21,SOLUSDT,12.26,12.29,11.9,12.14,1549774.66,18693850.6327,57613
1671494400000,2022-12-20,SOLUSDT,11.94,12.49,11.84,12.26,1699256.37,20852720.2713,72708
1671408000000,2022-12-19,SOLUSDT,12.38,12.59,11.66,11.94,2385052.59,29005256.2365,84083
1671321600000,2022-12-18,SOLUSDT,12.5,12.6,12.25,12.38,1358593.49,16889762.1124,48429
1671235200000,2022-12-17,SOLUSDT,12.25,12.6,11.92,12.51,2465880.45,30275875.4776,85988
1671148800000,2022-12-16,SOLUSDT,14.05,14.17,12.0,12.25,4522833.23,59074303.446,143114
1671062400000,2022-12-15,SOLUSDT,14.12,14.52,13.86,14.04,2711381.25,38233174.5311,94100
1670976000000,2022-12-14,SOLUSDT,13.9,14.96,13.81,14.12,5084591.13,73011670.0454,147840
1670889600000,2022-12-13,SOLUSDT,13.31,14.15,12.76,13.89,3963954.49,53647953.5915,123225
1670803200000,2022-12-12,SOLUSDT,13.42,13.5,12.82,13.31,2644017.08,34795876.6935,79659
1670716800000,2022-12-11,SOLUSDT,13.58,13.8,13.39,13.42,1210234.56,16488172.7352,44964
1670630400000,2022-12-10,SOLUSDT,13.58,13.73,13.54,13.58,950118.11,12943087.0124,38836
1670544000000,2022-12-09,SOLUSDT,13.69,14.02,13.51,13.59,2597941.96,35741987.3066,79323
