https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1691539200,2023-08-09,ADA/USD,0.298007,0.301088,0.296902,0.301088,5619.00895,1691.8161667376003
1691452800,2023-08-08,ADA/USD,0.290168,0.302131,0.290168,0.297914,5673.213205,1690.12963875437
1691366400,2023-08-07,ADA/USD,0.292065,0.294045,0.282508,0.289982,3334.192331,966.8557605280421
1691280000,2023-08-06,ADA/USD,0.292887,0.2943,0.291742,0.292193,879.4257,256.9620335601
1691193600,2023-08-05,ADA/USD,0.293209,0.293209,0.29141,0.292553,526.113567,153.916102366551
1691107200,2023-08-04,ADA/USD,0.292524,0.296376,0.289972,0.2933,2147.137047,629.7552958851
1691020800,2023-08-03,ADA/USD,0.299678,0.300047,0.290528,0.292164,4883.776273,1426.8636110247721
1690934400,2023-08-02,ADA/USD,0.309569,0.310714,0.299296,0.299296,6381.805049,1910.048723945504
1690848000,2023-08-01,ADA/USD,0.307761,0.309189,0.296029,0.309189,6305.372858,1949.5519285921619
1690761600,2023-07-31,ADA/USD,0.314779,0.318,0.306888,0.307827,3858.313078,1187.6929398615061
1690675200,2023-07-30,ADA/USD,0.312624,0.317189,0.306747,0.314877,16354.113837,5149.53430265305
1690588800,2023-07-29,ADA/USD,0.310498,0.313749,0.309727,0.312526,11703.198172,3657.5537119024725
1690502400,2023-07-28,ADA/USD,0.308008,0.3118,0.307622,0.310401,2057.867929,638.7642630295289
1690416000,2023-07-27,ADA/USD,0.308608,0.312365,0.306687,0.307598,2658.861107,817.860358790986
1690329600,2023-07-26,ADA/USD,0.30372,0.309468,0.300232,0.309468,1948.992861,603.150922707948
1690243200,2023-07-25,ADA/USD,0.305013,0.305595,0.302533,0.303785,1725.512155,524.184710006675
1690156800,2023-07-24,ADA/USD,0.316714,0.317885,0.301334,0.305136,8039.835936,2453.243378167296
1690070400,2023-07-23,ADA/USD,0.309654,0.318371,0.308802,0.316324,4696.595074,1485.645740187976
1689984000,2023-07-22,ADA/USD,0.313555,0.313653,0.307286,0.30972,2965.14876,918.3658739472
1689897600,2023-07-21,ADA/USD,0.316427,0.317582,0.311171,0.313941,3299.664611,1035.900007641951
1689811200,2023-07-20,ADA/USD,0.323962,0.332904,0.313808,0.316788,51082.917543,16182.455282611885
1689724800,2023-07-19,ADA/USD,0.308808,0.325468,0.307669,0.323861,14248.942046,4614.676619959606
1689638400,2023-07-18,ADA/USD,0.312121,0.312988,0.301749,0.308904,6148.046363,1899.1561137161523
1689552000,2023-07-17,ADA/USD,0.314492,0.319,0.306416,0.312478,10538.9268,3293.1827686103998
1689465600,2023-07-16,ADA/USD,0.327639,0.327639,0.3132,0.314591,14214.060007,4471.615351662137
1689379200,2023-07-15,ADA/USD,0.327947,0.33493,0.325935,0.327827,9982.642009,3272.5795818844426
1689292800,2023-07-14,ADA/USD,0.357449,0.378501,0.317587,0.328706,72552.919238,23848.57987104603
1689206400,2023-07-13,ADA/USD,0.288538,0.366658,0.286768,0.357,317673.961566,113409.604279062
1689120000,2023-07-12,ADA/USD,0.292557,0.295,0.286185,0.288628,37065.712404,10698.202439741712
1689033600,2023-07-11,ADA/USD,0.290075,0.293207,0.289765,0.292439,1486.078868,434.58741807905204
1688947200,2023-07-10,ADA/USD,0.28465,0.290673,0.280283,0.289984,24219.937442,7023.394339180928
1688860800,2023-07-09,ADA/USD,0.288694,0.290099,0.285,0.285001,1734.185002,494.24445975500197
1688774400,2023-07-08,ADA/USD,0.284259,0.292337,0.283211,0.288578,2120.398373,611.900321683594
1688688000,2023-07-07,ADA/USD,0.278794,0.28432,0.278451,0.28432,1858.664757,528.4555637102401
1688601600,2023-07-06,ADA/USD,0.283717,0.293477,0.276526,0.279065,18294.096355,5105.241999308076
1688515200,2023-07-05,ADA/USD,0.293403,0.295397,0.281,0.283777,63551.787847,18034.53569985812
1688428800,2023-07-04,ADA/USD,0.296196,0.299653,0.29,0.293765,24945.61029,7328.14720684185
1688342400,2023-07-03,ADA/USD,0.291551,0.298991,0.291551,0.296289,7643.880868,2264.7978184988524
1688256000,2023-07-02,ADA/USD,0.290644,0.293158,0.288015,0.291192,2988.029203,870.0901996799761
1688169600,2023-07-01,ADA/USD,0.287728,0.293068,0.28282,0.290286,5346.008948,1551.871553479128
1688083200,2023-06-30,ADA/USD,0.274373,0.29809,0.27048,0.287375,141129.580034,40557.11306227075
1687996800,2023-06-29,ADA/USD,0.267843,0.2779,0.267843,0.274991,3393.345866,933.139573037206
1687910400,2023-06-28,ADA/USD,0.28642,0.28642,0.265964,0.267842,3168.908236,848.7667197467122
1687824000,2023-06-27,ADA/USD,0.281066,0.288635,0.279336,0.286773,4055.265849,1162.9407533152769
1687737600,2023-06-26,ADA/USD,0.292634,0.292634,0.28095,0.28095,34385.168497,9660.513089232149
1687651200,2023-06-25,ADA/USD,0.290269,0.302936,0.290269,0.292726,14156.935029,4144.102963299054
1687564800,2023-06-24,ADA/USD,0.296056,0.297036,0.284552,0.289912,55589.724597,16116.128237365465
1687478400,2023-06-23,ADA/USD,0.291865,0.302803,0.288395,0.295937,33624.123409,9950.622209289233
1687392000,2023-06-22,ADA/USD,0.287373,0.304,0.28702,0.291405,57238.197215,16679.496859437077
1687305600,2023-06-21,ADA/USD,0.269732,0.287463,0.269732,0.287463,47647.935948,13697.018611419924
1687219200,2023-06-20,ADA/USD,0.262669,0.269651,0.25423,0.269651,45314.94986,12219.22154469886
1687132800,2023-06-19,ADA/USD,0.260581,0.262474,0.258516,0.262474,16322.948673,4284.349629997002
1687046400,2023-06-18,ADA/USD,0.266377,0.267544,0.26043,0.26059,2678.069855,697.87822351445
1686960000,2023-06-17,ADA/USD,0.263027,0.272912,0.261646,0.266923,31450.391421,8394.832829267583
